"Geography","county","state","total_pop","proportion_white","proportion_black","proportion_indigenous","proportion_asian","proportion_pacific","proportion_other","proportion_multiracial","proportion_hispanic_latino","median_income","proportion_hs_degree_over_25","proportion_bachelors_degree_over_25"
"0500000US20161","Riley","KS",72105,0.795,0.064,0.008,0.044,0.003,0.018,0.069,0.085,56327,0.958,0.478
"0500000US20163","Rooks","KS",4925,0.948,0.017,0.004,0.003,0.001,0.005,0.021,0.026,60821,0.926,0.227
"0500000US20165","Rush","KS",2939,0.91,0.005,0.004,0.005,0,0.002,0.073,0.054,53523,0.909,0.195
"0500000US20167","Russell","KS",6702,0.904,0.008,0.004,0.001,0,0.022,0.06,0.044,49929,0.934,0.202
"0500000US20169","Saline","KS",54160,0.872,0.031,0.003,0.02,0,0.012,0.062,0.12,59887,0.937,0.282
"0500000US20171","Scott","KS",5128,0.847,0,0,0.005,0.001,0.094,0.053,0.211,53365,0.849,0.199
"0500000US20173","Sedgwick","KS",522700,0.729,0.08,0.009,0.043,0.001,0.045,0.093,0.155,65372,0.895,0.317
"0500000US20175","Seward","KS",21942,0.462,0.03,0.011,0.024,0.002,0.271,0.201,0.642,57131,0.698,0.113
"0500000US20177","Shawnee","KS",178625,0.778,0.08,0.006,0.015,0.001,0.043,0.077,0.132,63463,0.929,0.317
"0500000US20179","Sheridan","KS",2450,0.922,0.001,0.004,0,0,0.033,0.039,0.06,66719,0.963,0.243
"0500000US20181","Sherman","KS",5940,0.88,0.019,0.002,0,0,0.05,0.048,0.128,61404,0.897,0.261
"0500000US20183","Smith","KS",3561,0.953,0.006,0.002,0.003,0,0.01,0.025,0.027,50943,0.954,0.231
"0500000US20185","Stafford","KS",4054,0.899,0.003,0.013,0.001,0,0.028,0.056,0.134,60000,0.932,0.261
"0500000US20187","Stanton","KS",2060,0.863,0,0,0,0,0.011,0.126,0.426,66000,0.8,0.174
"0500000US20189","Stevens","KS",5275,0.738,0.004,0,0,0,0.16,0.098,0.381,67950,0.744,0.125
"0500000US20191","Sumner","KS",22517,0.909,0.01,0.024,0.006,0,0.009,0.041,0.059,59397,0.935,0.239
"0500000US20193","Thomas","KS",7907,0.939,0.009,0.002,0.003,0,0.028,0.019,0.076,72417,0.945,0.265
"0500000US20195","Trego","KS",2798,0.975,0.001,0.001,0.004,0,0,0.02,0.008,77500,0.945,0.25
"0500000US20197","Wabaunsee","KS",6922,0.928,0.01,0.006,0.007,0.001,0.009,0.039,0.049,70000,0.966,0.251
"0500000US20199","Wallace","KS",1489,0.915,0.007,0.006,0.006,0,0.028,0.038,0.068,57708,0.926,0.259
"0500000US20201","Washington","KS",5529,0.944,0.002,0.003,0.007,0,0.019,0.024,0.044,59432,0.935,0.225
"0500000US20203","Wichita","KS",2131,0.795,0.007,0.006,0,0,0.076,0.115,0.249,69551,0.882,0.214
"0500000US20205","Wilson","KS",8667,0.941,0.002,0.004,0,0,0.002,0.05,0.038,55439,0.913,0.195
"0500000US20207","Woodson","KS",3134,0.928,0.001,0.005,0,0,0.004,0.062,0.009,50670,0.92,0.211
