"Geography","county","state","total_pop","proportion_white","proportion_black","proportion_indigenous","proportion_asian","proportion_pacific","proportion_other","proportion_multiracial","proportion_hispanic_latino","median_income","proportion_hs_degree_over_25","proportion_bachelors_degree_over_25"
"0500000US01001","Autauga","AL",58761,0.744,0.196,0.001,0.011,0,0.005,0.042,0.032,68315,0.904,0.296
"0500000US01003","Baldwin","AL",233420,0.84,0.083,0.004,0.009,0,0.019,0.046,0.048,71039,0.916,0.326
"0500000US01005","Barbour","AL",24877,0.455,0.469,0.003,0.005,0,0.044,0.024,0.048,39712,0.765,0.119
"0500000US01007","Bibb","AL",22251,0.758,0.207,0.001,0.003,0,0.005,0.026,0.029,50669,0.789,0.109
"0500000US01009","Blount","AL",59077,0.913,0.012,0.004,0.002,0.002,0.031,0.036,0.097,57440,0.818,0.147
"0500000US01011","Bullock","AL",10328,0.232,0.689,0,0.004,0,0.055,0.02,0.088,36136,0.734,0.094
"0500000US01013","Butler","AL",18981,0.515,0.446,0.004,0.013,0,0.003,0.02,0.017,44429,0.876,0.13
"0500000US01015","Calhoun","AL",116162,0.717,0.221,0.002,0.007,0.002,0.019,0.032,0.041,54339,0.851,0.192
"0500000US01017","Chambers","AL",34612,0.567,0.408,0.001,0.002,0,0.007,0.015,0.033,48805,0.835,0.127
"0500000US01019","Cherokee","AL",25069,0.913,0.04,0.005,0.001,0,0.008,0.033,0.019,46621,0.819,0.146
"0500000US01021","Chilton","AL",45140,0.813,0.094,0.014,0.005,0.003,0.033,0.037,0.081,62471,0.822,0.14
"0500000US01023","Choctaw","AL",12669,0.567,0.4,0.002,0.001,0,0.007,0.024,0.011,43299,0.824,0.13
"0500000US01025","Clarke","AL",23058,0.514,0.455,0.001,0.004,0,0.008,0.018,0.015,47549,0.814,0.138
"0500000US01027","Clay","AL",14209,0.815,0.126,0,0.003,0,0.009,0.047,0.031,48074,0.833,0.128
"0500000US01029","Cleburne","AL",15144,0.926,0.027,0.002,0.001,0,0.017,0.026,0.026,51553,0.825,0.165
"0500000US01031","Coffee","AL",53559,0.725,0.168,0.007,0.011,0,0.02,0.069,0.084,62199,0.866,0.216
"0500000US01033","Colbert","AL",57270,0.78,0.16,0.003,0.004,0.001,0.024,0.027,0.032,56149,0.864,0.18
"0500000US01035","Conecuh","AL",11576,0.497,0.485,0.003,0.003,0,0.002,0.01,0.007,39888,0.894,0.133
"0500000US01037","Coosa","AL",10329,0.664,0.302,0.001,0,0,0.007,0.026,0.027,52279,0.835,0.106
"0500000US01039","Covington","AL",37542,0.837,0.123,0.003,0.006,0,0.008,0.024,0.02,48772,0.858,0.163
"0500000US01041","Crenshaw","AL",13205,0.711,0.232,0.001,0.012,0,0.011,0.034,0.025,48557,0.821,0.172
"0500000US01043","Cullman","AL",88284,0.918,0.011,0.004,0.003,0,0.017,0.047,0.046,58119,0.846,0.183
"0500000US01045","Dale","AL",49455,0.704,0.211,0.01,0.012,0,0.024,0.039,0.07,52813,0.857,0.192
"0500000US01047","Dallas","AL",38326,0.277,0.691,0.005,0.006,0,0,0.02,0.011,37180,0.853,0.157
"0500000US01049","DeKalb","AL",71680,0.825,0.015,0.015,0.001,0.006,0.09,0.049,0.154,47920,0.777,0.141
"0500000US01051","Elmore","AL",87694,0.739,0.208,0.003,0.007,0,0.008,0.036,0.031,73258,0.885,0.242
"0500000US01053","Escambia","AL",36755,0.619,0.303,0.031,0.002,0,0.006,0.038,0.026,41153,0.823,0.126
"0500000US01055","Etowah","AL",103348,0.779,0.152,0.003,0.007,0,0.023,0.035,0.044,52177,0.861,0.177
"0500000US01057","Fayette","AL",16297,0.842,0.127,0.001,0.002,0.002,0.002,0.023,0.004,45650,0.837,0.13
"0500000US01059","Franklin","AL",32011,0.776,0.042,0.004,0.001,0,0.132,0.044,0.184,47359,0.801,0.148
"0500000US01061","Geneva","AL",26647,0.839,0.093,0.003,0.005,0,0.024,0.036,0.044,47608,0.834,0.139
"0500000US01063","Greene","AL",7706,0.173,0.818,0.001,0,0,0.002,0.006,0.003,32796,0.819,0.167
"0500000US01065","Hale","AL",14742,0.384,0.568,0.003,0.001,0,0.001,0.044,0.002,35851,0.806,0.164
"0500000US01067","Henry","AL",17282,0.706,0.253,0.003,0.006,0,0.004,0.027,0.027,58395,0.815,0.21
"0500000US01069","Houston","AL",107040,0.666,0.272,0.003,0.009,0,0.009,0.04,0.036,55064,0.876,0.225
"0500000US01071","Jackson","AL",52618,0.897,0.033,0.008,0.004,0,0.018,0.04,0.032,46748,0.82,0.162
"0500000US01073","Jefferson","AL",672265,0.503,0.427,0.002,0.017,0,0.02,0.03,0.042,63595,0.911,0.356
"0500000US01075","Lamar","AL",13885,0.858,0.11,0.004,0.002,0,0.007,0.02,0.005,49565,0.821,0.102
"0500000US01077","Lauderdale","AL",94329,0.844,0.099,0.003,0.006,0.001,0.007,0.04,0.03,56081,0.888,0.258
"0500000US01079","Lawrence","AL",33116,0.768,0.102,0.05,0.003,0.001,0.014,0.063,0.025,54786,0.827,0.158
"0500000US01081","Lee","AL",175126,0.687,0.225,0.002,0.043,0,0.011,0.032,0.039,59288,0.917,0.402
"0500000US01083","Limestone","AL",104199,0.768,0.132,0.008,0.018,0.001,0.025,0.048,0.063,80146,0.873,0.295
"0500000US01085","Lowndes","AL",10153,0.246,0.749,0,0,0,0,0.006,0.002,33125,0.833,0.163
"0500000US01087","Macon","AL",19198,0.163,0.789,0,0.004,0,0.003,0.041,0.024,41206,0.827,0.206
"0500000US01089","Madison","AL",389781,0.654,0.245,0.005,0.025,0.001,0.018,0.053,0.053,78058,0.922,0.451
"0500000US01091","Marengo","AL",19180,0.454,0.508,0.003,0.008,0,0.007,0.019,0.028,42975,0.891,0.22
"0500000US01093","Marion","AL",29203,0.913,0.038,0.003,0.003,0,0.016,0.026,0.027,49743,0.806,0.118
"0500000US01095","Marshall","AL",97923,0.858,0.028,0.009,0.006,0.001,0.043,0.055,0.151,58272,0.844,0.214
"0500000US01097","Mobile","AL",413878,0.567,0.363,0.004,0.02,0,0.012,0.034,0.03,55352,0.881,0.242
"0500000US01099","Monroe","AL",19816,0.537,0.423,0.013,0.002,0.001,0.002,0.022,0.002,39965,0.837,0.135
"0500000US01101","Montgomery","AL",228132,0.328,0.591,0.001,0.033,0,0.014,0.033,0.038,56707,0.88,0.337
"0500000US01103","Morgan","AL",123102,0.764,0.135,0.004,0.005,0,0.041,0.051,0.088,61588,0.852,0.238
"0500000US01105","Perry","AL",8479,0.284,0.708,0,0.001,0,0.001,0.006,0.01,32332,0.796,0.152
"0500000US01107","Pickens","AL",18925,0.575,0.397,0.002,0.001,0,0.007,0.019,0.052,45339,0.849,0.145
"0500000US01109","Pike","AL",32997,0.566,0.373,0.003,0.02,0,0.004,0.034,0.024,42616,0.879,0.277
"0500000US01111","Randolph","AL",22179,0.77,0.19,0.001,0.003,0,0.008,0.029,0.03,49879,0.82,0.188
"0500000US01113","Russell","AL",58849,0.469,0.449,0.002,0.008,0.001,0.02,0.051,0.059,47420,0.852,0.164
"0500000US01115","St. Clair","AL",91719,0.852,0.098,0.003,0.004,0.001,0.013,0.028,0.025,73218,0.873,0.193
"0500000US01117","Shelby","AL",223916,0.78,0.13,0.002,0.02,0,0.028,0.039,0.059,90618,0.938,0.456
"0500000US01119","Sumter","AL",12196,0.255,0.723,0.001,0.005,0,0.001,0.016,0.007,31726,0.888,0.218
"0500000US01121","Talladega","AL",81105,0.631,0.319,0.002,0.004,0.001,0.012,0.031,0.025,52457,0.832,0.166
"0500000US01123","Tallapoosa","AL",41251,0.691,0.266,0.001,0.005,0,0.009,0.028,0.024,53282,0.819,0.182
"0500000US01125","Tuscaloosa","AL",231558,0.621,0.321,0.002,0.016,0,0.009,0.031,0.04,61645,0.906,0.309
"0500000US01127","Walker","AL",64978,0.886,0.06,0.002,0.002,0,0.017,0.034,0.029,52987,0.827,0.153
"0500000US01129","Washington","AL",15434,0.667,0.234,0.068,0.004,0,0.001,0.026,0.017,51184,0.883,0.142
"0500000US01131","Wilcox","AL",10441,0.275,0.702,0.001,0,0,0,0.021,0.002,38208,0.777,0.116
"0500000US01133","Winston","AL",23655,0.932,0.011,0.005,0.004,0,0.016,0.031,0.032,49494,0.8,0.138
"0500000US02013","Aleutians East Borough","AK",3407,0.169,0.054,0.371,0.198,0.003,0.081,0.124,0.119,79961,0.81,0.169
"0500000US02016","Aleutians West Census Area","AK",5219,0.26,0.039,0.093,0.407,0.035,0.055,0.112,0.154,100662,0.895,0.154
"0500000US02020","Anchorage Municipality","AK",290674,0.592,0.053,0.074,0.098,0.029,0.027,0.127,0.097,95731,0.942,0.37
"0500000US02050","Bethel Census Area","AK",18538,0.091,0.012,0.834,0.014,0.002,0.005,0.043,0.022,64094,0.827,0.097
"0500000US02060","Bristol Bay Borough","AK",854,0.453,0.004,0.315,0.056,0.02,0.026,0.126,0.087,94167,0.95,0.263
"0500000US02063","Chugach Census Area","AK",7000,0.716,0.016,0.053,0.07,0.013,0.049,0.082,0.059,83068,0.945,0.315
"0500000US02066","Copper River Census Area","AK",2614,0.53,0,0.339,0.005,0,0.014,0.112,0.065,70606,0.924,0.281
"0500000US02068","Denali Borough","AK",2101,0.757,0.023,0.03,0.035,0,0.021,0.133,0.017,87292,0.967,0.251
"0500000US02070","Dillingham Census Area","AK",4854,0.16,0.016,0.711,0.016,0.001,0,0.097,0.033,69412,0.881,0.205
"0500000US02090","Fairbanks North Star Borough","AK",96299,0.714,0.041,0.07,0.031,0.007,0.017,0.119,0.083,81655,0.947,0.329
"0500000US02100","Haines Borough","AK",2079,0.809,0,0.062,0.033,0,0.001,0.095,0.082,68276,0.977,0.337
"0500000US02105","Hoonah-Angoon Census Area","AK",2329,0.532,0.004,0.289,0.008,0.002,0,0.166,0.099,62344,0.94,0.275
"0500000US02110","Juneau City and Borough","AK",32108,0.64,0.011,0.094,0.072,0.014,0.019,0.15,0.072,95711,0.954,0.407
"0500000US02122","Kenai Peninsula Borough","AK",59235,0.796,0.007,0.074,0.017,0.004,0.017,0.085,0.044,76272,0.942,0.28
"0500000US02130","Ketchikan Gateway Borough","AK",13910,0.64,0.007,0.146,0.085,0.002,0.016,0.105,0.056,82763,0.947,0.285
"0500000US02150","Kodiak Island Borough","AK",13065,0.506,0.009,0.114,0.227,0,0.007,0.137,0.088,91138,0.912,0.285
"0500000US02158","Kusilvak Census Area","AK",8372,0.032,0.008,0.909,0.002,0.001,0.008,0.041,0.009,42663,0.814,0.046
"0500000US02164","Lake and Peninsula Borough","AK",999,0.171,0.022,0.618,0.035,0,0,0.154,0.001,61607,0.908,0.155
"0500000US02170","Matanuska-Susitna Borough","AK",108661,0.792,0.013,0.062,0.018,0.004,0.013,0.098,0.056,86435,0.942,0.237
"0500000US02180","Nome Census Area","AK",10018,0.142,0.01,0.76,0.013,0,0.002,0.072,0.02,70121,0.882,0.183
"0500000US02185","North Slope Borough","AK",10924,0.318,0.018,0.502,0.058,0.019,0.012,0.073,0.039,83472,0.907,0.142
"0500000US02188","Northwest Arctic Borough","AK",7682,0.106,0.012,0.807,0.013,0.003,0.002,0.056,0.026,77647,0.861,0.152
"0500000US02195","Petersburg Borough","AK",3374,0.577,0.012,0.079,0.178,0.005,0.036,0.113,0.091,77826,0.87,0.248
"0500000US02198","Prince of Wales-Hyder Census Area","AK",5799,0.451,0.004,0.385,0.014,0.008,0.005,0.135,0.041,61779,0.925,0.194
"0500000US02220","Sitka City and Borough","AK",8462,0.623,0.007,0.094,0.079,0.012,0.011,0.175,0.074,95261,0.952,0.342
"0500000US02230","Skagway Municipality","AK",1303,0.781,0.031,0.049,0.022,0,0,0.117,0.025,79583,0.927,0.278
"0500000US02240","Southeast Fairbanks Census Area","AK",6888,0.75,0.009,0.128,0.031,0.002,0.026,0.054,0.071,75378,0.937,0.198
"0500000US02275","Wrangell City and Borough","AK",2134,0.57,0,0.229,0.008,0.022,0.01,0.161,0.058,61000,0.871,0.18
"0500000US02282","Yakutat City and Borough","AK",564,0.307,0.021,0.261,0.202,0.021,0.014,0.174,0.066,76875,0.94,0.108
"0500000US02290","Yukon-Koyukuk Census Area","AK",5355,0.231,0.002,0.674,0.013,0.001,0.004,0.074,0.027,47826,0.87,0.141
"0500000US04001","Apache","AZ",66054,0.205,0.009,0.729,0.006,0.001,0.013,0.037,0.07,37483,0.84,0.138
"0500000US04003","Cochise","AZ",125504,0.714,0.04,0.009,0.019,0.003,0.043,0.171,0.357,58421,0.889,0.267
"0500000US04005","Coconino","AZ",144705,0.586,0.015,0.253,0.019,0.002,0.053,0.073,0.147,67266,0.915,0.396
"0500000US04007","Gila","AZ",53419,0.693,0.007,0.158,0.007,0,0.038,0.096,0.192,55242,0.871,0.181
"0500000US04009","Graham","AZ",38453,0.685,0.02,0.12,0.007,0.001,0.042,0.125,0.335,64089,0.846,0.14
"0500000US04011","Greenlee","AZ",9483,0.755,0.018,0.034,0.007,0,0.03,0.155,0.483,73756,0.859,0.167
"0500000US04012","La Paz","AZ",16681,0.635,0.006,0.151,0.009,0,0.059,0.14,0.282,46634,0.826,0.124
"0500000US04013","Maricopa","AZ",4430871,0.667,0.057,0.019,0.043,0.002,0.077,0.136,0.317,80675,0.892,0.35
"0500000US04015","Mohave","AZ",214229,0.832,0.011,0.019,0.011,0.002,0.045,0.08,0.174,53592,0.878,0.144
"0500000US04017","Navajo","AZ",107110,0.461,0.011,0.431,0.004,0.001,0.032,0.06,0.119,50335,0.856,0.173
"0500000US04019","Pima","AZ",1042393,0.659,0.035,0.034,0.029,0.002,0.1,0.142,0.381,64323,0.895,0.35
"0500000US04021","Pinal","AZ",433338,0.691,0.046,0.048,0.016,0.004,0.077,0.118,0.312,73313,0.885,0.214
"0500000US04023","Santa Cruz","AZ",47838,0.517,0.003,0.006,0.001,0.002,0.109,0.362,0.831,51885,0.78,0.235
"0500000US04025","Yavapai","AZ",237830,0.845,0.006,0.014,0.01,0.001,0.044,0.08,0.152,62430,0.921,0.287
"0500000US04027","Yuma","AZ",204374,0.581,0.019,0.013,0.011,0,0.117,0.258,0.653,56439,0.762,0.164
"0500000US05001","Arkansas","AR",17024,0.711,0.257,0.003,0,0,0.007,0.021,0.038,58695,0.86,0.158
"0500000US05003","Ashley","AR",19018,0.708,0.248,0.002,0.001,0.003,0.01,0.028,0.061,44804,0.859,0.116
"0500000US05005","Baxter","AR",41801,0.935,0.002,0.006,0.006,0,0.003,0.048,0.027,47403,0.896,0.182
"0500000US05007","Benton","AR",286528,0.719,0.019,0.011,0.042,0.007,0.037,0.166,0.174,85269,0.901,0.355
"0500000US05009","Boone","AR",37662,0.949,0.003,0.003,0.004,0,0.006,0.035,0.029,52275,0.906,0.166
"0500000US05011","Bradley","AR",10461,0.609,0.26,0.047,0.001,0,0.029,0.054,0.16,43688,0.858,0.125
"0500000US05013","Calhoun","AR",4773,0.742,0.208,0.004,0.002,0,0,0.044,0.049,60237,0.853,0.125
"0500000US05015","Carroll","AR",28362,0.797,0.004,0.009,0.012,0.012,0.022,0.145,0.156,56826,0.858,0.214
"0500000US05017","Chicot","AR",10234,0.424,0.536,0,0.003,0,0.006,0.031,0.061,36593,0.796,0.176
"0500000US05019","Clark","AR",21469,0.692,0.24,0.001,0.007,0,0.028,0.033,0.051,48071,0.897,0.264
"0500000US05021","Clay","AR",14537,0.944,0.007,0.003,0,0,0.005,0.041,0.008,44685,0.843,0.154
"0500000US05023","Cleburne","AR",24948,0.946,0.004,0.008,0.002,0,0.004,0.036,0.027,52780,0.879,0.172
"0500000US05025","Cleveland","AR",7548,0.84,0.131,0,0,0,0,0.028,0,48913,0.919,0.159
"0500000US05027","Columbia","AR",22707,0.611,0.356,0.005,0.005,0,0.006,0.018,0.03,47441,0.883,0.19
"0500000US05029","Conway","AR",20782,0.835,0.11,0.004,0.004,0,0.014,0.034,0.044,50282,0.892,0.191
"0500000US05031","Craighead","AR",111038,0.752,0.162,0.003,0.012,0,0.026,0.044,0.055,55169,0.902,0.282
"0500000US05033","Crawford","AR",60593,0.855,0.013,0.01,0.013,0,0.023,0.086,0.085,56702,0.855,0.203
"0500000US05035","Crittenden","AR",47945,0.416,0.501,0.001,0.008,0,0.002,0.072,0.03,51860,0.856,0.176
"0500000US05037","Cross","AR",16827,0.729,0.195,0.003,0,0,0.001,0.071,0.021,48129,0.835,0.161
"0500000US05039","Dallas","AR",6472,0.526,0.441,0,0.001,0.006,0.003,0.023,0.013,40085,0.884,0.13
"0500000US05041","Desha","AR",11285,0.475,0.476,0.001,0.002,0,0.017,0.029,0.068,38067,0.79,0.131
"0500000US05043","Drew","AR",17309,0.673,0.269,0,0.007,0,0.01,0.04,0.04,44968,0.874,0.25
"0500000US05045","Faulkner","AR",124611,0.81,0.114,0.003,0.01,0,0.02,0.042,0.044,61273,0.93,0.325
"0500000US05047","Franklin","AR",17160,0.896,0.006,0.005,0.008,0.001,0.009,0.075,0.036,47695,0.862,0.123
"0500000US05049","Fulton","AR",12183,0.93,0.002,0.004,0,0,0,0.063,0.006,38917,0.869,0.144
"0500000US05051","Garland","AR",100021,0.844,0.079,0.005,0.007,0.001,0.015,0.048,0.062,54229,0.906,0.252
"0500000US05053","Grant","AR",18022,0.924,0.026,0.001,0.004,0.001,0.011,0.034,0.032,68598,0.926,0.188
"0500000US05055","Greene","AR",45954,0.915,0.025,0.002,0.004,0.001,0.01,0.042,0.031,54879,0.879,0.166
"0500000US05057","Hempstead","AR",20037,0.568,0.31,0.008,0.002,0,0.081,0.031,0.136,45049,0.839,0.158
"0500000US05059","Hot Spring","AR",33129,0.839,0.115,0.004,0.003,0,0.003,0.037,0.038,50260,0.885,0.155
"0500000US05061","Howard","AR",12779,0.644,0.217,0.002,0.008,0.002,0.102,0.025,0.134,44824,0.884,0.15
"0500000US05063","Independence","AR",37910,0.867,0.019,0.003,0.007,0.003,0.038,0.062,0.071,52361,0.868,0.171
"0500000US05065","Izard","AR",13748,0.887,0.018,0.009,0,0,0.01,0.076,0.027,46159,0.832,0.189
"0500000US05067","Jackson","AR",16784,0.761,0.122,0.001,0.004,0,0.003,0.108,0.032,41929,0.863,0.119
"0500000US05069","Jefferson","AR",66934,0.386,0.56,0.001,0.008,0.004,0.014,0.027,0.024,46855,0.891,0.202
"0500000US05071","Johnson","AR",25925,0.85,0.016,0.005,0.03,0.002,0.018,0.078,0.144,42470,0.805,0.15
"0500000US05073","Lafayette","AR",6277,0.596,0.334,0.003,0.01,0,0.015,0.042,0.035,40262,0.811,0.106
"0500000US05075","Lawrence","AR",16258,0.935,0.014,0.002,0.001,0.001,0.003,0.045,0.018,43606,0.823,0.129
"0500000US05077","Lee","AR",8666,0.423,0.553,0.001,0.002,0,0.005,0.016,0.029,33801,0.835,0.077
"0500000US05079","Lincoln","AR",13016,0.634,0.298,0.005,0,0,0.038,0.025,0.045,50526,0.835,0.081
"0500000US05081","Little River","AR",12024,0.723,0.186,0.01,0.002,0,0.014,0.064,0.04,58627,0.906,0.159
"0500000US05083","Logan","AR",21247,0.897,0.016,0.004,0.018,0,0.007,0.057,0.032,51131,0.882,0.143
"0500000US05085","Lonoke","AR",74292,0.868,0.055,0.002,0.01,0.001,0.013,0.05,0.048,68078,0.899,0.199
"0500000US05087","Madison","AR",16737,0.796,0,0.004,0.01,0.01,0.014,0.166,0.063,51514,0.85,0.123
"0500000US05089","Marion","AR",16905,0.946,0.005,0.004,0.007,0.001,0.002,0.034,0.025,42891,0.877,0.152
"0500000US05091","Miller","AR",42682,0.685,0.252,0.009,0.003,0,0.026,0.025,0.038,47613,0.867,0.156
"0500000US05093","Mississippi","AR",40361,0.583,0.348,0.001,0.004,0,0.014,0.049,0.047,50012,0.828,0.148
"0500000US05095","Monroe","AR",6787,0.539,0.435,0.001,0.003,0,0,0.022,0,41786,0.802,0.142
"0500000US05097","Montgomery","AR",8555,0.909,0.007,0.01,0.008,0,0.027,0.038,0.049,47103,0.867,0.164
"0500000US05099","Nevada","AR",8292,0.642,0.337,0.001,0.002,0.001,0,0.017,0.015,43421,0.896,0.109
"0500000US05101","Newton","AR",7243,0.93,0.001,0.012,0,0.002,0.009,0.046,0.018,50699,0.849,0.148
"0500000US05103","Ouachita","AR",22606,0.558,0.41,0.001,0,0,0.002,0.028,0.027,47348,0.882,0.15
"0500000US05105","Perry","AR",10055,0.911,0.023,0.001,0.001,0,0.021,0.043,0.033,53980,0.91,0.152
"0500000US05107","Phillips","AR",16373,0.349,0.622,0,0.006,0,0.003,0.02,0.022,37458,0.82,0.152
"0500000US05109","Pike","AR",10205,0.887,0.042,0.001,0.003,0,0.025,0.043,0.068,49248,0.887,0.185
"0500000US05111","Poinsett","AR",22997,0.856,0.043,0.003,0,0.001,0.01,0.088,0.036,43440,0.818,0.115
"0500000US05113","Polk","AR",19384,0.901,0.001,0.016,0.002,0.002,0.029,0.05,0.066,48449,0.88,0.163
"0500000US05115","Pope","AR",63475,0.855,0.025,0.012,0.01,0.001,0.037,0.061,0.099,51678,0.853,0.239
"0500000US05117","Prairie","AR",8217,0.848,0.105,0,0.002,0,0.012,0.032,0.021,47045,0.856,0.16
"0500000US05119","Pulaski","AR",398322,0.527,0.374,0.003,0.023,0,0.027,0.046,0.064,58326,0.921,0.37
"0500000US05121","Randolph","AR",18619,0.905,0.014,0.003,0.004,0.014,0.006,0.055,0.024,45993,0.874,0.155
"0500000US05123","St. Francis","AR",23138,0.4,0.535,0.005,0.001,0.003,0.022,0.035,0.055,39822,0.842,0.133
"0500000US05125","Saline","AR",123988,0.846,0.084,0.002,0.011,0.001,0.017,0.039,0.054,73236,0.919,0.285
"0500000US05127","Scott","AR",9871,0.854,0.012,0.005,0.006,0.001,0.047,0.076,0.083,45340,0.838,0.12
"0500000US05129","Searcy","AR",7880,0.882,0.004,0.028,0.003,0,0.002,0.081,0.03,42063,0.82,0.149
"0500000US05131","Sebastian","AR",128184,0.704,0.06,0.01,0.046,0.001,0.095,0.084,0.151,54047,0.85,0.239
"0500000US05133","Sevier","AR",15913,0.579,0.047,0.026,0.003,0.013,0.286,0.046,0.343,53567,0.735,0.117
"0500000US05135","Sharp","AR",17422,0.925,0.01,0.002,0.005,0,0.012,0.046,0.026,43332,0.846,0.115
"0500000US05137","Stone","AR",12393,0.908,0.001,0.006,0.004,0,0.015,0.066,0.02,37664,0.861,0.144
"0500000US05139","Union","AR",38815,0.63,0.325,0.001,0.008,0,0.007,0.029,0.041,49745,0.872,0.185
"0500000US05141","Van Buren","AR",15900,0.931,0.007,0.008,0.003,0.001,0.017,0.032,0.035,45768,0.844,0.168
"0500000US05143","Washington","AR",247331,0.704,0.035,0.009,0.026,0.027,0.07,0.13,0.173,61985,0.87,0.345
"0500000US05145","White","AR",77118,0.886,0.044,0.002,0.009,0,0.009,0.05,0.047,51144,0.863,0.205
"0500000US05147","Woodruff","AR",6259,0.695,0.275,0,0,0.003,0.003,0.024,0.005,49608,0.844,0.165
"0500000US05149","Yell","AR",20342,0.775,0.022,0.005,0.011,0,0.163,0.025,0.211,55879,0.774,0.138
"0500000US06001","Alameda","CA",1663823,0.34,0.102,0.009,0.321,0.008,0.121,0.099,0.222,122488,0.892,0.509
"0500000US06003","Alpine","CA",1515,0.634,0,0.258,0.002,0,0.011,0.095,0.141,101125,0.933,0.396
"0500000US06005","Amador","CA",40577,0.803,0.017,0.012,0.013,0,0.052,0.103,0.151,74853,0.905,0.206
"0500000US06007","Butte","CA",213605,0.757,0.018,0.011,0.052,0.003,0.056,0.102,0.18,66085,0.903,0.308
"0500000US06009","Calaveras","CA",45674,0.831,0.01,0.013,0.02,0.001,0.033,0.092,0.136,77526,0.926,0.214
"0500000US06011","Colusa","CA",21811,0.609,0.017,0.015,0.008,0.001,0.178,0.172,0.609,69619,0.733,0.143
"0500000US06013","Contra Costa","CA",1162648,0.466,0.087,0.007,0.183,0.005,0.128,0.124,0.264,120020,0.897,0.445
"0500000US06015","Del Norte","CA",27462,0.691,0.027,0.072,0.031,0.003,0.072,0.104,0.204,61149,0.832,0.177
"0500000US06017","El Dorado","CA",191713,0.825,0.007,0.006,0.052,0.002,0.033,0.076,0.135,99246,0.947,0.38
"0500000US06019","Fresno","CA",1008280,0.48,0.045,0.013,0.107,0.002,0.181,0.172,0.542,67756,0.783,0.234
"0500000US06021","Glenn","CA",28657,0.675,0.004,0.023,0.034,0.001,0.143,0.12,0.433,64033,0.778,0.149
"0500000US06023","Humboldt","CA",136132,0.75,0.014,0.041,0.032,0.003,0.055,0.106,0.126,57881,0.913,0.311
"0500000US06025","Imperial","CA",179578,0.395,0.026,0.015,0.015,0,0.348,0.201,0.854,53847,0.713,0.159
"0500000US06027","Inyo","CA",18829,0.689,0.01,0.096,0.017,0.009,0.051,0.128,0.239,63417,0.931,0.29
"0500000US06029","Kern","CA",906883,0.561,0.052,0.011,0.05,0.002,0.155,0.17,0.553,63883,0.766,0.183
"0500000US06031","Kings","CA",152515,0.516,0.065,0.017,0.039,0.002,0.205,0.156,0.561,68540,0.745,0.147
"0500000US06033","Lake","CA",68024,0.709,0.023,0.03,0.014,0.003,0.132,0.089,0.23,56259,0.866,0.182
"0500000US06035","Lassen","CA",31873,0.716,0.084,0.023,0.018,0.009,0.029,0.121,0.204,59515,0.805,0.121
"0500000US06037","Los Angeles","CA",9936690,0.396,0.079,0.011,0.148,0.002,0.227,0.136,0.487,83411,0.803,0.346
"0500000US06039","Madera","CA",157243,0.491,0.026,0.013,0.023,0.001,0.296,0.15,0.597,73543,0.721,0.172
"0500000US06041","Marin","CA",260485,0.738,0.024,0.004,0.063,0.002,0.08,0.09,0.166,142019,0.934,0.611
"0500000US06043","Mariposa","CA",17130,0.82,0.008,0.016,0.013,0.004,0.049,0.09,0.13,60021,0.919,0.289
"0500000US06045","Mendocino","CA",91145,0.736,0.007,0.038,0.022,0.001,0.072,0.123,0.268,61335,0.868,0.24
"0500000US06047","Merced","CA",282290,0.416,0.03,0.012,0.073,0.003,0.369,0.098,0.619,64772,0.714,0.146
"0500000US06049","Modoc","CA",8651,0.832,0.019,0.031,0.014,0,0.05,0.054,0.153,54962,0.883,0.238
"0500000US06051","Mono","CA",13219,0.79,0.003,0.016,0.041,0,0.061,0.09,0.271,82038,0.872,0.317
"0500000US06053","Monterey","CA",437609,0.397,0.022,0.008,0.059,0.005,0.399,0.109,0.599,91043,0.734,0.271
"0500000US06055","Napa","CA",137384,0.636,0.018,0.01,0.08,0.003,0.136,0.117,0.351,105809,0.844,0.378
"0500000US06057","Nevada","CA",102322,0.88,0.004,0.004,0.016,0.001,0.015,0.079,0.1,79395,0.951,0.388
"0500000US06059","Orange","CA",3175227,0.502,0.017,0.006,0.217,0.003,0.135,0.12,0.339,109361,0.868,0.428
"0500000US06061","Placer","CA",406608,0.754,0.016,0.005,0.087,0.002,0.035,0.101,0.149,109375,0.949,0.424
"0500000US06063","Plumas","CA",19650,0.878,0.018,0.017,0.006,0.002,0.007,0.072,0.1,67885,0.941,0.212
"0500000US06065","Riverside","CA",2429487,0.468,0.065,0.01,0.069,0.003,0.236,0.149,0.508,84505,0.831,0.241
"0500000US06067","Sacramento","CA",1579211,0.498,0.096,0.007,0.172,0.011,0.096,0.12,0.24,84010,0.884,0.326
"0500000US06069","San Benito","CA",64753,0.538,0.01,0.019,0.032,0.002,0.13,0.269,0.614,104451,0.837,0.22
"0500000US06071","San Bernardino","CA",2180563,0.447,0.079,0.012,0.078,0.003,0.222,0.159,0.55,77423,0.814,0.224
"0500000US06073","San Diego","CA",3289701,0.578,0.048,0.008,0.121,0.004,0.092,0.149,0.345,96974,0.887,0.41
"0500000US06075","San Francisco","CA",851036,0.419,0.052,0.006,0.348,0.004,0.077,0.095,0.155,136689,0.888,0.598
