office_type,state,district,Democratic_name,Republican_name,Independent_name,dem_votes,rep_votes,ind_votes,green_votes,pct_reporting,total_votes,margin_votes,margin_pct,pct_absentee,absentee_margin,democratic_votes_1,democratic_votes_2,republican_votes_1,republican_votes_2,margin_pct_1,margin_votes_1,margin_pct_2,margin_votes_2,democratic_percent_1,republican_percent_1,democratic_percent_2,republican_percent_2,total_votes_estimate,total_votes_lower,total_votes_upper,expected_pct_in,dem_votes_pct,rep_votes_pct,ind_votes_pct,green_votes_pct,swing,votes_remaining,when_to_call,race_to_watch,poll_close
House,AL,7,Terri Sewall,Robin Litaker,NA,0,0,0,0,0,0,0,NA,NA,NA,123233,NA,67416,NA,28.780550685779108,55817,NA,NA,63.5418170568217,34.76126637104259,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Poll Closing,FALSE,20:00:00
House,AR,1,Rodney Govens,Rick Crawford,NA,0,0,0,0,0,0,0,NA,NA,NA,54598,NA,153774,NA,-47.59564624805636,-99176,NA,NA,26.20217687597182,73.79782312402818,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Poll Closing,FALSE,20:30:00
House,AR,2,Marcus Jones,French Hill,NA,0,0,0,0,0,0,0,NA,NA,NA,86887,NA,147975,NA,-24.787580240701818,-61088,NA,NA,35.25599928584761,60.04357952654943,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Poll Closing,FALSE,20:30:00
House,AR,3,Caitlin Draper,Steve Womack,NA,0,0,0,0,0,0,0,NA,NA,NA,73541,NA,142401,NA,-30.797717229905004,-68860,NA,NA,32.891300069771184,63.68901729967619,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Poll Closing,FALSE,20:30:00
House,AR,4,Risie Howard,Bruce Westerman,NA,0,0,0,0,0,0,0,NA,NA,NA,56745,NA,153850,NA,-44.81162550300883,-97105,NA,NA,26.186454756894452,70.99808025990328,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Poll Closing,FALSE,20:30:00
House,AZ,1,Amish Shah,David Schweikert,NA,0,0,0,0,0,0,0,NA,NA,NA,179141,NA,182336,NA,-0.8838736627779914,-3195,NA,NA,49.55806316861101,50.44193683138899,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Almost all results,TRUE,21:00:00
House,AZ,2,Jonathan Nez,Eli Crane,NA,0,0,0,0,0,0,0,NA,NA,NA,149151,NA,174169,NA,-7.736026419621764,-25018,NA,NA,46.12023649024725,53.85626290986902,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Lots of results,TRUE,21:00:00
House,AZ,3,Yassamin Ansari,Jeffrey Zink,NA,0,0,0,0,0,0,0,NA,NA,NA,108599,NA,32475,NA,53.96033287494507,76124,NA,NA,76.98016643747253,23.019833562527467,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Early results,TRUE,21:00:00
House,AZ,4,Greg Stanton,Kelly Cooper,NA,0,0,0,0,0,0,0,NA,NA,NA,148941,NA,116521,NA,12.21101477223934,32420,NA,NA,56.09872767403144,43.887712901792106,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Almost all results,TRUE,21:00:00
House,AZ,5,Katrina Schaffner,Andy Biggs,NA,0,0,0,0,0,0,0,NA,NA,NA,120243,NA,182464,NA,-19.34792748530738,-62221,NA,NA,37.39015516651637,56.73808265182375,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Early results,TRUE,21:00:00
