test_data,ddhq_id,year,office_type,state,county,district,fips,dem_name,rep_name,ind_name,green_name,percent_precincts_reporting,dem_votes,rep_votes,ind_votes,green_votes,dem_votes_percent,rep_votes_percent,ind_votes_percent,green_votes_percent,margin_votes,margin_percent,absentee_percent,absentee_margin
,,2016,Senate,FL,Gilchrist County,0,12041,,,,,100,1675,6303,358,,20.1,75.6,4.3,,-4628,-55.5,0.0,0
,,2016,Senate,FL,Pinellas County,0,12103,,,,,100,222928,236421,26002,,45.9,48.7,5.4,,-13493,-2.8,0.0,0
,,2016,Senate,FL,Collier County,0,12021,,,,,100,49470,115719,4335,,29.2,68.3,2.6,,-66249,-39.1,0.0,0
,,2016,Senate,FL,Putnam County,0,12107,,,,,100,9910,21474,1361,,30.3,65.6,4.2,,-11564,-35.3,0.0,0
,,2016,Senate,FL,Bradford County,0,12007,,,,,100,2694,8720,467,,22.7,73.4,3.9,,-6026,-50.7,0.0,0
,,2016,Senate,FL,Escambia County,0,12033,,,,,100,51316,94200,6163,,33.8,62.1,4.1,,-42884,-28.3,0.0,0
,,2016,Senate,FL,Okeechobee County,0,12093,,,,,100,4287,8647,571,,31.7,64.0,4.2,,-4360,-32.3,0.0,0
,,2016,Senate,FL,Madison County,0,12079,,,,,100,3564,4584,261,,42.4,54.5,3.1,,-1020,-12.1,0.0,0
,,2016,Senate,FL,Miami-Dade County,0,12086,,,,,100,529445,420063,21676,,54.5,43.3,2.2,,109382,11.2,0.0,0
,,2016,Senate,FL,Suwannee County,0,12121,,,,,100,4483,13335,711,,24.2,72.0,3.8,,-8852,-47.8,0.0,0
,,2016,Senate,FL,Highlands County,0,12055,,,,,100,14498,28123,2426,,32.2,62.4,5.4,,-13625,-30.2,0.0,0
,,2016,Senate,FL,Hernando County,0,12053,,,,,100,32766,53708,6099,,35.4,58.0,6.6,,-20942,-22.6,0.0,0
,,2016,Senate,FL,Flagler County,0,12035,,,,,100,21260,32914,2534,,37.5,58.0,4.5,,-11654,-20.5,0.0,0
,,2016,Senate,FL,Lafayette County,0,12067,,,,,100,669,2572,124,,19.9,76.4,3.7,,-1903,-56.5,0.0,0
,,2016,Senate,FL,Jackson County,0,12063,,,,,100,6362,13820,700,,30.5,66.2,3.4,,-7458,-35.7,0.0,0
,,2016,Senate,FL,St. Johns County,0,12109,,,,,100,35580,95753,4443,,26.2,70.5,3.3,,-60173,-44.3,0.0,0
,,2016,Senate,FL,Columbia County,0,12023,,,,,100,7361,19924,1056,,26.0,70.3,3.7,,-12563,-44.3,0.0,0
,,2016,Senate,FL,Sumter County,0,12119,,,,,100,21187,51846,2951,,27.9,68.2,3.9,,-30659,-40.3,0.0,0
,,2016,Senate,FL,Union County,0,12125,,,,,100,1064,4313,212,,19.0,77.2,3.8,,-3249,-58.2,0.0,0
,,2016,Senate,FL,Baker County,0,12003,,,,,100,2135,9901,450,,17.1,79.3,3.6,,-7766,-62.2,0.0,0
,,2016,Senate,FL,Sarasota County,0,12115,,,,,100,92332,124163,9459,,40.9,55.0,4.2,,-31831,-14.1,0.0,0
,,2016,Senate,FL,Brevard County,0,12009,,,,,100,112914,181496,17591,,36.2,58.2,5.6,,-68582,-22.0,0.0,0
,,2016,Senate,FL,Citrus County,0,12017,,,,,100,24038,48798,5583,,30.7,62.2,7.1,,-24760,-31.5,0.0,0
,,2016,Senate,FL,Polk County,0,12105,,,,,100,110363,156196,14247,,39.3,55.6,5.1,,-45833,-16.3,0.0,0
,,2016,Senate,FL,Seminole County,0,12117,,,,,100,94435,117728,9597,,42.6,53.1,4.3,,-23293,-10.5,0.0,0
,,2016,Senate,FL,Pasco County,0,12101,,,,,100,88665,134779,14637,,37.2,56.6,6.1,,-46114,-19.4,0.0,0
,,2016,Senate,FL,Hillsborough County,0,12057,,,,,100,281122,283871,26652,,47.5,48.0,4.5,,-2749,-0.5,0.0,0
,,2016,Senate,FL,Lake County,0,12069,,,,,100,59151,100664,8145,,35.2,59.9,4.8,,-41513,-24.7,0.0,0
,,2016,Senate,FL,Lee County,0,12071,,,,,100,104591,204778,12471,,32.5,63.6,3.9,,-100187,-31.1,0.0,0
,,2016,Senate,FL,Duval County,0,12031,,,,,100,171598,241000,15992,,40.0,56.2,3.7,,-69402,-16.2,0.0,0
,,2016,Senate,FL,Hendry County,0,12051,,,,,100,3892,6683,364,,35.6,61.1,3.3,,-2791,-25.5,0.0,0
,,2016,Senate,FL,Leon County,0,12073,,,,,100,86641,59958,4677,,57.3,39.6,3.1,,26683,17.7,0.0,0
,,2016,Senate,FL,Calhoun County,0,12013,,,,,100,1275,4331,403,,21.2,72.1,6.7,,-3056,-50.9,0.0,0
,,2016,Senate,FL,Indian River County,0,12061,,,,,100,28288,48181,2625,,35.8,60.9,3.3,,-19893,-25.1,0.0,0
,,2016,Senate,FL,Jefferson County,0,12065,,,,,100,3623,3751,228,,47.7,49.3,3.0,,-128,-1.6,0.0,0
,,2016,Senate,FL,Okaloosa County,0,12091,,,,,100,20813,74749,4620,,20.8,74.6,4.6,,-53936,-53.8,0.0,0
,,2016,Senate,FL,Nassau County,0,12089,,,,,100,9544,34974,1674,,20.7,75.7,3.6,,-25430,-55.0,0.0,0
,,2016,Senate,FL,Clay County,0,12019,,,,,100,23251,77965,4241,,22.0,73.9,4.0,,-54714,-51.9,0.0,0
,,2016,Senate,FL,Gadsden County,0,12039,,,,,100,14573,6887,493,,66.4,31.4,2.2,,7686,35.0,0.0,0
,,2016,Senate,FL,Orange County,0,12095,,,,,100,293696,224853,22027,,54.3,41.6,4.1,,68843,12.7,0.0,0
,,2016,Senate,FL,Hardee County,0,12049,,,,,100,2025,5151,335,,27.0,68.6,4.5,,-3126,-41.6,0.0,0
,,2016,Senate,FL,Franklin County,0,12037,,,,,100,1826,3861,226,,30.9,65.3,3.8,,-2035,-34.4,0.0,0
,,2016,Senate,FL,St. Lucie County,0,12111,,,,,100,69590,66222,3964,,49.8,47.4,2.8,,3368,2.4,0.0,0
,,2016,Senate,FL,Charlotte County,0,12015,,,,,100,30207,60194,4821,,31.7,63.2,5.1,,-29987,-31.5,0.0,0
,,2016,Senate,FL,Washington County,0,12133,,,,,100,2232,8323,489,,20.2,75.4,4.4,,-6091,-55.2,0.0,0
,,2016,Senate,FL,Taylor County,0,12123,,,,,100,2658,6216,367,,28.8,67.3,4.0,,-3558,-38.5,0.0,0
,,2016,Senate,FL,Martin County,0,12085,,,,,100,33685,49806,2110,,39.4,58.2,2.5,,-16121,-18.8,0.0,0
,,2016,Senate,FL,Volusia County,0,12127,,,,,100,104531,139933,12652,,40.7,54.4,4.9,,-35402,-13.7,0.0,0
,,2016,Senate,FL,Monroe County,0,12087,,,,,100,18738,21629,1508,,44.7,51.7,3.6,,-2891,-7.0,0.0,0
,,2016,Senate,FL,Glades County,0,12043,,,,,100,1196,2927,175,,27.8,68.1,4.1,,-1731,-40.3,0.0,0
,,2016,Senate,FL,Palm Beach County,0,12099,,,,,100,350625,287899,14793,,53.7,44.1,2.3,,62726,9.6,0.0,0
,,2016,Senate,FL,Dixie County,0,12029,,,,,100,1582,5040,369,,22.6,72.1,5.3,,-3458,-49.5,0.0,0
,,2016,Senate,FL,Broward County,0,12011,,,,,100,522932,278766,18337,,63.8,34.0,2.2,,244166,29.8,0.0,0
,,2016,Senate,FL,Manatee County,0,12081,,,,,100,66545,102717,8264,,37.5,57.9,4.7,,-36172,-20.4,0.0,0
,,2016,Senate,FL,Gulf County,0,12045,,,,,100,1750,5191,271,,24.3,72.0,3.8,,-3441,-47.7,0.0,0
,,2016,Senate,FL,Levy County,0,12075,,,,,100,5294,12914,904,,27.7,67.6,4.7,,-7620,-39.9,0.0,0
,,2016,Senate,FL,Bay County,0,12005,,,,,100,19971,62906,3982,,23.0,72.4,4.6,,-42935,-49.4,0.0,0
,,2016,Senate,FL,Osceola County,0,12097,,,,,100,75646,57103,5987,,54.5,41.2,4.3,,18543,13.3,0.0,0
,,2016,Senate,FL,Alachua County,0,12001,,,,,100,69399,54203,3936,,54.4,42.5,3.1,,15196,11.9,0.0,0
,,2016,Senate,FL,Walton County,0,12131,,,,,100,6334,25722,1343,,19.0,77.0,4.0,,-19388,-58.0,0.0,0
,,2016,Senate,FL,Hamilton County,0,12047,,,,,100,2106,3050,206,,39.3,56.9,3.8,,-944,-17.6,0.0,0
,,2016,Senate,FL,Santa Rosa County,0,12113,,,,,100,16284,66921,4029,,18.7,76.7,4.6,,-50637,-58.0,0.0,0
