test_data,ddhq_id,year,office_type,state,county,district,fips,dem_name,rep_name,ind_name,green_name,percent_precincts_reporting,dem_votes,rep_votes,ind_votes,green_votes,dem_votes_percent,rep_votes_percent,ind_votes_percent,green_votes_percent,margin_votes,margin_percent,absentee_percent,absentee_margin
,,2012,Senate,NE,Morrill County,0,31123,,,,,100,513,1656,,,23.7,76.3,,,-1143,-52.6,,
,,2012,Senate,NE,Nance County,0,31125,,,,,100,535,1061,,,33.5,66.5,,,-526,-33.0,,
,,2012,Senate,NE,Nemaha County,0,31127,,,,,100,1277,1867,,,40.6,59.4,,,-590,-18.8,,
,,2012,Senate,NE,Nuckolls County,0,31129,,,,,100,647,1517,,,29.9,70.1,,,-870,-40.2,,
,,2012,Senate,NE,Otoe County,0,31131,,,,,100,2848,4043,,,41.3,58.7,,,-1195,-17.4,,
,,2012,Senate,NE,Pawnee County,0,31133,,,,,100,479,858,,,35.8,64.2,,,-379,-28.4,,
,,2012,Senate,NE,Perkins County,0,31135,,,,,100,295,1090,,,21.3,78.7,,,-795,-57.4,,
,,2012,Senate,NE,Phelps County,0,31137,,,,,100,999,3342,,,23.0,77.0,,,-2343,-54.0,,
,,2012,Senate,NE,Pierce County,0,31139,,,,,100,698,2716,,,20.4,79.6,,,-2018,-59.2,,
,,2012,Senate,NE,Platte County,0,31141,,,,,100,3541,9705,,,26.7,73.3,,,-6164,-46.6,,
,,2012,Senate,NE,Polk County,0,31143,,,,,100,618,1815,,,25.4,74.6,,,-1197,-49.2,,
,,2012,Senate,NE,Red Willow County,0,31145,,,,,100,1197,3663,,,24.6,75.4,,,-2466,-50.8,,
,,2012,Senate,NE,Richardson County,0,31147,,,,,100,1393,2284,,,37.9,62.1,,,-891,-24.2,,
,,2012,Senate,NE,Rock County,0,31149,,,,,100,103,680,,,13.2,86.8,,,-577,-73.6,,
,,2012,Senate,NE,Saline County,0,31151,,,,,100,2475,2334,,,51.5,48.5,,,141,3.0,,
,,2012,Senate,NE,Sarpy County,0,31153,,,,,100,27805,37947,,,42.3,57.7,,,-10142,-15.4,,
,,2012,Senate,NE,Saunders County,0,31155,,,,,100,3697,6507,,,36.2,63.8,,,-2810,-27.6,,
,,2012,Senate,NE,Scotts Bluff County,0,31157,,,,,100,4871,9084,,,34.9,65.1,,,-4213,-30.2,,
,,2012,Senate,NE,Seward County,0,31159,,,,,100,2742,4716,,,36.8,63.2,,,-1974,-26.4,,
,,2012,Senate,NE,Sheridan County,0,31161,,,,,100,487,1976,,,19.8,80.2,,,-1489,-60.4,,
,,2012,Senate,NE,Sherman County,0,31163,,,,,100,557,950,,,37.0,63.0,,,-393,-26.0,,
,,2012,Senate,NE,Sioux County,0,31165,,,,,100,126,604,,,17.3,82.7,,,-478,-65.4,,
,,2012,Senate,NE,Stanton County,0,31167,,,,,100,652,1977,,,24.8,75.2,,,-1325,-50.4,,
,,2012,Senate,NE,Thayer County,0,31169,,,,,100,902,1725,,,34.3,65.7,,,-823,-31.4,,
,,2012,Senate,NE,Thomas County,0,31171,,,,,100,61,352,,,14.8,85.2,,,-291,-70.4,,
,,2012,Senate,NE,Thurston County,0,31173,,,,,100,1221,795,,,60.6,39.4,,,426,21.2,,
,,2012,Senate,NE,Valley County,0,31175,,,,,100,590,1585,,,27.1,72.9,,,-995,-45.8,,
,,2012,Senate,NE,Washington County,0,31177,,,,,100,3482,6618,,,34.5,65.5,,,-3136,-31.0,,
,,2012,Senate,NE,Wayne County,0,31179,,,,,100,1193,2484,,,32.4,67.6,,,-1291,-35.2,,
,,2012,Senate,NE,Webster County,0,31181,,,,,100,519,1201,,,30.2,69.8,,,-682,-39.6,,
,,2012,Senate,NE,Wheeler County,0,31183,,,,,100,91,359,,,20.2,79.8,,,-268,-59.6,,
,,2012,Senate,NE,York County,0,31185,,,,,100,1568,4668,,,25.1,74.9,,,-3100,-49.8,,
,,2012,Senate,VT,Addison County,0,50001,,,,,100,12875,4332,,,72.4,24.4,,,8543,48.0,,
,,2012,Senate,VT,Bennington County,0,50003,,,,,100,11525,4437,,,67.3,25.9,,,7088,41.4,,
,,2012,Senate,VT,Caledonia County,0,50005,,,,,100,8763,3858,,,66.6,29.3,,,4905,37.3,,
,,2012,Senate,VT,Chittenden County,0,50007,,,,,100,54854,17098,,,73.8,23.0,,,37756,50.8,,
,,2012,Senate,VT,Essex County,0,50009,,,,,100,1746,848,,,63.8,31.0,,,898,32.8,,
,,2012,Senate,VT,Franklin County,0,50011,,,,,100,13607,5336,,,68.7,26.9,,,8271,41.8,,
,,2012,Senate,VT,Grand Isle County,0,50013,,,,,100,2769,1119,,,68.7,27.8,,,1650,40.9,,
,,2012,Senate,VT,Lamoille County,0,50015,,,,,100,8701,2672,,,73.7,22.6,,,6029,51.1,,
,,2012,Senate,VT,Orange County,0,50017,,,,,100,9749,3533,,,70.4,25.5,,,6216,44.9,,
,,2012,Senate,VT,Orleans County,0,50019,,,,,100,8032,3106,,,69.6,26.9,,,4926,42.7,,
,,2012,Senate,VT,Rutland County,0,50021,,,,,100,18285,8586,,,65.2,30.6,,,9699,34.6,,
,,2012,Senate,VT,Washington County,0,50023,,,,,100,21499,6448,,,74.3,22.3,,,15051,52.0,,
,,2012,Senate,VT,Windham County,0,50025,,,,,100,16042,4141,,,74.7,19.3,,,11901,55.4,,
,,2012,Senate,VT,Windsor County,0,50027,,,,,100,19806,7115,,,70.4,25.3,,,12691,45.1,,
,,2012,Senate,HI,Hawaii County,0,15001,,,,,100,42853,19240,,,69.0,31.0,,,23613,38.0,,
,,2012,Senate,HI,Honolulu County,0,15003,,,,,100,172514,117564,,,59.5,40.5,,,54950,19.0,,
,,2012,Senate,HI,Kauai County,0,15007,,,,,100,17971,7134,,,71.6,28.4,,,10837,43.2,,
,,2012,Senate,HI,Maui County,0,15009,,,,,100,33097,15064,,,68.7,31.3,,,18033,37.4,,
