"","...1","state","office_type","question","answer","demographic_pct","answer_pct","lastName","year"
"1",1,"AL","President","Region","North",24,29,"Biden",2020
"2",2,"AL","President","Region","North",24,70,"Trump",2020
"3",3,"AL","President","Region","North Central",26,26,"Biden",2020
"4",4,"AL","President","Region","North Central",26,72,"Trump",2020
"5",5,"AL","President","Region","Birmingham/S. Central",28,56,"Biden",2020
"6",6,"AL","President","Region","Birmingham/S. Central",28,42,"Trump",2020
"7",7,"AL","President","Region","South",22,33,"Biden",2020
"8",8,"AL","President","Region","South",22,66,"Trump",2020
"9",9,"AL","President","Age","18-24",9,54,"Biden",2020
"10",10,"AL","President","Age","18-24",9,44,"Trump",2020
"11",11,"AL","President","Age","25-29",6,-1,"Biden",2020
"12",12,"AL","President","Age","25-29",6,-1,"Trump",2020
"13",13,"AL","President","Age","30-39",15,40,"Biden",2020
"14",14,"AL","President","Age","30-39",15,57,"Trump",2020
"15",15,"AL","President","Age","40-49",15,47,"Biden",2020
"16",16,"AL","President","Age","40-49",15,51,"Trump",2020
"17",17,"AL","President","Age","50-64",29,32,"Biden",2020
"18",18,"AL","President","Age","50-64",29,67,"Trump",2020
"19",19,"AL","President","Age","65 or older",25,23,"Biden",2020
"20",20,"AL","President","Age","65 or older",25,77,"Trump",2020
"21",21,"AL","President","Race","White",74,21,"Biden",2020
"22",22,"AL","President","Race","White",74,77,"Trump",2020
"23",23,"AL","President","Race","Black",22,89,"Biden",2020
"24",24,"AL","President","Race","Black",22,11,"Trump",2020
"25",25,"AL","President","Race","Latino",3,-1,"Biden",2020
"26",26,"AL","President","Race","Latino",3,-1,"Trump",2020
"27",27,"AL","President","Race","Asian",0,-1,"Biden",2020
"28",28,"AL","President","Race","Asian",0,-1,"Trump",2020
"29",29,"AL","President","Race","Other racial/ethnic groups",1,-1,"Biden",2020
"30",30,"AL","President","Race","Other racial/ethnic groups",1,-1,"Trump",2020
"31",31,"AL","President","Gender","Male",45,35,"Biden",2020
"32",32,"AL","President","Gender","Male",45,63,"Trump",2020
"33",33,"AL","President","Gender","Female",55,39,"Biden",2020
"34",34,"AL","President","Gender","Female",55,61,"Trump",2020
"35",35,"AL","President","Area type","Urban",25,58,"Biden",2020
"36",36,"AL","President","Area type","Urban",25,39,"Trump",2020
"37",37,"AL","President","Area type","Suburban",56,27,"Biden",2020
"38",38,"AL","President","Area type","Suburban",56,72,"Trump",2020
"39",39,"AL","President","Area type","Rural",20,37,"Biden",2020
"40",40,"AL","President","Area type","Rural",20,61,"Trump",2020
"41",41,"AL","President","Education","Never attended college",20,26,"Biden",2020
"42",42,"AL","President","Education","Never attended college",20,73,"Trump",2020
"43",43,"AL","President","Education","Some college",25,40,"Biden",2020
"44",44,"AL","President","Education","Some college",25,60,"Trump",2020
"45",45,"AL","President","Education","Associate's degree",17,29,"Biden",2020
"46",46,"AL","President","Education","Associate's degree",17,70,"Trump",2020
"47",47,"AL","President","Education","Bachelor's degree",23,40,"Biden",2020
"48",48,"AL","President","Education","Bachelor's degree",23,57,"Trump",2020
"49",49,"AL","President","Education","Advanced degree",14,52,"Biden",2020
"50",50,"AL","President","Education","Advanced degree",14,47,"Trump",2020
"51",51,"AL","President","Income","Less than $30,000",18,-1,"Biden",2020
"52",52,"AL","President","Income","Less than $30,000",18,-1,"Trump",2020
"53",53,"AL","President","Income","$30,000-$49,999",19,-1,"Biden",2020
"54",54,"AL","President","Income","$30,000-$49,999",19,-1,"Trump",2020
"55",55,"AL","President","Income","$50,000-$99,999",31,38,"Biden",2020
"56",56,"AL","President","Income","$50,000-$99,999",31,60,"Trump",2020
"57",57,"AL","President","Income","$100,000-$199,999",25,34,"Biden",2020
"58",58,"AL","President","Income","$100,000-$199,999",25,65,"Trump",2020
"59",59,"AL","President","Income","$200,000 or more",7,-1,"Biden",2020
"60",60,"AL","President","Income","$200,000 or more",7,-1,"Trump",2020
"61",61,"AL","Senate","Region","North",24,32,"Jones",2020
"62",62,"AL","Senate","Region","North",24,68,"Tuberville",2020
"63",63,"AL","Senate","Region","North Central",26,28,"Jones",2020
"64",64,"AL","Senate","Region","North Central",26,71,"Tuberville",2020
"65",65,"AL","Senate","Region","Birmingham/S. Central",28,60,"Jones",2020
"66",66,"AL","Senate","Region","Birmingham/S. Central",28,40,"Tuberville",2020
"67",67,"AL","Senate","Region","South",22,36,"Jones",2020
"68",68,"AL","Senate","Region","South",22,64,"Tuberville",2020
"69",69,"AL","Senate","Age","18-24",9,58,"Jones",2020
"70",70,"AL","Senate","Age","18-24",9,42,"Tuberville",2020
"71",71,"AL","Senate","Age","25-29",7,-1,"Jones",2020
"72",72,"AL","Senate","Age","25-29",7,-1,"Tuberville",2020
"73",73,"AL","Senate","Age","30-39",15,41,"Jones",2020
"74",74,"AL","Senate","Age","30-39",15,59,"Tuberville",2020
"75",75,"AL","Senate","Age","40-49",15,51,"Jones",2020
"76",76,"AL","Senate","Age","40-49",15,49,"Tuberville",2020
"77",77,"AL","Senate","Age","50-64",29,35,"Jones",2020
"78",78,"AL","Senate","Age","50-64",29,65,"Tuberville",2020
"79",79,"AL","Senate","Age","65 or older",25,25,"Jones",2020
"80",80,"AL","Senate","Age","65 or older",25,74,"Tuberville",2020
"81",81,"AL","Senate","Race","White",73,24,"Jones",2020
"82",82,"AL","Senate","Race","White",73,76,"Tuberville",2020
"83",83,"AL","Senate","Race","Black",22,90,"Jones",2020
"84",84,"AL","Senate","Race","Black",22,10,"Tuberville",2020
"85",85,"AL","Senate","Race","Latino",3,-1,"Jones",2020
"86",86,"AL","Senate","Race","Latino",3,-1,"Tuberville",2020
"87",87,"AL","Senate","Race","Asian",0,-1,"Jones",2020
"88",88,"AL","Senate","Race","Asian",0,-1,"Tuberville",2020
"89",89,"AL","Senate","Race","Other racial/ethnic groups",1,-1,"Jones",2020
"90",90,"AL","Senate","Race","Other racial/ethnic groups",1,-1,"Tuberville",2020
"91",91,"AL","Senate","Gender","Male",45,39,"Jones",2020
"92",92,"AL","Senate","Gender","Male",45,61,"Tuberville",2020
"93",93,"AL","Senate","Gender","Female",55,41,"Jones",2020
"94",94,"AL","Senate","Gender","Female",55,59,"Tuberville",2020
"95",95,"AL","Senate","Area type","Urban",25,63,"Jones",2020
"96",96,"AL","Senate","Area type","Urban",25,37,"Tuberville",2020
"97",97,"AL","Senate","Area type","Suburban",56,29,"Jones",2020
"98",98,"AL","Senate","Area type","Suburban",56,70,"Tuberville",2020
"99",99,"AL","Senate","Area type","Rural",20,40,"Jones",2020
"100",100,"AL","Senate","Area type","Rural",20,60,"Tuberville",2020
"101",101,"AL","Senate","Education","Never attended college",20,28,"Jones",2020
"102",102,"AL","Senate","Education","Never attended college",20,72,"Tuberville",2020
"103",103,"AL","Senate","Education","Some college",25,41,"Jones",2020
"104",104,"AL","Senate","Education","Some college",25,59,"Tuberville",2020
"105",105,"AL","Senate","Education","Associate's degree",18,32,"Jones",2020
"106",106,"AL","Senate","Education","Associate's degree",18,68,"Tuberville",2020
"107",107,"AL","Senate","Education","Bachelor's degree",23,43,"Jones",2020
"108",108,"AL","Senate","Education","Bachelor's degree",23,56,"Tuberville",2020
"109",109,"AL","Senate","Education","Advanced degree",14,57,"Jones",2020
"110",110,"AL","Senate","Education","Advanced degree",14,42,"Tuberville",2020
"111",111,"AL","Senate","Income","Less than $30,000",18,-1,"Jones",2020
"112",112,"AL","Senate","Income","Less than $30,000",18,-1,"Tuberville",2020
"113",113,"AL","Senate","Income","$30,000-$49,999",20,39,"Jones",2020
"114",114,"AL","Senate","Income","$30,000-$49,999",20,61,"Tuberville",2020
"115",115,"AL","Senate","Income","$50,000-$99,999",31,40,"Jones",2020
"116",116,"AL","Senate","Income","$50,000-$99,999",31,60,"Tuberville",2020
"117",117,"AL","Senate","Income","$100,000-$199,999",25,38,"Jones",2020
"118",118,"AL","Senate","Income","$100,000-$199,999",25,62,"Tuberville",2020
"119",119,"AL","Senate","Income","$200,000 or more",7,-1,"Jones",2020
"120",120,"AL","Senate","Income","$200,000 or more",7,-1,"Tuberville",2020
"121",121,"AL","President","Region","North",24,29,"Biden",2020
"122",122,"AL","President","Region","North",24,70,"Trump",2020
"123",123,"AL","President","Region","North Central",26,26,"Biden",2020
"124",124,"AL","President","Region","North Central",26,72,"Trump",2020
"125",125,"AL","President","Region","Birmingham/S. Central",28,56,"Biden",2020
"126",126,"AL","President","Region","Birmingham/S. Central",28,42,"Trump",2020
"127",127,"AL","President","Region","South",22,33,"Biden",2020
"128",128,"AL","President","Region","South",22,66,"Trump",2020
"129",129,"AL","President","Age","18-24",9,54,"Biden",2020
"130",130,"AL","President","Age","18-24",9,44,"Trump",2020
"131",131,"AL","President","Age","25-29",6,-1,"Biden",2020
"132",132,"AL","President","Age","25-29",6,-1,"Trump",2020
"133",133,"AL","President","Age","30-39",15,40,"Biden",2020
"134",134,"AL","President","Age","30-39",15,57,"Trump",2020
"135",135,"AL","President","Age","40-49",15,47,"Biden",2020
"136",136,"AL","President","Age","40-49",15,51,"Trump",2020
"137",137,"AL","President","Age","50-64",29,32,"Biden",2020
"138",138,"AL","President","Age","50-64",29,67,"Trump",2020
"139",139,"AL","President","Age","65 or older",25,23,"Biden",2020
"140",140,"AL","President","Age","65 or older",25,77,"Trump",2020
"141",141,"AL","President","Race","White",74,21,"Biden",2020
"142",142,"AL","President","Race","White",74,77,"Trump",2020
"143",143,"AL","President","Race","Black",22,89,"Biden",2020
"144",144,"AL","President","Race","Black",22,11,"Trump",2020
"145",145,"AL","President","Race","Latino",3,-1,"Biden",2020
"146",146,"AL","President","Race","Latino",3,-1,"Trump",2020
"147",147,"AL","President","Race","Asian",0,-1,"Biden",2020
"148",148,"AL","President","Race","Asian",0,-1,"Trump",2020
"149",149,"AL","President","Race","Other racial/ethnic groups",1,-1,"Biden",2020
"150",150,"AL","President","Race","Other racial/ethnic groups",1,-1,"Trump",2020
"151",151,"AL","President","Gender","Male",45,35,"Biden",2020
"152",152,"AL","President","Gender","Male",45,63,"Trump",2020
"153",153,"AL","President","Gender","Female",55,39,"Biden",2020
"154",154,"AL","President","Gender","Female",55,61,"Trump",2020
"155",155,"AL","President","Area type","Urban",25,58,"Biden",2020
"156",156,"AL","President","Area type","Urban",25,39,"Trump",2020
"157",157,"AL","President","Area type","Suburban",56,27,"Biden",2020
"158",158,"AL","President","Area type","Suburban",56,72,"Trump",2020
"159",159,"AL","President","Area type","Rural",20,37,"Biden",2020
"160",160,"AL","President","Area type","Rural",20,61,"Trump",2020
"161",161,"AL","President","Education","Never attended college",20,26,"Biden",2020
"162",162,"AL","President","Education","Never attended college",20,73,"Trump",2020
"163",163,"AL","President","Education","Some college",25,40,"Biden",2020
"164",164,"AL","President","Education","Some college",25,60,"Trump",2020
"165",165,"AL","President","Education","Associate's degree",17,29,"Biden",2020
"166",166,"AL","President","Education","Associate's degree",17,70,"Trump",2020
"167",167,"AL","President","Education","Bachelor's degree",23,40,"Biden",2020
"168",168,"AL","President","Education","Bachelor's degree",23,57,"Trump",2020
"169",169,"AL","President","Education","Advanced degree",14,52,"Biden",2020
"170",170,"AL","President","Education","Advanced degree",14,47,"Trump",2020
"171",171,"AL","President","Income","Less than $30,000",18,-1,"Biden",2020
"172",172,"AL","President","Income","Less than $30,000",18,-1,"Trump",2020
"173",173,"AL","President","Income","$30,000-$49,999",19,-1,"Biden",2020
"174",174,"AL","President","Income","$30,000-$49,999",19,-1,"Trump",2020
"175",175,"AL","President","Income","$50,000-$99,999",31,38,"Biden",2020
"176",176,"AL","President","Income","$50,000-$99,999",31,60,"Trump",2020
"177",177,"AL","President","Income","$100,000-$199,999",25,34,"Biden",2020
"178",178,"AL","President","Income","$100,000-$199,999",25,65,"Trump",2020
"179",179,"AL","President","Income","$200,000 or more",7,-1,"Biden",2020
"180",180,"AL","President","Income","$200,000 or more",7,-1,"Trump",2020
"181",181,"AL","Senate","Region","North",24,32,"Jones",2020
"182",182,"AL","Senate","Region","North",24,68,"Tuberville",2020
"183",183,"AL","Senate","Region","North Central",26,28,"Jones",2020
"184",184,"AL","Senate","Region","North Central",26,71,"Tuberville",2020
"185",185,"AL","Senate","Region","Birmingham/S. Central",28,60,"Jones",2020
"186",186,"AL","Senate","Region","Birmingham/S. Central",28,40,"Tuberville",2020
"187",187,"AL","Senate","Region","South",22,36,"Jones",2020
"188",188,"AL","Senate","Region","South",22,64,"Tuberville",2020
"189",189,"AL","Senate","Age","18-24",9,58,"Jones",2020
"190",190,"AL","Senate","Age","18-24",9,42,"Tuberville",2020
"191",191,"AL","Senate","Age","25-29",7,-1,"Jones",2020
"192",192,"AL","Senate","Age","25-29",7,-1,"Tuberville",2020
"193",193,"AL","Senate","Age","30-39",15,41,"Jones",2020
"194",194,"AL","Senate","Age","30-39",15,59,"Tuberville",2020
"195",195,"AL","Senate","Age","40-49",15,51,"Jones",2020
"196",196,"AL","Senate","Age","40-49",15,49,"Tuberville",2020
"197",197,"AL","Senate","Age","50-64",29,35,"Jones",2020
"198",198,"AL","Senate","Age","50-64",29,65,"Tuberville",2020
"199",199,"AL","Senate","Age","65 or older",25,25,"Jones",2020
"200",200,"AL","Senate","Age","65 or older",25,74,"Tuberville",2020
"201",201,"AL","Senate","Race","White",73,24,"Jones",2020
"202",202,"AL","Senate","Race","White",73,76,"Tuberville",2020
"203",203,"AL","Senate","Race","Black",22,90,"Jones",2020
"204",204,"AL","Senate","Race","Black",22,10,"Tuberville",2020
"205",205,"AL","Senate","Race","Latino",3,-1,"Jones",2020
"206",206,"AL","Senate","Race","Latino",3,-1,"Tuberville",2020
"207",207,"AL","Senate","Race","Asian",0,-1,"Jones",2020
"208",208,"AL","Senate","Race","Asian",0,-1,"Tuberville",2020
"209",209,"AL","Senate","Race","Other racial/ethnic groups",1,-1,"Jones",2020
"210",210,"AL","Senate","Race","Other racial/ethnic groups",1,-1,"Tuberville",2020
"211",211,"AL","Senate","Gender","Male",45,39,"Jones",2020
"212",212,"AL","Senate","Gender","Male",45,61,"Tuberville",2020
"213",213,"AL","Senate","Gender","Female",55,41,"Jones",2020
"214",214,"AL","Senate","Gender","Female",55,59,"Tuberville",2020
"215",215,"AL","Senate","Area type","Urban",25,63,"Jones",2020
"216",216,"AL","Senate","Area type","Urban",25,37,"Tuberville",2020
"217",217,"AL","Senate","Area type","Suburban",56,29,"Jones",2020
"218",218,"AL","Senate","Area type","Suburban",56,70,"Tuberville",2020
"219",219,"AL","Senate","Area type","Rural",20,40,"Jones",2020
"220",220,"AL","Senate","Area type","Rural",20,60,"Tuberville",2020
"221",221,"AL","Senate","Education","Never attended college",20,28,"Jones",2020
"222",222,"AL","Senate","Education","Never attended college",20,72,"Tuberville",2020
"223",223,"AL","Senate","Education","Some college",25,41,"Jones",2020
"224",224,"AL","Senate","Education","Some college",25,59,"Tuberville",2020
"225",225,"AL","Senate","Education","Associate's degree",18,32,"Jones",2020
"226",226,"AL","Senate","Education","Associate's degree",18,68,"Tuberville",2020
"227",227,"AL","Senate","Education","Bachelor's degree",23,43,"Jones",2020
"228",228,"AL","Senate","Education","Bachelor's degree",23,56,"Tuberville",2020
"229",229,"AL","Senate","Education","Advanced degree",14,57,"Jones",2020
"230",230,"AL","Senate","Education","Advanced degree",14,42,"Tuberville",2020
"231",231,"AL","Senate","Income","Less than $30,000",18,-1,"Jones",2020
"232",232,"AL","Senate","Income","Less than $30,000",18,-1,"Tuberville",2020
"233",233,"AL","Senate","Income","$30,000-$49,999",20,39,"Jones",2020
"234",234,"AL","Senate","Income","$30,000-$49,999",20,61,"Tuberville",2020
"235",235,"AL","Senate","Income","$50,000-$99,999",31,40,"Jones",2020
"236",236,"AL","Senate","Income","$50,000-$99,999",31,60,"Tuberville",2020
"237",237,"AL","Senate","Income","$100,000-$199,999",25,38,"Jones",2020
"238",238,"AL","Senate","Income","$100,000-$199,999",25,62,"Tuberville",2020
"239",239,"AL","Senate","Income","$200,000 or more",7,-1,"Jones",2020
"240",240,"AL","Senate","Income","$200,000 or more",7,-1,"Tuberville",2020
"241",241,"AL","President","Region","North",24,29,"Biden",2020
"242",242,"AL","President","Region","North",24,70,"Trump",2020
"243",243,"AL","President","Region","North Central",26,26,"Biden",2020
"244",244,"AL","President","Region","North Central",26,72,"Trump",2020
"245",245,"AL","President","Region","Birmingham/S. Central",28,56,"Biden",2020
"246",246,"AL","President","Region","Birmingham/S. Central",28,42,"Trump",2020
"247",247,"AL","President","Region","South",22,33,"Biden",2020
"248",248,"AL","President","Region","South",22,66,"Trump",2020
"249",249,"AL","President","Age","18-24",9,54,"Biden",2020
"250",250,"AL","President","Age","18-24",9,44,"Trump",2020
"251",251,"AL","President","Age","25-29",6,-1,"Biden",2020
"252",252,"AL","President","Age","25-29",6,-1,"Trump",2020
"253",253,"AL","President","Age","30-39",15,40,"Biden",2020
"254",254,"AL","President","Age","30-39",15,57,"Trump",2020
"255",255,"AL","President","Age","40-49",15,47,"Biden",2020
"256",256,"AL","President","Age","40-49",15,51,"Trump",2020
"257",257,"AL","President","Age","50-64",29,32,"Biden",2020
"258",258,"AL","President","Age","50-64",29,67,"Trump",2020
"259",259,"AL","President","Age","65 or older",25,23,"Biden",2020
"260",260,"AL","President","Age","65 or older",25,77,"Trump",2020
"261",261,"AL","President","Race","White",74,21,"Biden",2020
"262",262,"AL","President","Race","White",74,77,"Trump",2020
"263",263,"AL","President","Race","Black",22,89,"Biden",2020
"264",264,"AL","President","Race","Black",22,11,"Trump",2020
"265",265,"AL","President","Race","Latino",3,-1,"Biden",2020
"266",266,"AL","President","Race","Latino",3,-1,"Trump",2020
"267",267,"AL","President","Race","Asian",0,-1,"Biden",2020
"268",268,"AL","President","Race","Asian",0,-1,"Trump",2020
"269",269,"AL","President","Race","Other racial/ethnic groups",1,-1,"Biden",2020
"270",270,"AL","President","Race","Other racial/ethnic groups",1,-1,"Trump",2020
"271",271,"AL","President","Gender","Male",45,35,"Biden",2020
"272",272,"AL","President","Gender","Male",45,63,"Trump",2020
"273",273,"AL","President","Gender","Female",55,39,"Biden",2020
"274",274,"AL","President","Gender","Female",55,61,"Trump",2020
"275",275,"AL","President","Area type","Urban",25,58,"Biden",2020
"276",276,"AL","President","Area type","Urban",25,39,"Trump",2020
"277",277,"AL","President","Area type","Suburban",56,27,"Biden",2020
"278",278,"AL","President","Area type","Suburban",56,72,"Trump",2020
"279",279,"AL","President","Area type","Rural",20,37,"Biden",2020
"280",280,"AL","President","Area type","Rural",20,61,"Trump",2020
"281",281,"AL","President","Education","Never attended college",20,26,"Biden",2020
"282",282,"AL","President","Education","Never attended college",20,73,"Trump",2020
"283",283,"AL","President","Education","Some college",25,40,"Biden",2020
"284",284,"AL","President","Education","Some college",25,60,"Trump",2020
"285",285,"AL","President","Education","Associate's degree",17,29,"Biden",2020
"286",286,"AL","President","Education","Associate's degree",17,70,"Trump",2020
"287",287,"AL","President","Education","Bachelor's degree",23,40,"Biden",2020
"288",288,"AL","President","Education","Bachelor's degree",23,57,"Trump",2020
"289",289,"AL","President","Education","Advanced degree",14,52,"Biden",2020
"290",290,"AL","President","Education","Advanced degree",14,47,"Trump",2020
"291",291,"AL","President","Income","Less than $30,000",18,-1,"Biden",2020
"292",292,"AL","President","Income","Less than $30,000",18,-1,"Trump",2020
"293",293,"AL","President","Income","$30,000-$49,999",19,-1,"Biden",2020
"294",294,"AL","President","Income","$30,000-$49,999",19,-1,"Trump",2020
"295",295,"AL","President","Income","$50,000-$99,999",31,38,"Biden",2020
"296",296,"AL","President","Income","$50,000-$99,999",31,60,"Trump",2020
"297",297,"AL","President","Income","$100,000-$199,999",25,34,"Biden",2020
"298",298,"AL","President","Income","$100,000-$199,999",25,65,"Trump",2020
"299",299,"AL","President","Income","$200,000 or more",7,-1,"Biden",2020
"300",300,"AL","President","Income","$200,000 or more",7,-1,"Trump",2020
"301",301,"AL","Senate","Region","North",24,32,"Jones",2020
"302",302,"AL","Senate","Region","North",24,68,"Tuberville",2020
"303",303,"AL","Senate","Region","North Central",26,28,"Jones",2020
"304",304,"AL","Senate","Region","North Central",26,71,"Tuberville",2020
"305",305,"AL","Senate","Region","Birmingham/S. Central",28,60,"Jones",2020
"306",306,"AL","Senate","Region","Birmingham/S. Central",28,40,"Tuberville",2020
"307",307,"AL","Senate","Region","South",22,36,"Jones",2020
"308",308,"AL","Senate","Region","South",22,64,"Tuberville",2020
"309",309,"AL","Senate","Age","18-24",9,58,"Jones",2020
"310",310,"AL","Senate","Age","18-24",9,42,"Tuberville",2020
"311",311,"AL","Senate","Age","25-29",7,-1,"Jones",2020
"312",312,"AL","Senate","Age","25-29",7,-1,"Tuberville",2020
"313",313,"AL","Senate","Age","30-39",15,41,"Jones",2020
"314",314,"AL","Senate","Age","30-39",15,59,"Tuberville",2020
"315",315,"AL","Senate","Age","40-49",15,51,"Jones",2020
"316",316,"AL","Senate","Age","40-49",15,49,"Tuberville",2020
"317",317,"AL","Senate","Age","50-64",29,35,"Jones",2020
"318",318,"AL","Senate","Age","50-64",29,65,"Tuberville",2020
"319",319,"AL","Senate","Age","65 or older",25,25,"Jones",2020
"320",320,"AL","Senate","Age","65 or older",25,74,"Tuberville",2020
"321",321,"AL","Senate","Race","White",73,24,"Jones",2020
"322",322,"AL","Senate","Race","White",73,76,"Tuberville",2020
"323",323,"AL","Senate","Race","Black",22,90,"Jones",2020
"324",324,"AL","Senate","Race","Black",22,10,"Tuberville",2020
"325",325,"AL","Senate","Race","Latino",3,-1,"Jones",2020
"326",326,"AL","Senate","Race","Latino",3,-1,"Tuberville",2020
"327",327,"AL","Senate","Race","Asian",0,-1,"Jones",2020
"328",328,"AL","Senate","Race","Asian",0,-1,"Tuberville",2020
"329",329,"AL","Senate","Race","Other racial/ethnic groups",1,-1,"Jones",2020
"330",330,"AL","Senate","Race","Other racial/ethnic groups",1,-1,"Tuberville",2020
"331",331,"AL","Senate","Gender","Male",45,39,"Jones",2020
"332",332,"AL","Senate","Gender","Male",45,61,"Tuberville",2020
"333",333,"AL","Senate","Gender","Female",55,41,"Jones",2020
"334",334,"AL","Senate","Gender","Female",55,59,"Tuberville",2020
"335",335,"AL","Senate","Area type","Urban",25,63,"Jones",2020
"336",336,"AL","Senate","Area type","Urban",25,37,"Tuberville",2020
"337",337,"AL","Senate","Area type","Suburban",56,29,"Jones",2020
"338",338,"AL","Senate","Area type","Suburban",56,70,"Tuberville",2020
"339",339,"AL","Senate","Area type","Rural",20,40,"Jones",2020
"340",340,"AL","Senate","Area type","Rural",20,60,"Tuberville",2020
"341",341,"AL","Senate","Education","Never attended college",20,28,"Jones",2020
"342",342,"AL","Senate","Education","Never attended college",20,72,"Tuberville",2020
"343",343,"AL","Senate","Education","Some college",25,41,"Jones",2020
"344",344,"AL","Senate","Education","Some college",25,59,"Tuberville",2020
"345",345,"AL","Senate","Education","Associate's degree",18,32,"Jones",2020
"346",346,"AL","Senate","Education","Associate's degree",18,68,"Tuberville",2020
"347",347,"AL","Senate","Education","Bachelor's degree",23,43,"Jones",2020
"348",348,"AL","Senate","Education","Bachelor's degree",23,56,"Tuberville",2020
"349",349,"AL","Senate","Education","Advanced degree",14,57,"Jones",2020
"350",350,"AL","Senate","Education","Advanced degree",14,42,"Tuberville",2020
"351",351,"AL","Senate","Income","Less than $30,000",18,-1,"Jones",2020
"352",352,"AL","Senate","Income","Less than $30,000",18,-1,"Tuberville",2020
"353",353,"AL","Senate","Income","$30,000-$49,999",20,39,"Jones",2020
"354",354,"AL","Senate","Income","$30,000-$49,999",20,61,"Tuberville",2020
"355",355,"AL","Senate","Income","$50,000-$99,999",31,40,"Jones",2020
"356",356,"AL","Senate","Income","$50,000-$99,999",31,60,"Tuberville",2020
"357",357,"AL","Senate","Income","$100,000-$199,999",25,38,"Jones",2020
"358",358,"AL","Senate","Income","$100,000-$199,999",25,62,"Tuberville",2020
"359",359,"AL","Senate","Income","$200,000 or more",7,-1,"Jones",2020
"360",360,"AL","Senate","Income","$200,000 or more",7,-1,"Tuberville",2020
"361",361,"AL","President","Region","North",24,29,"Biden",2020
"362",362,"AL","President","Region","North",24,70,"Trump",2020
"363",363,"AL","President","Region","North Central",26,26,"Biden",2020
"364",364,"AL","President","Region","North Central",26,72,"Trump",2020
"365",365,"AL","President","Region","Birmingham/S. Central",28,56,"Biden",2020
"366",366,"AL","President","Region","Birmingham/S. Central",28,42,"Trump",2020
"367",367,"AL","President","Region","South",22,33,"Biden",2020
"368",368,"AL","President","Region","South",22,66,"Trump",2020
"369",369,"AL","President","Age","18-24",9,54,"Biden",2020
"370",370,"AL","President","Age","18-24",9,44,"Trump",2020
"371",371,"AL","President","Age","25-29",6,-1,"Biden",2020
"372",372,"AL","President","Age","25-29",6,-1,"Trump",2020
"373",373,"AL","President","Age","30-39",15,40,"Biden",2020
"374",374,"AL","President","Age","30-39",15,57,"Trump",2020
"375",375,"AL","President","Age","40-49",15,47,"Biden",2020
"376",376,"AL","President","Age","40-49",15,51,"Trump",2020
"377",377,"AL","President","Age","50-64",29,32,"Biden",2020
"378",378,"AL","President","Age","50-64",29,67,"Trump",2020
"379",379,"AL","President","Age","65 or older",25,23,"Biden",2020
"380",380,"AL","President","Age","65 or older",25,77,"Trump",2020
"381",381,"AL","President","Race","White",74,21,"Biden",2020
"382",382,"AL","President","Race","White",74,77,"Trump",2020
"383",383,"AL","President","Race","Black",22,89,"Biden",2020
"384",384,"AL","President","Race","Black",22,11,"Trump",2020
"385",385,"AL","President","Race","Latino",3,-1,"Biden",2020
"386",386,"AL","President","Race","Latino",3,-1,"Trump",2020
"387",387,"AL","President","Race","Asian",0,-1,"Biden",2020
"388",388,"AL","President","Race","Asian",0,-1,"Trump",2020
"389",389,"AL","President","Race","Other racial/ethnic groups",1,-1,"Biden",2020
"390",390,"AL","President","Race","Other racial/ethnic groups",1,-1,"Trump",2020
"391",391,"AL","President","Gender","Male",45,35,"Biden",2020
"392",392,"AL","President","Gender","Male",45,63,"Trump",2020
"393",393,"AL","President","Gender","Female",55,39,"Biden",2020
"394",394,"AL","President","Gender","Female",55,61,"Trump",2020
"395",395,"AL","President","Area type","Urban",25,58,"Biden",2020
"396",396,"AL","President","Area type","Urban",25,39,"Trump",2020
"397",397,"AL","President","Area type","Suburban",56,27,"Biden",2020
"398",398,"AL","President","Area type","Suburban",56,72,"Trump",2020
"399",399,"AL","President","Area type","Rural",20,37,"Biden",2020
"400",400,"AL","President","Area type","Rural",20,61,"Trump",2020
"401",401,"AL","President","Education","Never attended college",20,26,"Biden",2020
"402",402,"AL","President","Education","Never attended college",20,73,"Trump",2020
"403",403,"AL","President","Education","Some college",25,40,"Biden",2020
"404",404,"AL","President","Education","Some college",25,60,"Trump",2020
"405",405,"AL","President","Education","Associate's degree",17,29,"Biden",2020
"406",406,"AL","President","Education","Associate's degree",17,70,"Trump",2020
"407",407,"AL","President","Education","Bachelor's degree",23,40,"Biden",2020
"408",408,"AL","President","Education","Bachelor's degree",23,57,"Trump",2020
"409",409,"AL","President","Education","Advanced degree",14,52,"Biden",2020
"410",410,"AL","President","Education","Advanced degree",14,47,"Trump",2020
"411",411,"AL","President","Income","Less than $30,000",18,-1,"Biden",2020
"412",412,"AL","President","Income","Less than $30,000",18,-1,"Trump",2020
"413",413,"AL","President","Income","$30,000-$49,999",19,-1,"Biden",2020
"414",414,"AL","President","Income","$30,000-$49,999",19,-1,"Trump",2020
"415",415,"AL","President","Income","$50,000-$99,999",31,38,"Biden",2020
"416",416,"AL","President","Income","$50,000-$99,999",31,60,"Trump",2020
"417",417,"AL","President","Income","$100,000-$199,999",25,34,"Biden",2020
"418",418,"AL","President","Income","$100,000-$199,999",25,65,"Trump",2020
"419",419,"AL","President","Income","$200,000 or more",7,-1,"Biden",2020
"420",420,"AL","President","Income","$200,000 or more",7,-1,"Trump",2020
