state,office_type,district,margin_pct_1,margin_votes_1
TX,House,3,-23.637818149644616,-64119
ID,House,2,-27.182081670882717,-73714
VA,House,6,-28.949538319825876,-77942
VA,House,8,48.774057768390996,131171
CA,House,50,25.684292813669106,68997
MD,House,2,18.59786763226715,49923
NC,House,10,-45.30344099892993,-121507
WA,House,10,14.105427491521878,37767
UT,House,1,-33.94940319795811,-90448
OH,House,9,13.267197209200916,35293
NJ,House,5,10.410501498441395,27686
CA,House,47,3.4306473168068967,9113
AZ,House,4,12.21101477223934,32420
GA,House,12,-19.19304662606761,-50899
TX,House,26,NA,NA
GA,House,13,63.548689421652504,168160
IL,House,11,12.906021397133678,34103
MD,House,8,62.026221963165106,163877
GA,House,1,-18.294470857878885,-48291
PA,House,3,NA,NA
MA,House,1,22.472511008871578,59249
AK,House,0,23.02150904745647,60687
NC,House,8,-39.82142178654204,-104806
FL,House,14,13.797479898466355,36310
CA,House,11,67.90375002375839,178631
MO,House,6,-42.83584133408396,-112612
CA,House,24,21.133337396020597,55486
CA,House,4,35.603874177388875,92893
GA,House,8,-37.152418011712065,-96814
PA,House,13,NA,NA
TX,House,38,-27.434976853722453,-71295
KY,House,3,23.99311213581574,62283
UT,House,2,-25.69747763098547,-66659
NC,House,6,8.848716978509486,22918
NJ,House,4,-35.54768653315931,-92055
OK,House,5,-21.59752111457118,-55900
OH,House,3,40.90812490098417,105869
GA,House,14,-31.729313995300966,-81973
OH,House,2,-49.00760872094376,-126372
NC,House,1,4.738998199987586,12216
NC,House,14,15.411713585151618,39724
KY,House,4,-33.98840968990292,-87564
CA,House,48,-20.722290729020386,-53271
MD,House,6,9.564817198262077,24524
NY,House,2,-14.641355318077284,-37499
TX,House,4,-35.78077333218754,-91602
MO,House,4,-45.01389765523622,-114821
WI,House,4,52.66222765987483,134295
UT,House,4,-28.705536902845402,-72929
SC,House,7,-29.704764343253302,-75410
CT,House,5,0.18764388659371156,476
NV,House,3,3.966784180450412,10003
WI,House,6,NA,NA
MO,House,7,-44.0993542292625,-111107
TX,House,10,-29.0012979435335,-73065
MA,House,3,26.218728743103316,65911
CA,House,10,NA,NA
NY,House,26,28.41026661360923,71395
OH,House,15,-13.919546588869299,-34973
NY,House,12,57.30410470053131,143878
IL,House,9,43.388017403105415,108700
IL,House,13,13.232980634857256,33142
NC,House,3,-33.805816037091496,-84142
VA,House,9,-46.69764301102929,-116180
FL,House,15,-17.086602110830707,-42384
MT,House,1,-3.160590417809324,-7837
KY,House,6,-29.072839096014068,-71757
CA,House,26,9.060776614841018,22361
AR,House,2,-24.787580240701818,-61088
CA,House,1,-24.145801604223777,-59453
SC,House,2,-20.15959305396423,-49618
KY,House,1,-49.80761252430265,-122456
MO,House,8,-54.08993663277573,-132734
VA,House,4,30.01943031619166,73541
WV,House,2,-31.12264482248883,-76215
LA,House,1,-47.61559390929504,-116203
CT,House,1,21.879522616670698,53367
CT,House,3,16.163131410956478,39220
IL,House,10,26.00169306051659,62967
