office_type,state,district,margin_pct_1,margin_votes_1,margin_pct_2,absentee_pct_1,absentee_margin_pct_1
President,AK,0,-10.160905840286055,-36487,-15.17105455253297,0,NA
President,AL,0,-25.461652954742473,-591546,-28.33466062608118,1.1237120590612761,14.03455012065729
President,AR,0,-27.620667903129355,-336715,-26.986374891193066,78.1497191709411,-23.55843765974353
President,AZ,0,0.3087095839018743,10457,-4.115938937662703,88.1903897056262,4.633253617987638
President,CA,0,29.16322326858859,5103821,28.828757008869683,48.360051131140196,37.01273773591928
President,CO,0,13.501634645143225,439745,2.915312272710432,0,NA
President,CT,0,20.07358020900727,366114,13.314469228390765,3.3498185167721206,51.23248657849941
President,DC,0,89.52760250473837,37316,88.72452474738824,0,NA
President,DE,0,18.980774190988274,95665,11.432389278313158,0,NA
President,FL,0,-3.3583688970618,-371686,-1.2759474791594534,71.84237280907193,4.275043915180284
President,GA,0,0.23558188465507723,11779,-5.740645886254692,80.22080176641413,5.745563210045954
President,HI,0,29.464775296839342,169266,32.18375794321693,4.980251327747885,-43.72596994058021
President,IA,0,-8.19760939776009,-138611,-9.60107072487815,58.710688160125756,15.942428998249259
President,ID,0,-30.771162677099678,-267098,-31.60577419050179,45.705599218445784,-6.851493833353078
President,IL,0,16.977164840104525,1025024,15.989472078120231,10.855789731887985,24.67288949645732
President,IN,0,-16.067454699746737,-487359,-19.2601548330308,24.24675409451254,-13.733421804762772
President,KS,0,-14.620985614816798,-201083,-21.027979946702374,14.146326921175246,-5.813780164991903
President,KY,0,-25.9350570581364,-554172,-29.866955777128297,15.428769056818522,-11.041413262071666
President,LA,0,-18.609425612482323,-399742,-19.650979345879705,45.5801089540246,-7.672336222754011
President,MA,0,33.45815197546292,1215000,27.284250096935477,3.520926628338036,37.78302661525587
President,MD,0,29.53036699577685,826723,20.67781827298557,20.68379096925277,38.504154167897106
President,ME,0,8.6727947501659,70574,2.7017733126559236,7.35640376533045,39.00471083492032
President,MI,0,2.7835275996867477,154188,-0.24237531144872684,27.950705702631847,39.60552202000421
President,MN,0,7.110156900570645,233012,1.5013352059591196,0.9285447723051375,-4.893197502464673
President,MO,0,-19.167316426327627,-554337,-23.117088637475238,12.14389568807387,21.4157790286806
President,MS,0,-16.527446391450006,-217366,-18.612073909682568,2.6551458277257445,-4.495990836197022
President,MT,0,-16.369099878411195,-98816,-20.596434051458516,0,NA
President,NC,0,-1.3481564232866903,-74483,-3.8347577941410584,82.85140975136855,4.626185558632038
President,ND,0,-33.35728637799563,-120693,-36.38535409890554,21.891056025250194,-5.527359038456683
President,NE,0,-19.057532390266243,-182263,-26.309707337538697,13.692213266024176,14.942344406261933
President,NH,0,7.368609477495888,59277,0.37345209438003807,0.366211574821649,32.45078071961982
President,NJ,0,15.885918176962354,725087,13.231487284119565,36.57216008104571,8.25495109559408
President,NM,0,10.792616603442772,99720,8.28077693656329,0,NA
President,NV,0,2.6877730098856016,36974,2.7276602178193654,0.0681138992335914,-78.54855923159018
President,NY,0,23.127784003942967,1992889,21.335036384989017,4.334107281062095,40.024473577105155
President,OH,0,-8.031961760169613,-475669,-8.543647935974702,33.102754684828376,16.145738752874397
President,OK,0,-33.08709751207632,-516390,-36.39735475405498,28.710596982505916,-0.3329717955928111
President,OR,0,16.08607260770553,381935,10.623004298964654,0,NA
President,PA,0,1.179162355754409,81660,-1.1429610893071096,18.34762763248429,57.72607073712046
President,RI,0,20.59963244336084,106373,15.658234119270151,0,NA
President,SC,0,-11.68020581467846,-293562,-14.111292987482514,47.32575798870741,5.081499715835528
President,SD,0,-26.164137536114943,-110572,-29.795944839439315,0,NA
President,TN,0,-23.208859895260115,-708764,-26.17194653178202,42.44011904968514,0.8435579271915311
President,TX,0,-5.578593689682137,-631221,-9.140203725903287,86.41405751770031,-3.421915300161111
President,UT,0,-20.483790446613526,-304858,-18.061499131434164,42.90221858792211,0.32215677461084896
President,VA,0,8.382033223771371,354932,3.140792312804395,62.775603279585155,29.677405035147924
President,VT,0,35.41265227473138,130116,28.52515158898196,0,NA
President,WA,0,19.203323391959792,784961,16.274964147370028,0,NA
President,WI,0,0.6270995418189161,20682,-0.7786333556438747,0,NA
President,WV,0,-38.931160354887375,-309398,-42.18159175178545,16.20749662464406,-6.19769265406891
President,WY,0,-43.382653153397285,-120068,-47.55891646766529,16.661427564901633,-50.224448637043785
Senate,AZ,0,-3.919806049496808,-80799,2.3377207087241234,0,NA
Senate,CA,0,23.048228820974344,2457040,100,0,NA
Senate,CT,0,11.983246361880902,177220,17.454391810855146,0,NA
Senate,DE,0,37.50078748558537,149680,22.165088560753986,0,NA
Senate,FL,0,0,1064280,-0,0,NA
Senate,HI,0,25.29905496806898,107433,42.35738560448261,0,NA
Senate,IN,0,5.574369393397941,141575,-5.654913927767857,0,NA
Senate,MA,0,7.311411035391111,229228,23.648840714877785,0,NA
Senate,MD,0,24.402137188587147,537790,30.756343287166857,0,NA
Senate,ME,0,-17.51828337805007,-121950,-24.498338251882206,0,NA
Senate,MI,0,20.850433895517707,967338,6.613847600915393,0,NA
Senate,MN,0,34.713635095337224,987219,17.45562673532421,0,NA
Senate,MO,0,0,315266,-13.132658446002587,0,NA
Senate,MS,0,-17.103191356123116,-200293,-17.48326223999236,0,NA
Senate,MT,0,3.8984296075287834,18764,3.558741189145145,0,NA
Senate,ND,0,0.944278348897081,2994,-10.844398242133819,0,NA
Senate,NE,0,-16.23915936789847,-125389,-19.132626606404894,0,NA
Senate,NJ,0,18.685411850120396,583683,10.99161570149895,0,NA
Senate,NM,0,-0,42336,23.550057475537585,-0,NA
