ddhq_id,year,office_type,state,district
53019,2024,US House,IL,1
53020,2024,US House,IL,2
53021,2024,US House,IL,3
53022,2024,US House,IL,4
53023,2024,US House,IL,5
53024,2024,US House,IL,6
53025,2024,US House,IL,7
53026,2024,US House,IL,8
53027,2024,US House,IL,9
53028,2024,US House,IL,10
53029,2024,US House,IL,11
53030,2024,US House,IL,12
53031,2024,US House,IL,13
53032,2024,US House,IL,14
53033,2024,US House,IL,15
53034,2024,US House,IL,16
53035,2024,US House,IL,17
53036,2024,US House,IN,1
53037,2024,US House,IN,2
53038,2024,US House,IN,3
53039,2024,US House,IN,4
53040,2024,US House,IN,5
53041,2024,US House,IN,6
53042,2024,US House,IN,7
53043,2024,US House,IN,8
53044,2024,US House,IN,9
53045,2024,US House,IA,1
53046,2024,US House,IA,2
53047,2024,US House,IA,3
53048,2024,US House,IA,4
53049,2024,US House,KS,1
53050,2024,US House,KS,2
53051,2024,US House,KS,3
53052,2024,US House,KS,4
53053,2024,US House,KY,1
53054,2024,US House,KY,2
53055,2024,US House,KY,3
53056,2024,US House,KY,4
53057,2024,US House,KY,5
53058,2024,US House,KY,6
53065,2024,US House,ME,1
53066,2024,US House,ME,2
53067,2024,US House,MD,1
53068,2024,US House,MD,2
53069,2024,US House,MD,3
53070,2024,US House,MD,4
53071,2024,US House,MD,5
53072,2024,US House,MD,6
53073,2024,US House,MD,7
53074,2024,US House,MD,8
53075,2024,US House,MA,1
53076,2024,US House,MA,2
53077,2024,US House,MA,3
53078,2024,US House,MA,4
53079,2024,US House,MA,5
53080,2024,US House,MA,6
53081,2024,US House,MA,7
53082,2024,US House,MA,8
53083,2024,US House,MA,9
53084,2024,US House,MI,1
53085,2024,US House,MI,2
53086,2024,US House,MI,3
53087,2024,US House,MI,4
53088,2024,US House,MI,5
53089,2024,US House,MI,6
53090,2024,US House,MI,7
53091,2024,US House,MI,8
53092,2024,US House,MI,9
53093,2024,US House,MI,10
53094,2024,US House,MI,11
53095,2024,US House,MI,12
53096,2024,US House,MI,13
53097,2024,US House,MN,1
53098,2024,US House,MN,2
53099,2024,US House,MN,3
53100,2024,US House,MN,4
53101,2024,US House,MN,5
53102,2024,US House,MN,6
53103,2024,US House,MN,7
53104,2024,US House,MN,8
53105,2024,US House,MS,1
53106,2024,US House,MS,2
53107,2024,US House,MS,3
53108,2024,US House,MS,4
53109,2024,US House,MO,1
53110,2024,US House,MO,2
53111,2024,US House,MO,3
53112,2024,US House,MO,4
53113,2024,US House,MO,5
53114,2024,US House,MO,6
53115,2024,US House,MO,7
53116,2024,US House,MO,8
53117,2024,US House,MT,1
53118,2024,US House,MT,2
53119,2024,US House,NE,1
53120,2024,US House,NE,2
53121,2024,US House,NE,3
53122,2024,US House,NV,1
53123,2024,US House,NV,2
53124,2024,US House,NV,3
53125,2024,US House,NV,4
53126,2024,US House,NH,1
53127,2024,US House,NH,2
53128,2024,US House,NJ,1
53129,2024,US House,NJ,2
53130,2024,US House,NJ,3
53131,2024,US House,NJ,4
53132,2024,US House,NJ,5
53133,2024,US House,NJ,6
53134,2024,US House,NJ,7
53135,2024,US House,NJ,8
53136,2024,US House,NJ,9
53137,2024,US House,NJ,10
53138,2024,US House,NJ,11
53139,2024,US House,NJ,12
53140,2024,US House,NM,1
53141,2024,US House,NM,2
53142,2024,US House,NM,3
53143,2024,US House,NY,1
53144,2024,US House,NY,2
53145,2024,US House,NY,3
53146,2024,US House,NY,4
53147,2024,US House,NY,5
53148,2024,US House,NY,6
53149,2024,US House,NY,7
53150,2024,US House,NY,8
53151,2024,US House,NY,9
53152,2024,US House,NY,10
53153,2024,US House,NY,11
53154,2024,US House,NY,12
53155,2024,US House,NY,13
53156,2024,US House,NY,14
53157,2024,US House,NY,15
53158,2024,US House,NY,16
53159,2024,US House,NY,17
53160,2024,US House,NY,18
53161,2024,US House,NY,19
53162,2024,US House,NY,20
53163,2024,US House,NY,21
53164,2024,US House,NY,22
53165,2024,US House,NY,23
53166,2024,US House,NY,24
53167,2024,US House,NY,25
53168,2024,US House,NY,26
53169,2024,US House,NC,1
53170,2024,US House,NC,2
53171,2024,US House,NC,3
53172,2024,US House,NC,4
53173,2024,US House,NC,5
53174,2024,US House,NC,6
53175,2024,US House,NC,7
53176,2024,US House,NC,8
53177,2024,US House,NC,9
53178,2024,US House,NC,10
53179,2024,US House,NC,11
53180,2024,US House,NC,12
53181,2024,US House,NC,13
53182,2024,US House,NC,14
53183,2024,US House,ND,1
53184,2024,US House,OH,1
53185,2024,US House,OH,2
53186,2024,US House,OH,3
53187,2024,US House,OH,4
53188,2024,US House,OH,5
53189,2024,US House,OH,6
53190,2024,US House,OH,7
53191,2024,US House,OH,8
53192,2024,US House,OH,9
53193,2024,US House,OH,10
53194,2024,US House,OH,11
53195,2024,US House,OH,12
53196,2024,US House,OH,13
53197,2024,US House,OH,14
53198,2024,US House,OH,15
53199,2024,US House,OK,1
53200,2024,US House,OK,2
53201,2024,US House,OK,3
53202,2024,US House,OK,4
53203,2024,US House,OK,5
53204,2024,US House,OR,1
53205,2024,US House,OR,2
53206,2024,US House,OR,3
53207,2024,US House,OR,4
53208,2024,US House,OR,5
53209,2024,US House,OR,6
53210,2024,US House,PA,1
53211,2024,US House,PA,2
53212,2024,US House,PA,3
53213,2024,US House,PA,4
53214,2024,US House,PA,5
53215,2024,US House,PA,6
53216,2024,US House,PA,7
53217,2024,US House,PA,8
53218,2024,US House,PA,9
53219,2024,US House,PA,10
53220,2024,US House,PA,11
53221,2024,US House,PA,12
53222,2024,US House,PA,13
53223,2024,US House,PA,14
53224,2024,US House,PA,15
53225,2024,US House,PA,16
53226,2024,US House,PA,17
53227,2024,US House,RI,1
53228,2024,US House,RI,2
53229,2024,US House,SC,1
53230,2024,US House,SC,2
53231,2024,US House,SC,3
53232,2024,US House,SC,4
53233,2024,US House,SC,5
53234,2024,US House,SC,6
53235,2024,US House,SC,7
53236,2024,US House,SD,1
53237,2024,US House,TN,1
53238,2024,US House,TN,2
53239,2024,US House,TN,3
53240,2024,US House,TN,4
53241,2024,US House,TN,5
53242,2024,US House,TN,6
53243,2024,US House,TN,7
53244,2024,US House,TN,8
53245,2024,US House,TN,9
53246,2024,US House,TX,1
53247,2024,US House,TX,2
53248,2024,US House,TX,3
53249,2024,US House,TX,4
53250,2024,US House,TX,5
53251,2024,US House,TX,6
53252,2024,US House,TX,7
53253,2024,US House,TX,8
53254,2024,US House,TX,9
53255,2024,US House,TX,10
53256,2024,US House,TX,11
53257,2024,US House,TX,12
53258,2024,US House,TX,13
53259,2024,US House,TX,14
53260,2024,US House,TX,15
53261,2024,US House,TX,16
53262,2024,US House,TX,17
53263,2024,US House,TX,18
53264,2024,US House,TX,19
53265,2024,US House,TX,20
53266,2024,US House,TX,21
53267,2024,US House,TX,22
53268,2024,US House,TX,23
53269,2024,US House,TX,24
53270,2024,US House,TX,25
53271,2024,US House,TX,26
53272,2024,US House,TX,27
53273,2024,US House,TX,28
53274,2024,US House,TX,29
53275,2024,US House,TX,30
53276,2024,US House,TX,31
53277,2024,US House,TX,32
53278,2024,US House,TX,33
53279,2024,US House,TX,34
53280,2024,US House,TX,35
53281,2024,US House,TX,36
53282,2024,US House,TX,37
53283,2024,US House,TX,38
53284,2024,US House,UT,1
53285,2024,US House,UT,2
53286,2024,US House,UT,3
53287,2024,US House,UT,4
53288,2024,US House,VT,1
53289,2024,US House,VA,1
53290,2024,US House,VA,2
53291,2024,US House,VA,3
53292,2024,US House,VA,4
53293,2024,US House,VA,5
53294,2024,US House,VA,6
53295,2024,US House,VA,7
53296,2024,US House,VA,8
53297,2024,US House,VA,9
53298,2024,US House,VA,10
53299,2024,US House,VA,11
53300,2024,US House,WA,1
53301,2024,US House,WA,2
53302,2024,US House,WA,3
53303,2024,US House,WA,4
53304,2024,US House,WA,5
53305,2024,US House,WA,6
53306,2024,US House,WA,7
53307,2024,US House,WA,8
53308,2024,US House,WA,9
53309,2024,US House,WA,10
53310,2024,US House,WV,1
53311,2024,US House,WV,2
53312,2024,US House,WI,1
53313,2024,US House,WI,2
53314,2024,US House,WI,3
53315,2024,US House,WI,4
53316,2024,US House,WI,5
53317,2024,US House,WI,6
53318,2024,US House,WI,7
53319,2024,US House,WI,8
53320,2024,US House,WY,1
67169,2024,President,ME1,0
67170,2024,President,ME2,0
67171,2024,President,NE2,0
72811,2024,Governor,DE,0
72995,2024,Governor,NH,0
72996,2024,Governor,WA,0
