office_type,state,margin_votes_1,margin_pct_1,margin_votes_2,margin_pct_2
President,AK,-36173,-10.06,-46933,-14.730000000000002
President,AL,-591520,-1.6916267787850388,-588841,-1.511057312193488
President,AR,-336715,-1.4810497577577608,-299175,-0.5781592140759897
President,AZ,10457,16.87605888797938,-84904,-1.4459731859021085
President,CA,5103803,0.11570277227974426,3446281,0.42438882623549673
President,CO,439745,-0.5950451193380158,74754,0.2528722969435353
President,CT,365389,-11.128059328328684,216166,2.2871623433534918
President,DC,298737,86.75,248670,88.72452474738824
President,DE,95665,5.444369805270625,50478,-4.639206100413207
President,FL,-371686,0.3195529001999022,-119770,-0.24046659966287237
President,GA,11779,-0.7224485747922681,-231323,2.1198259656848033
President,HI,169266,7.826127619723788,138012,8.594328328994584
President,IA,-138611,-0.2216289202446921,-148133,-0.14452438734791118
President,ID,-267097,-1.5651730826468642,-217522,-0.07621708627263094
President,IL,1025024,-1.1007463804873079,859319,-0.26954823720327786
President,IN,-487357,-1.328211596640753,-524267,0.43650979182447447
President,KS,-199431,-0.7872884742432498,-241221,-0.349989520990546
President,KY,-554172,-0.2797411130241469,-574108,-0.3946887663173967
President,LA,-399742,-1.536727264252423,-398469,-1.0509893147814482
President,MA,1215000,2.003757583055895,881699,1.3792726671377784
President,MD,1008609,0.5706955526732731,624305,1.6366573608818877
President,ME,70574,0.28120628342921683,20035,0.27545059342281814
President,MI,154188,1.221708688827441,-11612,-0.3314191724640417
President,MN,233012,-0.18234836386974124,43785,-0.6368193252131616
President,MO,-465722,-0.4036067972031069,-530864,-0.5049584601093348
President,MS,-217366,0.18647772998117512,-216456,-0.2863913385953035
President,MT,-98816,-0.8909083401172331,-99599,-4.141828161940484
President,NC,-74481,0.17623889980778992,-177529,-0.13742541407458422
President,ND,-120693,-0.6788631229767492,-122607,-0.7285748022432236
President,NE,-182263,-0.5353578135901108,-211961,0.06343537246008768
President,NH,59267,0.6461239687770967,2732,-0.18911276539621527
President,NJ,725061,1.7318042264774813,486243,-0.46453342498630196
President,NM,99720,8.855166184643252,64849,18.813653961644317
President,NV,33596,-16.107518124039128,26434,1.8033677728876576
President,NY,1993776,-0.011290462007866493,1503304,-0.7240214347978184
President,OH,-475669,-0.39215792373645847,-454983,-0.16424748699998679
President,OK,-516390,-0.4244313216318911,-528146,-0.6372749464509593
President,OR,381935,-0.754558817321057,192125,-0.9163776484958401
President,PA,81660,0.5473296554749906,-68236,0.24657992356605454
President,RI,106373,3.402232930519183,70481,-0.8451351091749614
President,SC,-293562,-0.33764706574623016,-294142,-1.0240782125219465
President,SD,-110572,-0.5446205087092199,-110259,-0.5016368567669254
President,TN,-708764,-0.5332471178570785,-650292,-0.5280144497799814
President,TX,-631221,12.430330011887751,-813774,-0.14267372805192347
President,UT,-304858,-2.3811126006046854,-177898,-0.04393040115833814
President,VA,451138,-0.40138722062542614,185689,-0.4294425808924323
President,VT,130116,1.5068282477569,83126,0.17385720150831013
President,WA,784961,-0.601293902727058,481404,0.0521974360189761
President,WI,20608,-0.5703083003236613,-22871,-0.11476865443912763
President,WV,-309398,-0.4901614624162842,-298741,-0.8065742032358413
President,WY,-120068,53.326134550913345,-118299,-1.8261390450316817
Senate,AZ,55900,-3.0979589410341255,NA,NA
Senate,CA,11113364,1.7241379310344827,NA,NA
Senate,CT,241968,1.8499908884126703,NA,NA
Senate,DE,80258,13.15952965266305,NA,NA
Senate,FL,-11031,0.05154889182202794,NA,NA
Senate,HI,164281,11.698013234744709,NA,NA
Senate,IN,-143874,-5.293913545956563,NA,NA
Senate,MA,654161,-4.509663765642678,NA,NA
Senate,MD,794597,0.5560767733486469,NA,NA
Senate,ME,-157234,-1.7958242573777057,NA,NA
Senate,MI,275660,-1.1549954252557544,NA,NA
Senate,MN,900500,-0.0387951465012518,NA,NA
Senate,MO,-141998,-0.2006423743067757,NA,NA
Senate,MS,-328379,-0.2703916128075148,NA,NA
Senate,MT,17913,-0.565755036564638,NA,NA
Senate,ND,-35344,0.23200309404040723,NA,NA
Senate,NE,-133234,-0.6100428260177497,NA,NA
Senate,NJ,343628,0.5090580753314391,NA,NA
Senate,NM,164185,-0.19298406370015125,NA,NA
Senate,NV,48869,-27.221839961342244,NA,NA
Senate,NY,2006230,0,NA,NA
Senate,OH,300949,-0.20489877341835624,NA,NA
Senate,PA,657466,-0.46115483932073864,NA,NA
Senate,RI,87056,3.4466379253902804,NA,NA
Senate,TN,-242033,-0.23000489229104998,NA,NA
Senate,TX,-215557,0.8329546418629902,NA,NA
Senate,UT,-336555,-3.1036099923408993,NA,NA
Senate,VA,536057,0.5147848374143938,NA,NA
Senate,VT,-74815,-2.0633861548825414,NA,NA
Senate,WA,520773,-50.844463039134645,NA,NA
Senate,WI,288029,-0.08483212612040034,NA,NA
Senate,WV,19397,2.3140593680088797,NA,NA
Senate,WY,-74983,-3.6545930751968148,NA,NA
Senate,NA,178573,77.14336319886644,NA,NA
