state,county,total_winner,total_margin,total_votes,democrat_votes,republican_votes,democrat_vote_share,republican_vote_share,absentee_votes,absentee_vote_share,absentee_winner,absentee_margin,republican_absentee_votes,democrat_absentee_votes,republican_absentee_vote_share,democrat_absentee_vote_share
Arkansas,Bradley County,REPUBLICAN,12.5,6754,1317,2164,19.5,32.0,3540,52.4,REPUBLICAN,11.2,1111,714,31.4,20.2
Arkansas,Calhoun County,REPUBLICAN,40.4,2269,639,1556,28.2,68.6,924,40.7,REPUBLICAN,35.5,609,281,65.9,30.4
Arkansas,Carroll County,REPUBLICAN,18.9,18258,3342,6786,18.3,37.2,10451,57.2,REPUBLICAN,14.2,3713,2224,35.5,21.3
Arkansas,Chicot County,DEMOCRAT,15.2,4176,2350,1716,56.3,41.1,2146,51.4,REPUBLICAN,4.1,1081,992,50.4,46.2
Arkansas,Clark County,REPUBLICAN,5.1,15351,3620,4404,23.6,28.7,9059,59.0,DEMOCRAT,0.1,2357,2364,26.0,26.1
Arkansas,Clay County,REPUBLICAN,49.7,5200,1199,3781,23.1,72.7,2555,49.1,REPUBLICAN,44.5,1799,662,70.4,25.9
Arkansas,Cleburne County,REPUBLICAN,37.0,19902,2101,9458,10.6,47.5,9914,49.8,REPUBLICAN,35.7,4653,1110,46.9,11.2
Arkansas,Cleveland County,REPUBLICAN,51.8,3354,723,2462,21.6,73.4,1366,40.7,REPUBLICAN,46.6,975,338,71.4,24.7
Arkansas,Columbia County,REPUBLICAN,9.2,25159,3140,5456,12.5,21.7,18382,73.1,REPUBLICAN,10.5,4016,2090,21.8,11.4
Arkansas,Conway County,REPUBLICAN,16.2,13515,2656,4849,19.7,35.9,6491,48.0,REPUBLICAN,9.7,2120,1491,32.7,23.0
Arkansas,Craighead County,REPUBLICAN,34.7,35573,10538,22892,29.6,64.4,22927,64.5,REPUBLICAN,33.4,14660,7004,63.9,30.5
Arkansas,Crawford County,REPUBLICAN,54.3,22450,4488,16686,20.0,74.3,11375,50.7,REPUBLICAN,52.6,8397,2413,73.8,21.2
Arkansas,Crittenden County,DEMOCRAT,5.2,27935,8410,6964,30.1,24.9,18440,66.0,REPUBLICAN,1.9,5239,4882,28.4,26.5
Arkansas,Cross County,REPUBLICAN,37.6,6874,1999,4584,29.1,66.7,4772,69.4,REPUBLICAN,39.6,3232,1340,67.7,28.1
Arkansas,Dallas County,REPUBLICAN,12.4,2771,1165,1509,42.0,54.5,1444,52.1,REPUBLICAN,9.6,767,629,53.1,43.6
Arkansas,Desha County,DEMOCRAT,4.1,7508,2228,1919,29.7,25.6,3959,52.7,REPUBLICAN,3.0,1136,1019,28.7,25.7
Arkansas,Drew County,REPUBLICAN,24.3,6595,2365,3968,35.9,60.2,3503,53.1,REPUBLICAN,19.5,2031,1347,58.0,38.5
Arkansas,Faulkner County,REPUBLICAN,19.8,74251,14629,29346,19.7,39.5,56794,76.5,REPUBLICAN,19.8,22427,11199,39.5,19.7
Arkansas,Franklin County,REPUBLICAN,54.1,6770,1376,5039,20.3,74.4,3740,55.2,REPUBLICAN,52.3,2753,796,73.6,21.3
Arkansas,Fulton County,REPUBLICAN,31.2,7701,1067,3471,13.9,45.1,4019,52.2,REPUBLICAN,27.9,1736,615,43.2,15.3
Arkansas,Garland County,REPUBLICAN,20.1,68506,12311,26087,18.0,38.1,48233,70.4,REPUBLICAN,19.8,18342,8778,38.0,18.2
Arkansas,Grant County,REPUBLICAN,34.4,12648,1373,5725,10.9,45.3,6108,48.3,REPUBLICAN,34.3,2764,666,45.3,10.9
Arkansas,Greene County,REPUBLICAN,32.3,23684,3071,10720,13.0,45.3,14691,62.0,REPUBLICAN,32.4,6696,1931,45.6,13.1
Arkansas,Hempstead County,REPUBLICAN,28.7,7049,2377,4401,33.7,62.4,3649,51.8,REPUBLICAN,25.1,2216,1301,60.7,35.7
Arkansas,Hot Spring County,REPUBLICAN,42.1,11944,3149,8172,26.4,68.4,6161,51.6,REPUBLICAN,37.3,4089,1788,66.4,29.0
Arkansas,Howard County,REPUBLICAN,38.6,4674,1351,3157,28.9,67.5,2581,55.2,REPUBLICAN,38.7,1742,744,67.5,28.8
Arkansas,Independence County,REPUBLICAN,51.8,13614,2881,9936,21.2,73.0,8012,58.9,REPUBLICAN,50.7,5835,1771,72.8,22.1
Arkansas,Izard County,REPUBLICAN,32.0,9155,1113,4042,12.2,44.2,4096,44.7,REPUBLICAN,29.5,1745,537,42.6,13.1
Arkansas,Jackson County,REPUBLICAN,20.5,8197,1583,3267,19.3,39.9,4652,56.8,REPUBLICAN,16.6,1782,1012,38.3,21.8
Arkansas,Jefferson County,DEMOCRAT,25.2,25894,15772,9250,60.9,35.7,13420,51.8,DEMOCRAT,39.6,3858,9177,28.7,68.4
Arkansas,Johnson County,REPUBLICAN,22.8,16055,2427,6091,15.1,37.9,8220,51.2,REPUBLICAN,21.0,3057,1327,37.2,16.1
Arkansas,Lafayette County,REPUBLICAN,25.4,2860,1032,1758,36.1,61.5,1389,48.6,REPUBLICAN,20.3,822,540,59.2,38.9
Arkansas,Lawrence County,REPUBLICAN,26.5,10554,1263,4064,12.0,38.5,5134,48.6,REPUBLICAN,25.6,1962,646,38.2,12.6
Arkansas,Lee County,DEMOCRAT,9.8,5181,1735,1229,33.5,23.7,3205,61.9,DEMOCRAT,13.7,709,1147,22.1,35.8
Arkansas,Lincoln County,REPUBLICAN,31.4,3826,1252,2455,32.7,64.2,2239,58.5,REPUBLICAN,28.7,1404,762,62.7,34.0
Arkansas,Little River County,REPUBLICAN,26.8,8235,1397,3605,17.0,43.8,4088,49.6,REPUBLICAN,26.1,1749,681,42.8,16.7
Arkansas,Logan County,REPUBLICAN,28.1,14321,1715,5746,12.0,40.1,6208,43.3,REPUBLICAN,26.9,2467,799,39.7,12.9
Arkansas,Lonoke County,REPUBLICAN,52.7,27100,5664,19958,20.9,73.6,26606,98.2,REPUBLICAN,53.2,19657,5501,73.9,20.7
Arkansas,Madison County,REPUBLICAN,48.8,6841,1588,4928,23.2,72.0,2443,35.7,REPUBLICAN,37.0,1626,722,66.6,29.6
Arkansas,Marion County,REPUBLICAN,54.9,7107,1434,5336,20.2,75.1,3958,55.7,REPUBLICAN,51.5,2910,872,73.5,22.0
Arkansas,Miller County,REPUBLICAN,26.6,26352,4273,11294,16.2,42.9,16662,63.2,REPUBLICAN,26.3,7117,2730,42.7,16.4
Arkansas,Mississippi County,REPUBLICAN,10.5,13204,5670,7061,42.9,53.5,8926,67.6,REPUBLICAN,4.9,4531,4092,50.8,45.8
Arkansas,Monroe County,REPUBLICAN,3.5,5102,1312,1489,25.7,29.2,2027,39.7,REPUBLICAN,5.6,612,499,30.2,24.6
Arkansas,Montgomery County,REPUBLICAN,53.2,3559,748,2643,21.0,74.3,1744,49.0,REPUBLICAN,46.3,1236,429,70.9,24.6
Arkansas,Nevada County,REPUBLICAN,15.9,5302,1157,2000,21.8,37.7,2292,43.2,REPUBLICAN,12.0,831,557,36.3,24.3
Arkansas,Newton County,REPUBLICAN,58.0,3753,699,2875,18.6,76.6,1399,37.3,REPUBLICAN,48.8,1005,322,71.8,23.0
Arkansas,Ouachita County,REPUBLICAN,10.4,9935,4321,5351,43.5,53.9,0,0.0,REPUBLICAN,,0,0,,
Arkansas,Perry County,REPUBLICAN,28.6,6839,1049,3008,15.3,44.0,3094,45.2,REPUBLICAN,27.6,1344,489,43.4,15.8
Arkansas,Phillips County,DEMOCRAT,15.4,12079,4310,2446,35.7,20.3,6625,54.8,DEMOCRAT,25.2,1017,2686,15.4,40.5
Arkansas,Pike County,REPUBLICAN,61.9,3981,685,3150,17.2,79.1,2069,52.0,REPUBLICAN,58.5,1604,394,77.5,19.0
Arkansas,Poinsett County,REPUBLICAN,46.9,7722,1880,5502,24.3,71.3,2148,27.8,REPUBLICAN,51.7,1590,479,74.0,22.3
Arkansas,Polk County,REPUBLICAN,41.2,13108,1212,6618,9.2,50.5,7811,59.6,REPUBLICAN,39.6,3859,769,49.4,9.8
Arkansas,Pope County,REPUBLICAN,28.5,39529,5000,16256,12.6,41.1,28841,73.0,REPUBLICAN,27.9,11805,3762,40.9,13.0
Arkansas,Prairie County,REPUBLICAN,31.3,5395,814,2505,15.1,46.4,2286,42.4,REPUBLICAN,31.1,1067,357,46.7,15.6
Arkansas,Pulaski County,DEMOCRAT,11.0,257618,89574,61257,34.8,23.8,134813,52.3,DEMOCRAT,14.6,29878,49595,22.2,36.8
Arkansas,Randolph County,REPUBLICAN,48.3,6379,1425,4509,22.3,70.7,4078,63.9,REPUBLICAN,45.7,2828,963,69.3,23.6
Arkansas,Saline County,REPUBLICAN,26.3,86109,13256,35863,15.4,41.6,57486,66.8,REPUBLICAN,25.1,23295,8853,40.5,15.4
Arkansas,Scott County,REPUBLICAN,34.7,6136,602,2731,9.8,44.5,2513,41.0,REPUBLICAN,31.3,1084,298,43.1,11.9
Arkansas,Searcy County,REPUBLICAN,63.1,3728,601,2955,16.1,79.3,2022,54.2,REPUBLICAN,62.7,1601,333,79.2,16.5
Arkansas,Sebastian County,REPUBLICAN,37.7,44637,12300,29127,27.6,65.3,30172,67.6,REPUBLICAN,38.2,19891,8380,65.9,27.8
Arkansas,Sevier County,REPUBLICAN,29.2,7556,1075,3282,14.2,43.4,3660,48.4,REPUBLICAN,29.6,1601,516,43.7,14.1
Arkansas,Sharp County,REPUBLICAN,30.7,12814,1472,5407,11.5,42.2,7254,56.6,REPUBLICAN,29.6,3018,872,41.6,12.0
Arkansas,St. Francis County,DEMOCRAT,6.3,13329,4031,3195,30.2,24.0,7321,54.9,DEMOCRAT,10.5,1595,2367,21.8,32.3
Arkansas,Stone County,REPUBLICAN,51.8,5618,1203,4113,21.4,73.2,3342,59.5,REPUBLICAN,50.6,2433,743,72.8,22.2
Arkansas,Union County,REPUBLICAN,17.0,26997,5855,10456,21.7,38.7,0,0.0,REPUBLICAN,,0,0,,
Arkansas,Van Buren County,REPUBLICAN,52.2,7339,1549,5382,21.1,73.3,3784,51.6,REPUBLICAN,49.5,2731,859,72.2,22.7
Arkansas,Washington County,REPUBLICAN,9.9,81861,33366,41476,40.8,50.7,49187,60.1,REPUBLICAN,3.2,23587,21989,48.0,44.7
Arkansas,White County,REPUBLICAN,33.2,47877,5170,21077,10.8,44.0,25258,52.8,REPUBLICAN,32.5,10991,2788,43.5,11.0
Arkansas,Woodruff County,REPUBLICAN,8.9,2571,1118,1347,43.5,52.4,915,35.6,REPUBLICAN,7.2,475,409,51.9,44.7
Arkansas,Yell County,REPUBLICAN,48.6,6439,1480,4608,23.0,71.6,3093,48.0,REPUBLICAN,45.3,2172,771,70.2,24.9
California,Alameda County,DEMOCRAT,63.5,659543,514842,95922,78.1,14.5,437595,66.3,DEMOCRAT,63.9,63166,342769,14.4,78.3
California,Alpine County,DEMOCRAT,19.4,602,334,217,55.5,36.0,602,100.0,DEMOCRAT,19.4,217,334,36.0,55.5
California,Amador County,REPUBLICAN,24.9,17963,6004,10485,33.4,58.4,17963,100.0,REPUBLICAN,24.9,10485,6004,58.4,33.4
California,Butte County,REPUBLICAN,3.7,97002,41567,45144,42.9,46.5,67617,69.7,REPUBLICAN,6.2,32486,28315,48.0,41.9
California,Calaveras County,REPUBLICAN,23.7,23531,7944,13511,33.8,57.4,16646,70.7,REPUBLICAN,21.4,9292,5734,55.8,34.4
California,Colusa County,REPUBLICAN,13.3,6697,2661,3551,39.7,53.0,4439,66.3,REPUBLICAN,14.9,2376,1713,53.5,38.6
California,Contra Costa County,DEMOCRAT,43.0,473014,319287,115956,67.5,24.5,303894,64.2,DEMOCRAT,43.5,73459,205620,24.2,67.7
California,Del Norte County,REPUBLICAN,17.3,9558,3485,5134,36.5,53.7,6056,63.4,REPUBLICAN,14.8,3142,2245,51.9,37.1
California,El Dorado County,REPUBLICAN,13.9,92293,36404,49247,39.4,53.4,61337,66.5,REPUBLICAN,11.6,32072,24978,52.3,40.7
California,Fresno County,DEMOCRAT,6.0,287062,141341,124049,49.2,43.2,157182,54.8,DEMOCRAT,5.6,68244,76971,43.4,49.0
California,Glenn County,REPUBLICAN,28.8,9470,3065,5788,32.4,61.1,7424,78.4,REPUBLICAN,31.4,4625,2293,62.3,30.9
California,Humboldt County,DEMOCRAT,24.8,59878,33200,18373,55.4,30.7,31870,53.2,DEMOCRAT,21.9,10341,17308,32.4,54.3
California,Imperial County,DEMOCRAT,41.5,48091,32667,12704,67.9,26.4,27414,57.0,DEMOCRAT,38.5,7571,18122,27.6,66.1
California,Inyo County,REPUBLICAN,13.4,8179,3155,4248,38.6,51.9,5653,69.1,REPUBLICAN,14.7,2958,2127,52.3,37.6
California,Kern County,REPUBLICAN,12.7,244163,98689,129584,40.4,53.1,146207,59.9,REPUBLICAN,11.9,77039,59641,52.7,40.8
California,Kings County,REPUBLICAN,13.0,34310,13617,18093,39.7,52.7,26977,78.6,REPUBLICAN,14.0,14289,10517,53.0,39.0
California,Lake County,DEMOCRAT,3.6,24684,11500,10603,46.6,43.0,17304,70.1,DEMOCRAT,4.8,7283,8112,42.1,46.9
California,Lassen County,REPUBLICAN,50.0,10699,2224,7574,20.8,70.8,4558,42.6,REPUBLICAN,52.4,3277,890,71.9,19.5
California,Los Angeles County,DEMOCRAT,49.3,3434308,2464364,769743,71.8,22.4,3434308,100.0,DEMOCRAT,49.3,769743,2464364,22.4,71.8
California,Madera County,REPUBLICAN,14.5,43507,17029,23357,39.1,53.7,28716,66.0,REPUBLICAN,15.6,15436,10959,53.8,38.2
California,Marin County,DEMOCRAT,61.8,140683,108707,21771,77.3,15.5,98598,70.1,DEMOCRAT,62.3,15074,76463,15.3,77.6
California,Mariposa County,REPUBLICAN,23.2,8877,3122,5185,35.2,58.4,6268,70.6,REPUBLICAN,20.3,3568,2293,56.9,36.6
California,Mendocino County,DEMOCRAT,29.5,37915,22079,10888,58.2,28.7,32014,84.4,DEMOCRAT,29.8,9156,18686,28.6,58.4
California,Merced County,DEMOCRAT,12.1,71127,37317,28725,52.5,40.4,33883,47.6,DEMOCRAT,13.5,13420,17985,39.6,53.1
California,Modoc County,REPUBLICAN,47.3,3843,877,2696,22.8,70.2,2738,71.2,REPUBLICAN,45.7,1900,648,69.4,23.7
California,Mono County,DEMOCRAT,12.5,5281,2773,2111,52.5,40.0,3211,60.8,DEMOCRAT,13.7,1271,1712,39.6,53.3
California,Monterey County,DEMOCRAT,41.1,132014,89088,34895,67.5,26.4,90266,68.4,DEMOCRAT,42.5,23262,61583,25.8,68.2
California,Napa County,DEMOCRAT,35.5,61372,39199,17411,63.9,28.4,57780,94.1,DEMOCRAT,35.2,16452,36800,28.5,63.7
California,Nevada County,DEMOCRAT,4.9,54935,26053,23365,47.4,42.5,40632,74.0,DEMOCRAT,5.2,17287,19389,42.5,47.7
California,Orange County,DEMOCRAT,8.6,1197521,609961,507148,50.9,42.3,672875,56.2,DEMOCRAT,7.5,286760,337241,42.6,50.1
California,Placer County,REPUBLICAN,11.3,191417,73509,95138,38.4,49.7,123018,64.3,REPUBLICAN,8.9,59674,48750,48.5,39.6
California,Plumas County,REPUBLICAN,19.9,9850,3459,5420,35.1,55.0,9850,100.0,REPUBLICAN,19.9,5420,3459,55.0,35.1
California,Riverside County,DEMOCRAT,5.4,751391,373695,333243,49.7,44.4,494900,65.9,DEMOCRAT,5.2,219175,245140,44.3,49.5
California,Sacramento County,DEMOCRAT,24.2,562285,326023,189789,58.0,33.8,562285,100.0,DEMOCRAT,24.2,189789,326023,33.8,58.0
California,San Benito County,DEMOCRAT,21.2,22122,12521,7841,56.6,35.4,15676,70.9,DEMOCRAT,19.9,5641,8764,36.0,55.9
California,San Bernardino County,DEMOCRAT,10.6,653949,340818,271225,52.1,41.5,377351,57.7,DEMOCRAT,8.7,158698,191695,42.1,50.8
California,San Diego County,DEMOCRAT,19.7,1306400,735476,477766,56.3,36.6,835145,63.9,DEMOCRAT,19.3,305225,466251,36.5,55.8
California,San Francisco County,DEMOCRAT,75.2,408541,345084,37688,84.5,9.2,258920,63.4,DEMOCRAT,74.8,24699,218425,9.5,84.4
California,San Joaquin County,DEMOCRAT,14.2,227002,121124,88936,53.4,39.2,150347,66.2,DEMOCRAT,12.3,60254,78695,40.1,52.3
California,San Luis Obispo County,DEMOCRAT,8.0,137202,67107,56164,48.9,40.9,99103,72.2,DEMOCRAT,6.6,41363,47859,41.7,48.3
California,San Mateo County,DEMOCRAT,57.2,314439,237882,57929,75.7,18.4,204363,65.0,DEMOCRAT,57.6,37367,155003,18.3,75.8
California,Santa Barbara County,DEMOCRAT,28.4,178878,107142,56365,59.9,31.5,118172,66.1,DEMOCRAT,25.2,39162,68938,33.1,58.3
California,Santa Clara County,DEMOCRAT,52.0,705339,511684,144826,72.5,20.5,519652,73.7,DEMOCRAT,52.4,106082,378125,20.4,72.8
California,Santa Cruz County,DEMOCRAT,56.5,128821,95249,22438,73.9,17.4,81427,63.2,DEMOCRAT,55.8,14302,59715,17.6,73.3
California,Shasta County,REPUBLICAN,36.4,81024,22301,51778,27.5,63.9,54547,67.3,REPUBLICAN,34.9,35085,16021,64.3,29.4
California,Sierra County,REPUBLICAN,24.1,1858,601,1048,32.3,56.4,1858,100.0,REPUBLICAN,24.1,1048,601,56.4,32.3
California,Siskiyou County,REPUBLICAN,20.0,20510,7234,11341,35.3,55.3,14912,72.7,REPUBLICAN,19.5,8221,5306,55.1,35.6
California,Solano County,DEMOCRAT,30.0,168131,102360,51920,60.9,30.9,111140,66.1,DEMOCRAT,29.0,34814,67061,31.3,60.3
California,Sonoma County,DEMOCRAT,47.1,231251,160435,51408,69.4,22.2,175801,76.0,DEMOCRAT,47.5,38856,122409,22.1,69.6
California,Stanislaus County,DEMOCRAT,1.8,174406,81647,78494,46.8,45.0,129307,74.1,DEMOCRAT,2.3,57348,60318,44.4,46.6
California,Sutter County,REPUBLICAN,15.1,33824,13076,18176,38.7,53.7,24966,73.8,REPUBLICAN,14.8,13303,9605,53.3,38.5
California,Tehama County,REPUBLICAN,36.3,23908,6809,15494,28.5,64.8,16649,69.6,REPUBLICAN,34.6,10613,4849,63.7,29.1
California,Trinity County,REPUBLICAN,10.3,5784,2214,2812,38.3,48.6,4597,79.5,REPUBLICAN,10.0,2239,1779,48.7,38.7
California,Tulare County,REPUBLICAN,9.4,114496,47585,58299,41.6,50.9,38180,33.3,REPUBLICAN,9.4,18582,15002,48.7,39.3
California,Tuolumne County,REPUBLICAN,21.0,25893,9123,14551,35.2,56.2,20079,77.5,REPUBLICAN,20.6,11247,7115,56.0,35.4
California,Ventura County,DEMOCRAT,17.4,356102,194402,132323,54.6,37.2,213813,60.0,DEMOCRAT,18.1,78710,117345,36.8,54.9
California,Yolo County,DEMOCRAT,41.4,82090,54752,20739,66.7,25.3,51744,63.0,DEMOCRAT,39.7,13488,34056,26.1,65.8
California,Yuba County,REPUBLICAN,22.7,23204,7910,13170,34.1,56.8,14986,64.6,REPUBLICAN,23.1,8518,5061,56.8,33.8
Colorado,Adams County,DEMOCRAT,8.5,193677,96558,80085,49.9,41.3,193677,100.0,DEMOCRAT,8.5,80085,96558,41.3,49.9
Colorado,Alamosa County,DEMOCRAT,2.1,6939,3189,3046,46.0,43.9,6939,100.0,DEMOCRAT,2.1,3046,3189,43.9,46.0
Colorado,Arapahoe County,DEMOCRAT,14.1,303048,159885,117054,52.8,38.6,303048,100.0,DEMOCRAT,14.1,117054,159885,38.6,52.8
Colorado,Archuleta County,REPUBLICAN,24.0,7339,2500,4264,34.1,58.1,7339,100.0,REPUBLICAN,24.0,4264,2500,58.1,34.1
Colorado,Baca County,REPUBLICAN,68.3,2153,283,1753,13.1,81.4,2153,100.0,REPUBLICAN,68.3,1753,283,81.4,13.1
Colorado,Bent County,REPUBLICAN,31.0,1927,590,1188,30.6,61.7,1927,100.0,REPUBLICAN,31.0,1188,590,61.7,30.6
Colorado,Boulder County,DEMOCRAT,48.3,188145,132334,41398,70.3,22.0,188145,100.0,DEMOCRAT,48.3,41398,132334,22.0,70.3
Colorado,Broomfield County,DEMOCRAT,14.2,37690,19731,14368,52.4,38.1,37690,100.0,DEMOCRAT,14.2,14368,19731,38.1,52.4
Colorado,Chaffee County,REPUBLICAN,4.5,11250,4888,5391,43.4,47.9,11250,100.0,REPUBLICAN,4.5,5391,4888,47.9,43.4
Colorado,Cheyenne County,REPUBLICAN,72.0,1102,132,925,12.0,83.9,1102,100.0,REPUBLICAN,72.0,925,132,83.9,12.0
Colorado,Clear Creek County,DEMOCRAT,2.6,5866,2729,2575,46.5,43.9,5866,100.0,DEMOCRAT,2.6,2575,2729,43.9,46.5
Colorado,Conejos County,REPUBLICAN,3.6,4022,1771,1914,44.0,47.6,4022,100.0,REPUBLICAN,3.6,1914,1771,47.6,44.0
Colorado,Costilla County,DEMOCRAT,29.1,1848,1125,588,60.9,31.8,1848,100.0,DEMOCRAT,29.1,588,1125,31.8,60.9
Colorado,Crowley County,REPUBLICAN,48.5,1527,339,1079,22.2,70.7,1527,100.0,REPUBLICAN,48.5,1079,339,70.7,22.2
Colorado,Custer County,REPUBLICAN,41.2,3066,797,2061,26.0,67.2,3066,100.0,REPUBLICAN,41.2,2061,797,67.2,26.0
Colorado,Delta County,REPUBLICAN,45.1,16790,4087,11655,24.3,69.4,16790,100.0,REPUBLICAN,45.1,11655,4087,69.4,24.3
Colorado,Denver County,DEMOCRAT,54.8,331852,244551,62690,73.7,18.9,331852,100.0,DEMOCRAT,54.8,62690,244551,18.9,73.7
Colorado,Dolores County,REPUBLICAN,55.9,1255,242,944,19.3,75.2,1255,100.0,REPUBLICAN,55.9,944,242,75.2,19.3
Colorado,Douglas County,REPUBLICAN,18.1,187500,68657,102573,36.6,54.7,187500,100.0,REPUBLICAN,18.1,102573,68657,54.7,36.6
Colorado,Eagle County,DEMOCRAT,20.3,25223,14099,8990,55.9,35.6,25223,100.0,DEMOCRAT,20.3,8990,14099,35.6,55.9
Colorado,El Paso County,REPUBLICAN,22.3,318968,108010,179228,33.9,56.2,318968,100.0,REPUBLICAN,22.3,179228,108010,56.2,33.9
Colorado,Elbert County,REPUBLICAN,53.6,15980,3134,11707,19.6,73.3,15980,100.0,REPUBLICAN,53.6,11707,3134,73.3,19.6
