state,county,winner,margin,total_votes,democrat_votes,republican_votes,democrat_vote_share,republican_vote_share
Illinois,Marion County,Republican,46.6,17492,4524,12678,25.9,72.5
Illinois,Marshall County,Republican,34.5,6345,2005,4197,31.6,66.1
Illinois,Mason County,Republican,39.5,6766,1985,4654,29.3,68.8
Illinois,Massac County,Republican,48.0,6818,1725,4997,25.3,73.3
Illinois,Menard County,Republican,39.4,6954,2022,4764,29.1,68.5
Illinois,Mercer County,Republican,24.0,8914,3280,5418,36.8,60.8
Illinois,Monroe County,Republican,35.7,21206,6569,14142,31.0,66.7
Illinois,Montgomery County,Republican,41.0,13761,3905,9544,28.4,69.4
Illinois,Morgan County,Republican,31.8,15333,5076,9950,33.1,64.9
Illinois,Moultrie County,Republican,49.0,6744,1662,4964,24.6,73.6
Illinois,Ogle County,Republican,25.9,26340,9428,16248,35.8,61.7
Illinois,Peoria County,Democrat,6.3,83973,43578,38252,51.9,45.6
Illinois,Perry County,Republican,46.7,10071,2612,7313,25.9,72.6
Illinois,Piatt County,Republican,29.6,9851,3329,6248,33.8,63.4
Illinois,Pike County,Republican,60.9,7965,1484,6332,18.6,79.5
Illinois,Pope County,Republican,59.3,2175,433,1722,19.9,79.2
