state,county,winner,margin,total_votes,democrat_votes,republican_votes,democrat_vote_share,republican_vote_share
AK,Alaska,Republican,15.2,7151052,2697087,3781977,37.7,52.9
AL,Autauga County,Republican,49.4,24661,5908,18110,24.0,73.4
AL,Baldwin County,Republican,57.8,94090,18409,72780,19.6,77.4
AL,Barbour County,Republican,5.6,10390,4848,5431,46.7,52.3
AL,Bibb County,Republican,55.6,8748,1874,6733,21.4,77.0
AL,Blount County,Republican,81.4,25384,2150,22808,8.5,89.9
AL,Bullock County,Democrat,50.9,4701,3530,1139,75.1,24.2
AL,Butler County,Republican,13.5,8685,3716,4891,42.8,56.3
AL,Calhoun County,Republican,41.3,47376,13197,32803,27.9,69.2
AL,Chambers County,Republican,14.8,13778,5763,7803,41.8,56.6
AL,Cherokee County,Republican,69.4,10503,1524,8809,14.5,83.9
AL,Chilton County,Republican,66.6,18255,2909,15068,15.9,82.5
AL,Choctaw County,Republican,13.6,7268,3109,4102,42.8,56.4
AL,Clarke County,Republican,10.8,12936,5712,7109,44.2,55.0
AL,Clay County,Republican,60.8,6572,1234,5230,18.8,79.6
AL,Cleburne County,Republican,77.3,6532,684,5738,10.5,87.8
AL,Coffee County,Republican,56.7,20513,4194,15825,20.4,77.1
AL,Colbert County,Republican,38.3,24626,7296,16718,29.6,67.9
AL,Conecuh County,Republican,5.3,6543,3069,3413,46.9,52.2
AL,Coosa County,Republican,30.5,5223,1780,3376,34.1,64.6
AL,Covington County,Republican,68.6,15818,2379,13222,15.0,83.6
AL,Crenshaw County,Republican,45.6,6252,1663,4511,26.6,72.2
AL,Cullman County,Republican,77.8,37278,3730,32734,10.0,87.8
AL,Dale County,Republican,50.4,18617,4408,13798,23.7,74.1
AL,Dallas County,Democrat,37.6,18730,12826,5784,68.5,30.9
AL,DeKalb County,Republican,69.4,26086,3682,21779,14.1,83.5
AL,Elmore County,Republican,51.9,36905,8436,27619,22.9,74.8
AL,Escambia County,Republican,36.7,15213,4698,10282,30.9,67.6
AL,Etowah County,Republican,50.1,43474,10350,32132,23.8,73.9
AL,Fayette County,Republican,65.2,8196,1358,6705,16.6,81.8
AL,Franklin County,Republican,60.8,11955,2197,9466,18.4,79.2
AL,Geneva County,Republican,72.4,11659,1522,9967,13.1,85.5
AL,Greene County,Democrat,65.2,4862,4006,838,82.4,17.2
AL,Hale County,Democrat,20.0,8010,4772,3172,59.6,39.6
AL,Henry County,Republican,41.6,8017,2286,5623,28.5,70.1
AL,Houston County,Republican,47.6,42030,10547,30567,25.1,72.7
AL,Jackson County,Republican,62.5,20785,3663,16643,17.6,80.1
AL,Jefferson County,Democrat,7.2,290111,151581,130614,52.2,45.0
AL,Lamar County,Republican,69.1,6931,1035,5819,14.9,84.0
AL,Lauderdale County,Republican,46.1,38813,9877,27735,25.4,71.5
