state,county,winner,margin,total_votes,democrat_votes,republican_votes,democrat_vote_share,republican_vote_share
AL,Lawrence County,Republican,48.7,14623,3611,10732,24.7,73.4
AL,Lee County,Republican,23.1,57668,20987,34321,36.4,59.5
AL,Limestone County,Republican,49.5,39400,9340,28824,23.7,73.2
AL,Lowndes County,Democrat,46.9,6676,4882,1751,73.1,26.2
AL,Macon County,Democrat,66.8,8748,7237,1394,82.7,15.9
AL,Madison County,Republican,16.7,159473,62435,89199,39.2,55.9
AL,Marengo County,Democrat,3.5,10948,5607,5224,51.2,47.7
AL,Marion County,Republican,76.2,12912,1432,11273,11.1,87.3
AL,Marshall County,Republican,69.5,34965,4913,29217,14.1,83.6
AL,Mobile County,Republican,13.8,163387,68429,91087,41.9,55.7
AL,Monroe County,Republican,14.4,10185,4310,5771,42.3,56.7
AL,Montgomery County,Democrat,26.1,94572,58669,33928,62.0,35.9
AL,Morgan County,Republican,52.4,49991,11216,37392,22.4,74.8
AL,Perry County,Democrat,46.0,5255,3823,1403,72.7,26.7
AL,Pickens County,Republican,15.6,9494,3972,5454,41.8,57.4
AL,Pike County,Republican,20.3,13025,5039,7681,38.7,59.0
AL,Randolph County,Republican,53.4,10130,2290,7697,22.6,76.0
AL,Russell County,Democrat,1.9,19136,9577,9210,50.0,48.1
AL,Shelby County,Republican,50.3,99208,22927,72846,23.1,73.4
AL,St. Clair County,Republican,68.6,37937,5550,31579,14.6,83.2
AL,Sumter County,Democrat,49.5,6391,4739,1581,74.2,24.7
AL,Talladega County,Republican,25.5,33218,12108,20596,36.5,62.0
AL,Tallapoosa County,Republican,41.6,18504,5271,12967,28.5,70.1
AL,Tuscaloosa County,Republican,19.5,81708,31746,47701,38.9,58.4
AL,Walker County,Republican,67.5,29243,4486,24208,15.3,82.8
AL,Washington County,Republican,43.1,8492,2366,6031,27.9,71.0
AL,Wilcox County,Democrat,42.5,6095,4329,1737,71.0,28.5
AL,Winston County,Republican,81.5,10255,871,9225,8.5,90.0
AR,Arkansas County,Republican,30.6,6167,1939,3825,31.4,62.0
AR,Ashley County,Republican,36.5,8027,2408,5338,30.0,66.5
AR,Baxter County,Republican,53.6,19572,4163,14655,21.3,74.9
AR,Benton County,Republican,34.8,94262,27894,60751,29.6,64.4
AR,Boone County,Republican,58.4,15912,2925,12225,18.4,76.8
AR,Bradley County,Republican,23.4,3617,1317,2163,36.4,59.8
AR,Calhoun County,Republican,40.8,2250,636,1554,28.3,69.1
AR,Carroll County,Republican,32.3,10656,3334,6773,31.3,63.6
AR,Chicot County,Democrat,15.2,4149,2350,1716,56.6,41.4
AR,Clark County,Republican,9.5,8365,3606,4398,43.1,52.6
AR,Clay County,Republican,29.8,5978,1999,3779,33.4,63.2
AR,Cleburne County,Republican,61.4,11968,2101,9454,17.6,79.0
AR,Cleveland County,Republican,52.7,3299,723,2460,21.9,74.6
AR,Columbia County,Republican,26.2,8837,3140,5456,35.5,61.7
AR,Conway County,Republican,27.9,7837,2655,4844,33.9,61.8
AR,Craighead County,Republican,35.2,34968,10474,22798,30.0,65.2
AR,Crawford County,Republican,55.0,22155,4476,16655,20.2,75.2
AR,Crittenden County,Democrat,9.0,15798,8368,6953,53.0,44.0
AR,Cross County,Republican,37.8,6831,1995,4577,29.2,67.0
AR,Dallas County,Republican,12.5,2741,1165,1507,42.5,55.0
AR,Desha County,Democrat,7.4,4226,2227,1915,52.7,45.3
AR,Drew County,Republican,24.4,6552,2364,3967,36.1,60.5
AR,Faulkner County,Republican,31.6,46364,14525,29170,31.3,62.9
AR,Franklin County,Republican,54.7,6698,1376,5034,20.5,75.2
AR,Fulton County,Republican,50.6,4744,1067,3470,22.5,73.1
AR,Garland County,Republican,34.1,40337,12283,26053,30.5,64.6
AR,Grant County,Republican,54.8,6855,1407,5160,20.5,75.3
AR,Greene County,Republican,53.0,14422,3056,10698,21.2,74.2
AR,Hempstead County,Republican,29.0,6984,2371,4391,33.9,62.9
AR,Hot Spring County,Republican,42.4,11815,3137,8153,26.6,69.0
AR,Howard County,Republican,39.0,4634,1350,3155,29.1,68.1
AR,Independence County,Republican,52.4,13443,2878,9925,21.4,73.8
AR,Izard County,Republican,54.3,5396,1111,4042,20.6,74.9
AR,Jackson County,Republican,32.9,5093,1583,3262,31.1,64.0
AR,Jefferson County,Democrat,25.3,25683,15721,9231,61.2,35.9
AR,Johnson County,Republican,40.6,8997,2421,6072,26.9,67.5
AR,Lafayette County,Republican,25.4,2835,1028,1750,36.3,61.7
AR,Lawrence County,Republican,49.8,5629,1263,4064,22.4,72.2
AR,Lee County,Democrat,16.9,3004,1735,1229,57.8,40.9
AR,Lincoln County,Republican,31.6,3814,1252,2455,32.8,64.4
AR,Little River County,Republican,42.5,5192,1397,3604,26.9,69.4
AR,Logan County,Republican,51.4,7839,1712,5737,21.8,73.2
AR,Lonoke County,Republican,53.3,26766,5638,19902,21.1,74.4
AR,Madison County,Republican,49.1,6782,1587,4917,23.4,72.5
AR,Marion County,Republican,55.1,6718,1377,5077,20.5,75.6
AR,Miller County,Republican,43.8,16015,4273,11293,26.7,70.5
AR,Mississippi County,Republican,10.5,12995,5621,6988,43.3,53.8
AR,Monroe County,Republican,3.7,2766,1298,1400,46.9,50.6
AR,Montgomery County,Republican,53.4,3445,735,2573,21.3,74.7
AR,Nevada County,Republican,26.1,3233,1156,2001,35.8,61.9
AR,Newton County,Republican,58.4,3731,699,2875,18.7,77.1
AR,Ouachita County,Republican,10.4,9881,4320,5347,43.7,54.1
AR,Perry County,Republican,46.1,4213,1035,2979,24.6,70.7
AR,Phillips County,Democrat,26.9,6894,4292,2443,62.3,35.4
AR,Pike County,Republican,62.3,3956,684,3150,17.3,79.6
AR,Poinsett County,Republican,24.1,5283,1878,3149,35.5,59.6
AR,Polk County,Republican,66.4,8121,1210,6606,14.9,81.3
AR,Pope County,Republican,50.4,21545,4818,15694,22.4,72.8
AR,Prairie County,Republican,49.6,3404,812,2503,23.9,73.5
AR,Pulaski County,Democrat,17.9,157728,89377,61182,56.7,38.8
AR,Randolph County,Republican,48.8,6313,1425,4508,22.6,71.4
AR,Saline County,Republican,43.5,51971,13247,35852,25.5,69.0
AR,Scott County,Republican,62.0,3017,507,2378,16.8,78.8
AR,Searcy County,Republican,63.6,3698,601,2955,16.3,79.9
AR,Sebastian County,Republican,38.0,43557,12184,28769,28.0,66.0
AR,Sevier County,Republican,48.8,4517,1075,3281,23.8,72.6
AR,Sharp County,Republican,54.7,7190,1472,5405,20.5,75.2
AR,St. Francis County,Democrat,11.3,7412,4031,3195,54.4,43.1
AR,Stone County,Republican,52.3,5527,1189,4081,21.5,73.8
AR,Union County,Republican,27.7,16338,5667,10201,34.7,62.4
AR,Van Buren County,Republican,53.9,7111,1547,5382,21.8,75.7
AR,Washington County,Republican,10.4,78153,32296,40418,41.3,51.7
AR,White County,Republican,57.8,27451,5157,21038,18.8,76.6
AR,Woodruff County,Republican,8.9,2550,1117,1344,43.8,52.7
AR,Yell County,Republican,49.0,6389,1472,4600,23.0,72.0
AZ,Apache County,Democrat,36.9,18659,12196,5315,65.4,28.5
AZ,Cochise County,Republican,22.6,43147,15291,25036,35.4,58.0
AZ,Coconino County,Democrat,19.4,44929,25308,16573,56.3,36.9
AZ,Gila County,Republican,32.4,21398,6746,13672,31.5,63.9
AZ,Graham County,Republican,39.6,11939,3301,8025,27.6,67.2
AZ,Greenlee County,Republican,24.6,3243,1092,1892,33.7,58.3
AZ,La Paz County,Republican,41.9,4931,1318,3381,26.7,68.6
AZ,Maricopa County,Republican,3.4,1201934,549040,590465,45.7,49.1
AZ,Mohave County,Republican,51.5,74189,16485,54656,22.2,73.7
AZ,Navajo County,Republican,7.9,35409,15362,18165,43.4,51.3
AZ,Pima County,Democrat,13.4,360762,195649,147019,54.2,40.8
AZ,Pinal County,Republican,19.3,93805,35737,53857,38.1,57.4
AZ,Santa Cruz County,Democrat,47.1,14926,10684,3650,71.6,24.5
AZ,Yavapai County,Republican,31.4,92780,29705,58862,32.0,63.4
AZ,Yuma County,Republican,5.5,40759,18336,20586,45.0,50.5
CA,Alameda County,Democrat,64.4,613195,486351,91189,79.3,14.9
CA,Alpine County,Democrat,18.6,575,318,211,55.3,36.7
CA,Amador County,Republican,25.2,17186,5904,10239,34.4,59.6
CA,Butte County,Republican,4.0,87847,38676,42193,44.0,48.0
CA,Calaveras County,Republican,23.9,22334,7738,13072,34.6,58.5
CA,Colusa County,Republican,13.6,6594,2659,3551,40.3,53.9
CA,Contra Costa County,Democrat,43.5,415972,286658,105819,68.9,25.4
CA,Del Norte County,Republican,17.6,9361,3485,5134,37.2,54.8
CA,El Dorado County,Republican,13.9,89228,35243,47633,39.5,53.4
CA,Fresno County,Democrat,3.9,250264,123660,113949,49.4,45.5
CA,Glenn County,Republican,29.0,9379,3065,5788,32.7,61.7
CA,Humboldt County,Democrat,25.9,33636,19596,10883,58.3,32.4
CA,Imperial County,Democrat,41.1,41751,28467,11295,68.2,27.1
CA,Inyo County,Republican,13.6,7996,3155,4248,39.5,53.1
CA,Kern County,Republican,15.0,217725,86481,119164,39.7,54.7
CA,Kings County,Republican,14.1,32250,12902,17446,40.0,54.1
CA,Lake County,Democrat,3.7,13045,6240,5752,47.8,44.1
CA,Lassen County,Republican,51.4,10422,2224,7574,21.3,72.7
CA,Los Angeles County,Democrat,48.0,2652072,1893770,620285,71.4,23.4
CA,Madera County,Republican,17.3,34263,13283,19221,38.8,56.1
CA,Marin County,Democrat,62.9,109941,86650,17531,78.8,15.9
CA,Mariposa County,Republican,23.2,8877,3122,5185,35.2,58.4
CA,Mendocino County,Democrat,29.2,11435,6905,3571,60.4,31.2
CA,Merced County,Democrat,7.9,42523,21856,18486,51.4,43.5
CA,Modoc County,Republican,48.0,3359,798,2413,23.8,71.8
CA,Mono County,Democrat,11.9,5154,2696,2080,52.3,40.4
CA,Monterey County,Democrat,39.7,96676,64733,26378,67.0,27.3
CA,Napa County,Democrat,35.2,40393,26161,11946,64.8,29.6
CA,Nevada County,Democrat,4.5,33258,16199,14686,48.7,44.2
CA,Orange County,Democrat,7.7,1092116,556544,472669,51.0,43.3
CA,Placer County,Republican,11.3,150532,61969,78977,41.2,52.5
CA,Plumas County,Republican,21.0,8830,3224,5079,36.5,57.5
CA,Riverside County,Democrat,4.3,683612,339145,309514,49.6,45.3
CA,Sacramento County,Democrat,23.7,467526,273768,163024,58.6,34.9
CA,San Benito County,Democrat,20.4,17572,10050,6471,57.2,36.8
CA,San Bernardino County,Democrat,9.8,598783,312517,253962,52.2,42.4
CA,San Diego County,Democrat,17.9,1011651,567243,386807,56.1,38.2
CA,San Francisco County,Democrat,76.1,365295,312443,34493,85.5,9.4
CA,San Joaquin County,Democrat,12.9,166647,89791,68316,53.9,41.0
CA,San Luis Obispo County,Democrat,8.3,124575,63001,52672,50.6,42.3
CA,San Mateo County,Democrat,57.7,287499,219580,53731,76.4,18.7
CA,Santa Barbara County,Democrat,28.3,164224,100120,53740,61.0,32.7
CA,Santa Clara County,Democrat,52.4,659148,483472,137452,73.3,20.9
CA,Santa Cruz County,Democrat,57.2,113509,85185,20158,75.0,17.8
CA,Shasta County,Republican,37.4,72554,20471,47587,28.2,65.6
CA,Sierra County,Republican,24.8,1804,601,1048,33.3,58.1
CA,Siskiyou County,Republican,20.7,19836,7106,11212,35.8,56.5
CA,Solano County,Democrat,30.5,156067,97159,49595,62.3,31.8
CA,Sonoma County,Democrat,47.9,164060,116027,37421,70.7,22.8
CA,Stanislaus County,Democrat,0.7,156141,73939,72960,47.4,46.7
CA,Sutter County,Republican,16.2,30429,11831,16780,38.9,55.1
CA,Tehama County,Republican,36.8,22875,6571,14981,28.7,65.5
CA,Trinity County,Republican,11.3,4716,1876,2409,39.8,51.1
CA,Tulare County,Republican,12.1,94571,39099,50488,41.3,53.4
CA,Tuolumne County,Republican,20.9,23472,8580,13486,36.6,57.5
CA,Ventura County,Democrat,16.8,307881,170489,118764,55.4,38.6
CA,Yolo County,Democrat,42.1,50623,34460,13178,68.1,26.0
CA,Yuba County,Republican,24.1,21058,7234,12313,34.4,58.5
CO,Adams County,Democrat,7.3,175125,86471,73807,49.4,42.1
CO,Alamosa County,Democrat,2.0,6897,3168,3031,45.9,43.9
CO,Arapahoe County,Democrat,13.8,281658,148365,109638,52.7,38.9
CO,Archuleta County,Republican,24.0,7290,2489,4234,34.1,58.1
CO,Baca County,Republican,68.2,2107,278,1716,13.2,81.4
CO,Bent County,Republican,30.9,1892,581,1166,30.7,61.6
CO,Boulder County,Democrat,48.7,176735,124715,38766,70.6,21.9
CO,Broomfield County,Democrat,14.1,37342,19530,14272,52.3,38.2
CO,Chaffee County,Republican,4.6,10999,4773,5283,43.4,48.0
CO,Cheyenne County,Republican,72.3,1076,127,905,11.8,84.1
CO,Clear Creek County,Democrat,2.8,5532,2585,2426,46.7,43.9
CO,Conejos County,Republican,3.3,3970,1753,1885,44.2,47.5
CO,Costilla County,Democrat,29.0,1820,1109,581,60.9,31.9
CO,Crowley County,Republican,48.5,1511,336,1069,22.2,70.7
CO,Custer County,Republican,41.2,3064,797,2059,26.0,67.2
CO,Delta County,Republican,45.2,16661,4048,11584,24.3,69.5
CO,Denver County,Democrat,56.4,232291,174611,43637,75.2,18.8
CO,Dolores County,Republican,57.6,1230,227,936,18.5,76.1
CO,Douglas County,Republican,18.1,182918,67045,100178,36.7,54.8
CO,Eagle County,Democrat,19.9,22611,12652,8153,56.0,36.1
CO,Elbert County,Republican,54.0,15689,3056,11536,19.5,73.5
CO,El Paso County,Republican,22.5,313273,105807,176506,33.8,56.3
CO,Fremont County,Republican,44.8,21880,5275,15066,24.1,68.9
CO,Garfield County,Republican,7.0,26328,11205,13071,42.6,49.6
CO,Gilpin County,Democrat,1.9,3574,1634,1564,45.7,43.8
CO,Grand County,Republican,13.5,8513,3319,4467,39.0,52.5
CO,Gunnison County,Democrat,19.6,9299,5068,3250,54.5,34.9
CO,Hinsdale County,Republican,24.2,589,197,339,33.4,57.6
CO,Huerfano County,Republican,6.5,3772,1631,1875,43.2,49.7
CO,Jackson County,Republican,53.1,862,171,628,19.8,72.9
CO,Jefferson County,Democrat,7.0,309529,151885,130233,49.1,42.1
CO,Kiowa County,Republican,74.4,853,91,726,10.7,85.1
CO,Kit Carson County,Republican,65.5,3613,526,2894,14.6,80.1
CO,Lake County,Democrat,10.6,3175,1600,1264,50.4,39.8
CO,La Plata County,Democrat,9.2,30722,15300,12471,49.8,40.6
CO,Larimer County,Democrat,4.9,193897,92170,82624,47.5,42.6
CO,Las Animas County,Republican,15.5,6693,2614,3656,39.1,54.6
CO,Lincoln County,Republican,61.4,2402,399,1873,16.6,78.0
CO,Logan County,Republican,56.0,9702,1843,7272,19.0,75.0
CO,Mesa County,Republican,36.3,74876,20958,48129,28.0,64.3
CO,Mineral County,Republican,16.5,652,237,344,36.3,52.8
CO,Moffat County,Republican,67.9,6510,874,5293,13.4,81.3
CO,Montezuma County,Republican,30.3,12706,3920,7771,30.9,61.2
CO,Montrose County,Republican,42.1,21070,5438,14303,25.8,67.9
CO,Morgan County,Republican,41.9,11888,3128,8104,26.3,68.2
CO,Otero County,Republican,25.2,5038,1719,2988,34.1,59.3
CO,Ouray County,Democrat,10.7,3287,1690,1337,51.4,40.7
CO,Park County,Republican,26.4,10245,3351,6053,32.7,59.1
CO,Phillips County,Republican,58.1,2332,436,1791,18.7,76.8
CO,Pitkin County,Democrat,45.4,10387,7239,2522,69.7,24.3
CO,Prowers County,Republican,46.9,4978,1173,3508,23.6,70.5
CO,Pueblo County,Democrat,0.3,60112,27945,27746,46.5,46.2
CO,Rio Blanco County,Republican,68.4,3436,433,2782,12.6,81.0
CO,Rio Grande County,Republican,19.6,5488,1985,3060,36.2,55.8
CO,Routt County,Democrat,17.0,13772,7487,5149,54.4,37.4
CO,Saguache County,Democrat,8.7,2707,1345,1109,49.7,41.0
CO,San Juan County,Democrat,9.9,506,265,215,52.4,42.5
CO,San Miguel County,Democrat,44.8,4311,2960,1030,68.7,23.9
CO,Sedgwick County,Republican,54.8,1364,267,1015,19.6,74.4
CO,Summit County,Democrat,27.7,16061,9502,5064,59.2,31.5
CO,Teller County,Republican,42.5,14203,3547,9580,25.0,67.5
CO,Washington County,Republican,73.6,2708,289,2284,10.7,84.3
CO,Weld County,Republican,22.4,133790,45869,75882,34.3,56.7
CO,Yuma County,Republican,65.5,4664,701,3755,15.0,80.5
CT,Fairfield County,Democrat,20.3,410279,238723,155457,58.2,37.9
CT,Hartford County,Democrat,21.5,399219,233789,147912,58.6,37.1
CT,Litchfield County,Republican,13.9,97434,39836,53376,40.9,54.8
CT,Middlesex County,Democrat,7.3,88402,45306,38847,51.2,43.9
CT,New Haven County,Democrat,12.1,375909,203601,158373,54.2,42.1
CT,New London County,Democrat,6.8,124527,62951,54574,50.6,43.8
CT,Tolland County,Democrat,5.8,77069,38450,33989,49.9,44.1
CT,Windham County,Republican,7.9,50703,21776,25738,42.9,50.8
DC,District of Columbia,Democrat,88.7,280272,260223,11553,92.8,4.1
DE,Kent County,Republican,4.9,74253,33347,36989,44.9,49.8
DE,New Castle County,Democrat,29.6,261468,162905,85507,62.3,32.7
DE,Sussex County,Republican,22.0,105814,39329,62607,37.2,59.2
FL,Alachua County,Democrat,22.6,127827,75370,46584,59.0,36.4
FL,Baker County,Republican,64.8,12634,2112,10294,16.7,81.5
FL,Bay County,Republican,46.3,87151,21689,62010,24.9,71.2
FL,Bradford County,Republican,49.5,12098,2924,8913,24.2,73.7
FL,Brevard County,Republican,19.8,314337,119525,181620,38.0,57.8
FL,Broward County,Democrat,35.1,822837,546956,258521,66.5,31.4
FL,Calhoun County,Republican,56.2,6067,1236,4647,20.4,76.6
FL,Charlotte County,Republican,27.8,96323,33421,60196,34.7,62.5
FL,Citrus County,Republican,39.7,79590,22765,54377,28.6,68.3
FL,Clay County,Republican,44.3,106363,27768,74898,26.1,70.4
FL,Collier County,Republican,26.1,170505,60941,105297,35.7,61.8
FL,Columbia County,Republican,44.4,28696,7599,20359,26.5,70.9
FL,DeSoto County,Republican,27.7,10761,3761,6744,35.0,62.7
FL,Dixie County,Republican,63.2,7202,1270,5822,17.6,80.8
FL,Duval County,Republican,1.5,428734,203627,210061,47.5,49.0
FL,Escambia County,Republican,20.6,151609,57114,88370,37.7,58.3
FL,Flagler County,Republican,20.6,57413,21985,33804,38.3,58.9
FL,Franklin County,Republican,39.6,6003,1738,4119,29.0,68.6
FL,Gadsden County,Democrat,37.5,22079,14994,6721,67.9,30.4
FL,Gilchrist County,Republican,62.8,8418,1457,6740,17.3,80.1
FL,Glades County,Republican,39.6,4355,1271,2996,29.2,68.8
FL,Gulf County,Republican,49.5,7279,1715,5320,23.6,73.1
FL,Hamilton County,Republican,28.3,5451,1899,3439,34.8,63.1
FL,Hardee County,Republican,40.8,7577,2147,5238,28.3,69.1
FL,Hendry County,Republican,14.3,11106,4610,6192,41.5,55.8
FL,Hernando County,Republican,29.0,93878,31818,59029,33.9,62.9
FL,Highlands County,Republican,32.0,45589,14901,29509,32.7,64.7
FL,Hillsborough County,Democrat,6.8,595072,306422,265928,51.5,44.7
FL,Holmes County,Republican,77.9,8506,852,7476,10.0,87.9
FL,Indian River County,Republican,24.5,79897,28997,48564,36.3,60.8
FL,Jackson County,Republican,37.4,20997,6383,14231,30.4,67.8
FL,Jefferson County,Republican,5.1,7641,3537,3930,46.3,51.4
FL,Lafayette County,Republican,67.5,3375,515,2795,15.3,82.8
FL,Lake County,Republican,23.2,169898,62597,101888,36.8,60.0
FL,Lee County,Republican,20.4,325797,124725,191141,38.3,58.7
FL,Leon County,Democrat,25.1,151925,91936,53777,60.5,35.4
FL,Levy County,Republican,44.7,19367,5091,13758,26.3,71.0
FL,Liberty County,Republican,57.3,3295,651,2542,19.8,77.1
FL,Madison County,Republican,15.5,8503,3526,4849,41.5,57.0
FL,Manatee County,Republican,17.2,178521,71066,101681,39.8,57.0
FL,Marion County,Republican,26.2,174485,61958,107710,35.5,61.7
FL,Martin County,Republican,26.8,85741,30158,53182,35.2,62.0
FL,Miami-Dade County,Democrat,29.6,978670,623006,333666,63.7,34.1
FL,Monroe County,Republican,6.9,42434,18949,21885,44.7,51.6
FL,Nassau County,Republican,50.2,46537,10849,34221,23.3,73.5
FL,Okaloosa County,Republican,47.7,100657,23711,71788,23.6,71.3
FL,Okeechobee County,Republican,39.5,13632,3953,9342,29.0,68.5
FL,Orange County,Democrat,24.7,545800,329579,195091,60.4,35.7
FL,Osceola County,Democrat,25.0,139981,85287,50252,60.9,35.9
FL,Palm Beach County,Democrat,15.3,657235,371411,270762,56.5,41.2
FL,Pasco County,Republican,21.5,240814,89998,141943,37.4,58.9
FL,Pinellas County,Republican,1.1,491520,233327,238746,47.5,48.6
FL,Polk County,Republican,14.1,283828,117182,157216,41.3,55.4
FL,Putnam County,Republican,36.6,32652,9920,21873,30.4,67.0
FL,Santa Rosa County,Republican,53.5,87432,18398,65126,21.0,74.5
FL,Sarasota County,Republican,11.6,228509,97676,124098,42.7,54.3
FL,Seminole County,Republican,1.6,224377,105611,109265,47.1,48.7
FL,St. Johns County,Republican,33.4,136392,43037,88633,31.6,65.0
FL,St. Lucie County,Republican,2.4,140731,66812,70248,47.5,49.9
FL,Sumter County,Republican,39.3,76649,22631,52722,29.5,68.8
FL,Suwannee County,Republican,55.3,18675,3955,14281,21.2,76.5
FL,Taylor County,Republican,51.4,9279,2149,6923,23.2,74.6
FL,Union County,Republican,62.4,5693,1014,4567,17.8,80.2
FL,Volusia County,Republican,13.0,260304,108793,142763,41.8,54.8
FL,Wakulla County,Republican,40.2,15344,4348,10507,28.3,68.5
FL,Walton County,Republican,56.2,33559,6861,25695,20.4,76.6
FL,Washington County,Republican,57.1,11144,2261,8630,20.3,77.4
GA,Appling County,Republican,57.9,7003,1434,5492,20.5,78.4
GA,Atkinson County,Republican,45.2,2604,696,1873,26.7,71.9
GA,Bacon County,Republican,68.6,4010,607,3356,15.1,83.7
GA,Baker County,Republican,8.7,1440,650,775,45.1,53.8
GA,Baldwin County,Democrat,1.7,16075,7965,7691,49.5,47.8
GA,Banks County,Republican,78.5,6946,684,6130,9.8,88.3
GA,Barrow County,Republican,50.4,28828,6580,21105,22.8,73.2
GA,Bartow County,Republican,55.2,39263,8204,29879,20.9,76.1
GA,Ben Hill County,Republican,27.6,5923,2098,3734,35.4,63.0
GA,Berrien County,Republican,66.5,6563,1041,5408,15.9,82.4
GA,Bibb County,Democrat,20.2,58327,34383,22589,58.9,38.7
GA,Bleckley County,Republican,53.1,4934,1094,3717,22.2,75.3
GA,Brantley County,Republican,78.7,6285,619,5561,9.8,88.5
GA,Brooks County,Republican,18.8,6268,2504,3679,39.9,58.7
GA,Bryan County,Republican,43.2,15063,4010,10513,26.6,69.8
GA,Bulloch County,Republican,23.4,24151,8812,14476,36.5,59.9
GA,Burke County,Democrat,2.6,9350,4730,4491,50.6,48.0
GA,Butts County,Republican,43.8,9477,2566,6717,27.1,70.9
GA,Calhoun County,Democrat,17.2,2023,1178,829,58.2,41.0
GA,Camden County,Republican,33.9,18825,5914,12287,31.4,65.3
GA,Candler County,Republican,43.6,3757,1023,2661,27.2,70.8
GA,Carroll County,Republican,40.1,43744,12422,29983,28.4,68.5
GA,Catoosa County,Republican,60.7,26510,4769,20860,18.0,78.7
GA,Charlton County,Republican,48.6,4008,1004,2950,25.0,73.6
GA,Chatham County,Democrat,14.5,106013,58998,43649,55.7,41.2
GA,Chattahoochee County,Republican,11.1,1384,593,746,42.8,53.9
GA,Chattooga County,Republican,58.8,8246,1612,6457,19.5,78.3
GA,Cherokee County,Republican,50.0,110825,25203,80611,22.7,72.7
GA,Clarke County,Democrat,38.0,44221,29514,12691,66.7,28.7
GA,Clay County,Democrat,10.3,1271,697,566,54.8,44.5
GA,Clayton County,Democrat,71.9,89236,75908,11740,85.1,13.2
GA,Clinch County,Republican,42.6,2443,685,1724,28.0,70.6
GA,Cobb County,Democrat,2.1,326424,159416,152602,48.8,46.7
GA,Coffee County,Republican,39.5,13896,4090,9575,29.4,68.9
GA,Colquitt County,Republican,47.3,13592,3460,9892,25.5,72.8
GA,Columbia County,Republican,37.7,64190,18863,43060,29.4,67.1
GA,Cook County,Republican,40.1,6038,1752,4175,29.0,69.1
GA,Coweta County,Republican,42.3,61315,16572,42513,27.0,69.3
GA,Crawford County,Republican,42.9,5157,1419,3632,27.5,70.4
GA,Crisp County,Republican,22.7,7500,2835,4539,37.8,60.5
GA,Dade County,Republican,65.4,6238,965,5047,15.5,80.9
GA,Dawson County,Republican,72.2,11680,1444,9880,12.4,84.6
GA,Decatur County,Republican,18.6,10238,4104,6009,40.1,58.7
GA,DeKalb County,Democrat,64.7,295871,239131,47531,80.8,16.1
GA,Dodge County,Republican,45.6,6995,1836,5021,26.2,71.8
GA,Dooly County,Republican,2.1,3836,1860,1941,48.5,50.6
