state,county,total_winner,total_margin,total_votes,democrat_votes,republican_votes,democrat_vote_share,republican_vote_share,absentee_votes,absentee_vote_share,absentee_winner,absentee_margin,republican_absentee_votes,democrat_absentee_votes,republican_absentee_vote_share,democrat_absentee_vote_share
CALIFORNIA,VENTURA,DEMOCRAT,21.1,422698,251388,162207,59.5,38.4,377911,89.4,DEMOCRAT,26.7,134333,235294,35.5,62.3
CALIFORNIA,YOLO,DEMOCRAT,41.4,97264,67598,27292,69.5,28.1,91139,93.7,DEMOCRAT,43.8,24512,64427,26.9,70.7
CALIFORNIA,YUBA,REPUBLICAN,21.6,29787,11230,17676,37.7,59.3,25634,86.1,REPUBLICAN,16.1,14493,10361,56.5,40.4
CALIFORNIA,ALAMEDA,DEMOCRAT,62.5,769864,617659,136309,80.2,17.7,714038,92.7,DEMOCRAT,65.7,115118,584498,16.1,81.9
CALIFORNIA,ALPINE,DEMOCRAT,31.3,741,476,244,64.2,32.9,0,0.0,REPUBLICAN,,0,0,,
CALIFORNIA,AMADOR,REPUBLICAN,24.4,22302,8153,13585,36.6,60.9,20327,91.1,REPUBLICAN,19.9,11924,7880,58.7,38.8
CALIFORNIA,BUTTE,DEMOCRAT,1.9,102541,50815,48819,49.6,47.6,98458,96.0,DEMOCRAT,3.1,46307,49355,47.0,50.1
CALIFORNIA,CALAVERAS,REPUBLICAN,23.8,27164,10046,16518,37.0,60.8,23468,86.4,REPUBLICAN,17.6,13528,9403,57.6,40.1
CALIFORNIA,COLUSA,REPUBLICAN,16.6,7961,3239,4559,40.7,57.3,6198,77.9,REPUBLICAN,11.2,3380,2688,54.5,43.4
CALIFORNIA,CONTRA COSTA,DEMOCRAT,45.3,581230,416386,152877,71.6,26.3,530231,91.2,DEMOCRAT,50.0,126987,392349,23.9,74.0
CALIFORNIA,DEL NORTE,REPUBLICAN,15.6,11452,4677,6461,40.8,56.4,9581,83.7,REPUBLICAN,10.1,5134,4170,53.6,43.5
CALIFORNIA,EL DORADO,REPUBLICAN,8.8,116138,51621,61838,44.4,53.2,104573,90.0,REPUBLICAN,4.3,53292,48840,51.0,46.7
CALIFORNIA,KERN,REPUBLICAN,10.2,305226,133366,164484,43.7,53.9,263461,86.3,REPUBLICAN,6.0,136385,120575,51.8,45.8
CALIFORNIA,FRESNO,DEMOCRAT,7.8,364809,193025,164464,52.9,45.1,314630,86.2,DEMOCRAT,12.1,135103,173072,42.9,55.0
CALIFORNIA,GLENN,REPUBLICAN,27.2,11292,3995,7063,35.4,62.5,10620,94.0,REPUBLICAN,26.1,6585,3815,62.0,35.9
CALIFORNIA,HUMBOLDT,DEMOCRAT,33.4,68828,44768,21770,65.0,31.6,61691,89.6,DEMOCRAT,37.9,18116,41504,29.4,67.3
CALIFORNIA,IMPERIAL,DEMOCRAT,24.4,56718,34678,20847,61.1,36.8,35000,61.7,DEMOCRAT,33.2,11344,22981,32.4,65.7
CALIFORNIA,INYO,DEMOCRAT,0.1,9481,4634,4620,48.9,48.7,8288,87.4,DEMOCRAT,4.4,3859,4222,46.6,50.9
CALIFORNIA,KINGS,REPUBLICAN,12.3,43858,18699,24072,42.6,54.9,38685,88.2,REPUBLICAN,10.2,20830,16899,53.8,43.7
CALIFORNIA,LAKE,DEMOCRAT,6.3,28800,14941,13123,51.9,45.6,25081,87.1,DEMOCRAT,11.6,10759,13678,42.9,54.5
CALIFORNIA,LASSEN,REPUBLICAN,51.5,11985,2799,8970,23.4,74.8,11800,98.5,REPUBLICAN,51.2,8814,2775,74.7,23.5
CALIFORNIA,LOS ANGELES,DEMOCRAT,44.2,4263443,3028885,1145530,71.0,26.9,3362874,78.9,DEMOCRAT,53.4,750430,2545199,22.3,75.7
CALIFORNIA,ORANGE,DEMOCRAT,9.0,1521725,814009,676498,53.5,44.5,1263426,83.0,DEMOCRAT,18.4,501925,734649,39.7,58.1
CALIFORNIA,MADERA,REPUBLICAN,11.6,53722,23168,29378,43.1,54.7,47389,88.2,REPUBLICAN,8.7,25211,21109,53.2,44.5
CALIFORNIA,MARIN,DEMOCRAT,66.5,155801,128288,24612,82.3,15.8,143671,92.2,DEMOCRAT,69.9,20363,120738,14.2,84.0
CALIFORNIA,MARIPOSA,REPUBLICAN,18.1,10280,4088,5950,39.8,57.9,0,0.0,REPUBLICAN,,0,0,,
CALIFORNIA,MENDOCINO,DEMOCRAT,35.8,43336,28782,13267,66.4,30.6,325,0.7,DEMOCRAT,8.3,140,167,43.1,51.4
CALIFORNIA,MERCED,DEMOCRAT,10.6,90541,48991,39397,54.1,43.5,0,0.0,REPUBLICAN,,0,0,,
CALIFORNIA,MODOC,REPUBLICAN,45.2,4338,1150,3109,26.5,71.7,3871,89.2,REPUBLICAN,42.2,2717,1085,70.2,28.0
CALIFORNIA,MONO,DEMOCRAT,22.3,6737,4013,2513,59.6,37.3,5604,83.2,DEMOCRAT,30.0,1868,3551,33.3,63.4
CALIFORNIA,MONTEREY,DEMOCRAT,41.3,163883,113953,46299,69.5,28.3,152632,93.1,DEMOCRAT,43.2,41689,107605,27.3,70.5
CALIFORNIA,NAPA,DEMOCRAT,40.4,72122,49817,20676,69.1,28.7,69364,96.2,DEMOCRAT,42.1,19302,48509,27.8,69.9
CALIFORNIA,NEVADA,DEMOCRAT,14.8,64738,36359,26779,56.2,41.4,58559,90.5,DEMOCRAT,18.5,23145,33993,39.5,58.0
