year,office_type,state,party_winner,electoral_votes,district
2020,President,AK,R,3,0
2020,President,AL,R,9,0
2020,President,AR,R,6,0
2020,President,AZ,D,11,0
2020,President,CA,D,55,0
2020,President,CO,D,9,0
2020,President,CT,D,7,0
2020,President,DC,D,3,0
2020,President,DE,D,3,0
2020,President,FL,R,29,0
2020,President,GA,D,16,0
2020,President,HI,D,4,0
2020,President,IA,R,6,0
2020,President,ID,R,4,0
2020,President,IL,D,20,0
2020,President,IN,R,11,0
2020,President,KS,R,6,0
2020,President,KY,R,8,0
2020,President,LA,R,8,0
2020,President,MA,D,11,0
2020,President,MD,D,10,0
2020,President,ME,D,2,0
2020,President,ME,D,1,1
2020,President,ME,R,1,2
2020,President,MI,D,16,0
2020,President,MN,D,10,0
2020,President,MO,R,10,0
2020,President,MS,R,6,0
2020,President,MT,R,3,0
2020,President,NC,R,15,0
2020,President,ND,R,3,0
2020,President,NE,R,2,0
2020,President,NE,R,1,1
2020,President,NE,D,1,2
2020,President,NE,R,1,3
2020,President,NH,D,4,0
2020,President,NJ,D,14,0
2020,President,NM,D,5,0
2020,President,NV,D,6,0
2020,President,NY,D,29,0
2020,President,OH,R,18,0
2020,President,OK,R,7,0
2020,President,OR,D,7,0
2020,President,PA,D,20,0
2020,President,RI,D,4,0
2020,President,SC,R,9,0
2020,President,SD,R,3,0
2020,President,TN,R,11,0
2020,President,TX,R,38,0
2020,President,UT,R,6,0
2020,President,VA,D,13,0
2020,President,VT,D,3,0
2020,President,WA,D,12,0
2020,President,WI,D,10,0
2020,President,WV,R,5,0
2020,President,WY,R,3,0
