state,county,total_votes,dem_votes,gop_votes,winner,margin,dem_vote_share,gop_vote_share,absentee_votes,absentee_vote_share,dem_absentee_votes,gop_absentee_votes,absentee_winner,dem_absentee_vote_share,gop_absentee_vote_share
Georgia,Upson County,10283,0,0,Republican,0.0,0.0,0.0,7426,72.2,0,0,Republican,0.0,0.0
Georgia,Haralson County,10758,0,0,Republican,0.0,0.0,0.0,5422,50.4,0,0,Republican,0.0,0.0
Georgia,Lowndes County,35227,0,0,Republican,0.0,0.0,0.0,24021,68.2,0,0,Republican,0.0,0.0
Georgia,Oglethorpe County,6390,0,0,Republican,0.0,0.0,0.0,4154,65.0,0,0,Republican,0.0,0.0
Georgia,Twiggs County,3725,0,0,Republican,0.0,0.0,0.0,1768,47.5,0,0,Republican,0.0,0.0
Georgia,Brooks County,5745,0,0,Republican,0.0,0.0,0.0,3119,54.3,0,0,Republican,0.0,0.0
Georgia,Emanuel County,7222,0,0,Republican,0.0,0.0,0.0,3408,47.2,0,0,Republican,0.0,0.0
Georgia,Washington County,7811,0,0,Republican,0.0,0.0,0.0,4414,56.5,0,0,Republican,0.0,0.0
Georgia,Putnam County,9046,0,0,Republican,0.0,0.0,0.0,5719,63.2,0,0,Republican,0.0,0.0
Georgia,Hall County,67297,0,0,Republican,0.0,0.0,0.0,36491,54.2,0,0,Republican,0.0,0.0
Georgia,Jeff Davis County,4635,0,0,Republican,0.0,0.0,0.0,2530,54.6,0,0,Republican,0.0,0.0
Georgia,Bulloch County,24287,0,0,Republican,0.0,0.0,0.0,12960,53.4,0,0,Republican,0.0,0.0
Georgia,Tattnall County,6461,0,0,Republican,0.0,0.0,0.0,3962,61.3,0,0,Republican,0.0,0.0
Georgia,Grady County,8466,0,0,Republican,0.0,0.0,0.0,4883,57.7,0,0,Republican,0.0,0.0
Georgia,Wilkes County,4131,0,0,Republican,0.0,0.0,0.0,2135,51.7,0,0,Republican,0.0,0.0
Georgia,Terrell County,3932,0,0,Republican,0.0,0.0,0.0,2071,52.7,0,0,Republican,0.0,0.0
Georgia,Dooly County,3533,0,0,Republican,0.0,0.0,0.0,1838,52.0,0,0,Republican,0.0,0.0
Georgia,Johnson County,3338,0,0,Republican,0.0,0.0,0.0,2033,60.9,0,0,Republican,0.0,0.0
Georgia,Liberty County,15256,0,0,Republican,0.0,0.0,0.0,9192,60.3,0,0,Republican,0.0,0.0
Georgia,Glascock County,1280,0,0,Republican,0.0,0.0,0.0,715,55.9,0,0,Republican,0.0,0.0
Georgia,Cobb County,320184,0,0,Republican,0.0,0.0,0.0,159125,49.7,0,0,Republican,0.0,0.0
Georgia,Cook County,5694,0,0,Republican,0.0,0.0,0.0,3319,58.3,0,0,Republican,0.0,0.0
Georgia,Habersham County,15407,0,0,Republican,0.0,0.0,0.0,12250,79.5,0,0,Republican,0.0,0.0
Georgia,Jasper County,5772,0,0,Republican,0.0,0.0,0.0,3560,61.7,0,0,Republican,0.0,0.0
Georgia,Fayette County,58517,0,0,Republican,0.0,0.0,0.0,40543,69.3,0,0,Republican,0.0,0.0
Georgia,Wayne County,9683,0,0,Republican,0.0,0.0,0.0,5653,58.4,0,0,Republican,0.0,0.0
Georgia,Camden County,17557,0,0,Republican,0.0,0.0,0.0,10816,61.6,0,0,Republican,0.0,0.0
