total_population,median_household_income,median_household_income_black,median_household_income_hispanicOrLatino,median_household_income_white_notHispanic,proportion_white,proportion_white_notHispanic,proportion_black,proportion_hispanicOrLatino,proportion_asian,proportion_bachelorsDegreeOrHigher_white,proportion_bachelorsDegreeOrHigher_white_notHispanic,proportion_bachelorsDegreeOrHigher_black,proportion_bachelorsDegreeOrHigher_hispanicOrLatino,proportion_bachelorsDegreeOrHigher_asian,proportion_less_than_hs_white,proportion_less_than_hs_white_notHispanic,proportion_less_than_hs_black,proportion_less_than_hs_hispanicOrLatino,proportion_less_than_hs_asian,fips,state
118257,52821,33727,51689,70368,0.538319084705345,0.520781010849252,0.369035236814734,0.0622373305597132,0.0195506397084316,0.213964813069431,0.21792290455623,0.0766939346027818,0.0770380434782609,0.202854671280277,0.0384699968583098,0.0350241938102816,0.0782291881487592,0.16304347826087,0.13840830449827,185,GA
33405,67592,42344,87865,67780,0.921478820535848,0.898518185900314,0.0131716808860949,0.0519682682233199,0.0092800478970214,0.20804366188032,0.212760286523405,0.0159090909090909,0.0305299539170507,0.129032258064516,0.0751088298356182,0.0740629685157421,0.0227272727272727,0.138248847926267,0.0032258064516129,187,GA
21715,54752,41234,53929,63688,0.546350448998388,0.528804973520608,0.411604881418374,0.035275155422519,0.00156573796914575,0.149443695212407,0.153444221893233,0.0906243007384202,0.142297650130548,0.0882352941176471,0.0506574511126096,0.050944875032657,0.15294249272768,0.203655352480418,0.382352941176471,189,GA
11183,51262,39157,57679,54173,0.631673075203434,0.624072252526156,0.31726728069391,0.0259322185460073,0.0140391665921488,0.185730464326161,0.183837225963605,0.0614430665163472,0.231034482758621,0.0191082802547771,0.116647791619479,0.118068491187849,0.194193912063134,0.158620689655172,0,191,GA
12099,33960,24131,57679,56623,0.34011075295479,0.326969171005868,0.601454665674849,0.0472766344325977,0.00785188858583354,0.119076549210207,0.123862487360971,0.0474096468324859,0,0.221052631578947,0.180315917375456,0.187310414560162,0.2161605057029,0.0611888111888112,0,193,GA
30378,53626,41275,46089,61318,0.820462176575153,0.794423596023438,0.0875962867864902,0.064619132266772,0.0158009085522418,0.142031776600867,0.144698131189657,0.0698985343855693,0.0478858889454916,0,0.105159685443749,0.104214146604235,0.133408493047726,0.174732552215996,0.452083333333333,195,GA
7508,48836,33934,67228,58750,0.595897709110282,0.580580713905168,0.297549280767182,0.0828449653702717,0.0143846563665424,0.100134108180599,0.102775866024317,0.0720680393912265,0.0739549839228296,0,0.149307107733572,0.146134434503326,0.175022381378693,0.369774919614148,0,197,GA
20679,52392,39299,60208,61863,0.57652691135935,0.566323323178103,0.383674258910005,0.0270322549446298,0.00788239276560762,0.121623888609294,0.123815216463154,0.0447441391479708,0.0697674418604651,0.349693251533742,0.12455963764469,0.126035351379045,0.126543987900176,0.037567084078712,0.0674846625766871,199,GA
5923,52132,20818,57679,57466,0.663008610501435,0.663008610501435,0.273172378862063,0.0292081715346953,0.00675333445888908,0.157372039724981,0.157372039724981,0.0624227441285538,0.104046242774566,0.875,0.109243697478992,0.109243697478992,0.139678615574784,0.161849710982659,0.025,201,GA
21634,45966,32500,32083,65377,0.479985208468152,0.458491263751502,0.449061662198391,0.0498751964500324,6.9335305537579e-4,0.11979969183359,0.12410525254562,0.0463201235203294,0.0370713623725672,0,0.0968798151001541,0.0895251537453372,0.134534225424601,0.171455050973123,0,205,GA
28287,74867,57820,57679,77945,0.736981652349136,0.7229469367554,0.216141690529218,0.0253473326969986,0.0104288188920706,0.231304264402552,0.235354523227384,0.103696434412823,0.0320781032078103,0.101694915254237,0.063222526022929,0.0625916870415648,0.125286228328427,0.157601115760112,0.332203389830508,207,GA
8687,49138,30250,40542,72331,0.674340969264418,0.653620352250489,0.239668470127777,0.0742488776332451,0.00425923794175204,0.167292591328098,0.169601972525537,0.0254562920268972,0.128682170542636,0,0.0769887333560942,0.0769637196195844,0.165225744476465,0.158139534883721,0,209,GA
20171,81524,66000,46086,87932,0.728917753210054,0.727827078479005,0.221654851023747,0.0324723613107927,0.00158643597243567,0.242603550295858,0.242694639329746,0.113173786624916,0.0610687022900763,0.4375,0.0496497313473441,0.049724133233431,0.14493401923507,0.129770992366412,0,211,GA
40063,60617,42344,71037,56781,0.926915108703792,0.802411202356289,0.00466764845368545,0.158974614981404,0.00808726256146569,0.0713881782684799,0.0807851432482036,0.165775401069519,0.027947872507458,0.157407407407407,0.162946007809344,0.161974678819174,0.0481283422459893,0.1791490029832,0,213,GA
204572,54561,43361,59719,69284,0.405739788436345,0.383796413976497,0.465963083902,0.0799522906360597,0.025805095516493,0.251581268146934,0.258412512418167,0.129444100584329,0.137075079481536,0.390414851297594,0.0583834319241473,0.0579387115673638,0.0924435865425973,0.0925042797750061,0.0549346467133927,215,GA
113298,70732,69439,54564,73117,0.448631043796007,0.4215961446804,0.468428392381154,0.0630637787074794,0.0142897491570902,0.142064569438706,0.149562450278441,0.158708923726259,0.0481455563331001,0.143298332303891,0.0874304039032836,0.0788636268475485,0.0473130841121495,0.153533939818055,0.0469425571340334,217,GA
41978,116221,66861,143412,117077,0.8477297632093,0.829410643670494,0.0341845728715041,0.0571251607985135,0.0400924293677641,0.364890687348957,0.364276072033777,0.198606271777003,0.232693911592994,0.520499108734403,0.0229584668127915,0.0207657178964299,0.070383275261324,0.155129274395329,0.0190136660724896,219,GA
14974,66672,52625,88465,69844,0.776679577935087,0.745091491919327,0.167156404434353,0.0588353145452117,0.00868171497261921,0.191487532244196,0.195482656628126,0.0491410307630843,0.0522133938706016,0,0.0791917454858126,0.0812046248991664,0.147023571713943,0.0442678774120318,0,221,GA
169898,89237,87311,81987,91675,0.688554309056022,0.65635852099495,0.209908297919928,0.0758925943801575,0.0110772345760397,0.161970867810983,0.163782126011084,0.232846367383563,0.113075849232201,0.307651434643996,0.0665475620597689,0.0649694208798895,0.0286291114039761,0.115790290057391,0.0053134962805526,223,GA
28054,60940,39182,59038,78292,0.491587652384687,0.449561559848863,0.436693519640693,0.0818778070863335,0.00399230056319954,0.18736857370749,0.199096098953378,0.11052159007428,0.066173269481933,0.616071428571428,0.0655499963744471,0.0540754836663495,0.0994204554730226,0.276012189812799,0.0535714285714286,225,GA
