total_population,median_household_income,median_household_income_black,median_household_income_hispanicOrLatino,median_household_income_white_notHispanic,proportion_white,proportion_white_notHispanic,proportion_black,proportion_hispanicOrLatino,proportion_asian,proportion_bachelorsDegreeOrHigher_white,proportion_bachelorsDegreeOrHigher_white_notHispanic,proportion_bachelorsDegreeOrHigher_black,proportion_bachelorsDegreeOrHigher_hispanicOrLatino,proportion_bachelorsDegreeOrHigher_asian,proportion_less_than_hs_white,proportion_less_than_hs_white_notHispanic,proportion_less_than_hs_black,proportion_less_than_hs_hispanicOrLatino,proportion_less_than_hs_asian,state
5028092,59609,40661,51086,69303,0.662082555370904,0.645823902983478,0.26378614392895,0.0462217079560199,0.0138835964019751,0.213344079264358,0.215849845192658,0.123928160254414,0.0901177675371224,0.37591680036672,0.0749784020003533,0.0733156117369033,0.0965264588819919,0.166754873992608,0.0932128122851249,AL
734821,86370,71857,73411,95081,0.613036372123279,0.583546196964975,0.0318376856404485,0.0746984639796631,0.0645926014634857,0.265863361096805,0.272025317046096,0.151784569352426,0.125505556567681,0.18487695937974,0.0293136976327053,0.0279966044934492,0.0429151528104296,0.0606850063763891,0.0815354795213214,AK
7172282,72581,58184,62953,78872,0.666691856232089,0.529973723844099,0.0456029196844184,0.320332217835272,0.0335516645887599,0.251904447412239,0.293976697926743,0.180532412856911,0.0891772973645851,0.418243698107562,0.0567659799795136,0.036821769157046,0.0570997043509632,0.146652053764222,0.0741308665985156,AZ
3018669,56335,37395,54771,60932,0.726594403029945,0.696924372960401,0.151289525284157,0.0806053926415914,0.015706591216195,0.1847704969754,0.189819867438863,0.112294254564883,0.0631511460169899,0.335182333959041,0.0707954232524889,0.0666028451590087,0.0816128121079149,0.191150784354823,0.0870436378208508,AR
39356104,91905,64513,74517,104752,0.481339819612226,0.351871567368559,0.0559655752510462,0.396836282371853,0.151161710518907,0.288036155632016,0.357291880140615,0.19761171749402,0.0916771300678131,0.405731689441963,0.0720253636308929,0.0360038572260237,0.0648818866178725,0.190876255688174,0.0831956102533208,CA
5770790,87598,61343,69500,94469,0.76131846766214,0.662228914931924,0.0404991344339337,0.220725758518331,0.0321326889386029,0.338304492024303,0.372404479399118,0.190606387348531,0.111404642311515,0.37909518904606,0.0360988471594609,0.0231702351695004,0.0620592866433901,0.132563226097183,0.0946605475891302,CO
3611317,90213,59728,56787,102023,0.698406149335547,0.6392803511849,0.106722007511387,0.17373384834397,0.0473359165091295,0.329105221464408,0.347886031800485,0.166743209126975,0.112021204702522,0.448600427037936,0.0438059984949444,0.0357439258716372,0.0793317194550177,0.145235636141076,0.0689988007838779,CT
993635,79325,58385,66548,87027,0.638306822927936,0.601359654198977,0.219664162393635,0.0993282241466937,0.0408298822002043,0.273798411967634,0.283817435718924,0.165298305737036,0.104908000324228,0.460956371703229,0.0530726345065937,0.0457816485142218,0.0590884517057169,0.169044338169733,0.070421493714567407,DE
21634529,67917,51249,62425,74121,0.638211721641825,0.519656101595741,0.155108900221493,0.265237251062873,0.0281952059136577,0.262318928749128,0.2793878415995,0.140694601556512,0.184090606894083,0.377806193544156,0.0625136792490409,0.0485844137188165,0.0970802584730257,0.124584827900611,0.0921900359022279,FL
10722325,71355,55010,63786,82329,0.542794496529437,0.507833422322118,0.314665709162891,0.100580517751514,0.0434128792029714,0.258033693704436,0.267614971474641,0.171706854995987,0.109599177343186,0.399575068691499,0.0650219526774741,0.0585845581989861,0.0729388834682692,0.173985610923755,0.0868595685808626,GA
1450589,94814,80207,83781,94705,0.229765977820044,0.21041383879238,0.0197609384877453,0.109626503441016,0.371552521079368,0.354531707551246,0.369653107226168,0.218698761555904,0.135722505549512,0.290047683544539,0.0233426143728098,0.0220133410216759,0.0226408512122798,0.0379001779616785,0.0793272352821122,HI
1854109,70214,54727,60878,72117,0.849388574242399,0.800636855761986,0.00689333798606231,0.130648198137218,0.0134765539674313,0.210721086776657,0.218486353360261,0.118770049291918,0.0735398536963952,0.339976787929723,0.0438166210435347,0.0393299148247049,0.0713559189421798,0.160095939497019,0.0796414135350382,ID
12757634,78433,46717,70419,86254,0.657540340160252,0.595848336768401,0.139101419589244,0.178379784213907,0.057853282199505,0.281684235823628,0.299629618179821,0.156718255611812,0.100651930127996,0.472407126143691,0.0480188788219905,0.0380099492015841,0.079652655097895,0.164328049693633,0.0630860716651921,IL
6784403,67173,42067,59341,71029,0.799809062050117,0.7721507699351,0.0944448612501351,0.0753174597676465,0.0248951897462459,0.19983351230975,0.203548975657917,0.123351936474642,0.0906858140372301,0.348989632857507,0.0596257768058727,0.0574481796791575,0.0819880390541114,0.142869444053043,0.101924818974653,IN
3188836,70571,40592,58899,72800,0.868536042618686,0.838214947397734,0.0378254008672757,0.0654273220698713,0.0247551144053818,0.211980059351124,0.216893072396209,0.100009119624603,0.0751161107569607,0.297251076767165,0.0379904239536196,0.0341168680062703,0.0864623318051053,0.156352900012941,0.125791740562452,IA
2935922,69747,46145,57773,73300,0.797525615462536,0.742229868504681,0.0557170796771849,0.126014928189509,0.0301482805060897,0.24783757916491,0.26093039925585,0.138628569332624,0.0767575749385085,0.333521629591134,0.0421243379701581,0.0346133707550127,0.0710779369242149,0.15576938670703,0.0967993402099127,KS
4502935,60183,44196,54128,62361,0.847668687200681,0.832491919159393,0.0799887184691762,0.0400807473347939,0.0153648675808112,0.187446047246042,0.188682240066242,0.12302323257002,0.109158304752301,0.35894026334427,0.0795588783538473,0.0788143593825735,0.0768218466117318,0.136784481468963,0.107231127234885,KY
4640546,57852,37015,58003,70652,0.594480477081792,0.575183609859702,0.31560553434876,0.0550762776621544,0.0173175742682003,0.212679168627121,0.215252254824166,0.10926189178892,0.12813791160636,0.320707290668591,0.0732076612508582,0.0712818161178436,0.110665022511543,0.148569550519594,0.134402647984769,LA
1366949,68251,53407,65650,68812,0.92270011536641094,0.914180411997814,0.0159296359995874,0.0189458421638262,0.0110252833134228,0.255649798142211,0.255954924546149,0.16849598163031,0.203915360259479,0.311326388428107,0.0423711075380327,0.0423298587270874,0.0837657864523536,0.0524364815815893,0.0970074978435406,ME
6161707,98461,79161,86721,110044,0.51191122849561,0.485093659922486,0.29893112411869,0.109207562125236,0.0648742304689269,0.342365388633167,0.351427314440759,0.223265755518951,0.138028399253981,0.460944223187304,0.0447298515303335,0.0401411171945179,0.0585522979750544,0.177001211166509,0.0732933736265935,MD
6984205,96505,67044,59292,104576,0.726714779992855,0.688652036989178,0.0714161454310118,0.125897793664419,0.0698146746838044,0.355797873126425,0.36768858347747,0.194067584229678,0.128256013902031,0.436386382280558,0.0434000423601499,0.0381825262226003,0.0842126367071985,0.155684775092802,0.0956214109926169,MA
10057921,68505,42171,60514,73276,0.757322015156015,0.735155903491387,0.135568672690907,0.0547257231390066,0.0325664717390403,0.230046664833069,0.233331530103569,0.120685216924488,0.117935711729257,0.436295416591615,0.0496335540433118,0.0479783991106471,0.0798143654123571,0.120719005426696,0.0685328391609245,MI
5695292,84313,49738,68240,87978,0.796661347653465,0.776683969847376,0.0670873416147934,0.0574244481231164,0.0502425512159868,0.283768978310282,0.287682533194738,0.12711669222837,0.114264223403832,0.285647886044187,0.0292328847252028,0.0270671572047288,0.101072544637015,0.132172854832151,0.106997826284484,MN
2958846,52985,36263,48652,65751,0.569486887793417,0.55872188008433,0.3723870725276,0.0328246214909461,0.00981497516261407,0.193351548701977,0.195494479703261,0.109941043857707,0.0829566632002718,0.318515202644537,0.0751674753594014,0.0737231213691013,0.113314504154883,0.164307115719243,0.0955201267173995,MS
6154422,65920,44293,58288,69746,0.793602551141277,0.775724674063624,0.11274689970886,0.0455084165499213,0.0206427183576297,0.226647748386879,0.228756108172011,0.128299504822076,0.121030570055485,0.425718648657158,0.0555556579271994,0.0545606462487356,0.073365884028062,0.113589785702554,0.0660322407984635,MO
