State,Abbreviate,District,Office_type,When to call,Last Poll Close,,Estimated call time,Race to watch,,,
Colorado,CO,4,House,Early results,9:00 PM,6,10:00:00 PM,TRUE,,,
Colorado,CO,5,House,Exit Poll,9:00 PM,#N/A,9:05:00 PM,,,,
Colorado,CO,6,House,Poll Closing,9:00 PM,#N/A,9:00:00 PM,,,,
Colorado,CO,7,House,Exit Poll,9:00 PM,#N/A,9:05:00 PM,,,,
Colorado,CO,8,House,Lots of results,9:00 PM,7,next day,TRUE,,,
Connecticut,CT,1,House,Poll Closing,8:00 PM,#N/A,8:00:00 PM,,,,
Connecticut,CT,2,House,Exit Poll,8:00 PM,#N/A,8:05:00 PM,,,,
Connecticut,CT,3,House,Poll Closing,8:00 PM,#N/A,8:00:00 PM,,,,
Connecticut,CT,4,House,Poll Closing,8:00 PM,#N/A,8:00:00 PM,,,,
Connecticut,CT,5,House,Lots of results,8:00 PM,7,1:00:00 AM,TRUE,,,
Delaware,DE,1,House,Exit Poll,8:00 PM,#N/A,8:05:00 PM,,,,
Florida,FL,1,House,Poll Closing,8:00 PM,#N/A,8:00:00 PM,,,,
Florida,FL,2,House,Exit Poll,8:00 PM,#N/A,8:05:00 PM,,,,
Florida,FL,3,House,Poll Closing,7:00 PM,#N/A,7:00:00 PM,,,,
Florida,FL,4,House,Exit Poll,7:00 PM,#N/A,7:05:00 PM,,,,
Florida,FL,5,House,Exit Poll,7:00 PM,#N/A,7:05:00 PM,,,,
Florida,FL,6,House,Poll Closing,7:00 PM,#N/A,7:00:00 PM,,,,
Florida,FL,7,House,Early results,7:00 PM,6,7:30:00 PM,TRUE,,,
Florida,FL,8,House,Poll Closing,7:00 PM,#N/A,7:00:00 PM,,,,
Florida,FL,9,House,Lots of results,7:00 PM,7,8:15:00 PM,TRUE,,,
Florida,FL,10,House,Poll Closing,7:00 PM,#N/A,7:00:00 PM,,,,
Florida,FL,11,House,Exit Poll,7:00 PM,#N/A,7:05:00 PM,,,,
Florida,FL,12,House,Poll Closing,7:00 PM,#N/A,7:00:00 PM,,,,
Florida,FL,13,House,Lots of results,7:00 PM,7,8:15:00 PM,TRUE,,,
Florida,FL,14,House,Poll Closing,7:00 PM,#N/A,7:00:00 PM,,,,
Florida,FL,15,House,Early results,7:00 PM,6,7:30:00 PM,TRUE,,,
Florida,FL,16,House,Exit Poll,7:00 PM,#N/A,7:05:00 PM,,,,
Florida,FL,17,House,Poll Closing,7:00 PM,#N/A,7:00:00 PM,,,,
Florida,FL,18,House,Poll Closing,7:00 PM,#N/A,7:00:00 PM,,,,
Florida,FL,19,House,Poll Closing,7:00 PM,#N/A,7:00:00 PM,,,,
Florida,FL,20,House,Poll Closing,7:00 PM,#N/A,7:00:00 PM,,,,
Florida,FL,21,House,Exit Poll,7:00 PM,#N/A,7:05:00 PM,,,,
Florida,FL,22,House,Early results,7:00 PM,6,7:30:00 PM,TRUE,,,
Florida,FL,23,House,Early results,7:00 PM,6,7:30:00 PM,TRUE,,,
Florida,FL,24,House,Poll Closing,7:00 PM,#N/A,7:00:00 PM,,,,
Florida,FL,25,House,Exit Poll,7:00 PM,#N/A,7:05:00 PM,,,,
Florida,FL,26,House,Poll Closing,7:00 PM,#N/A,7:00:00 PM,,,,
Florida,FL,27,House,Early results,7:00 PM,6,7:30:00 PM,TRUE,,,
Florida,FL,28,House,Early results,7:00 PM,6,7:30:00 PM,TRUE,,,
Georgia,GA,1,House,Poll Closing,7:00 PM,#N/A,7:00:00 PM,,,,
