county,office_type,district,state,fips,margin_votes_1,margin_pct_1,democratic_percent_1,republican_percent_1,democratic_votes_1,republican_votes_1,margin_votes_2,margin_pct_2,democratic_percent_2,republican_percent_2,democratic_votes_2,republican_votes_2
Marion,President,0,AL,093,-10742,-77.80111537625842,10.6,88.4,1463,12205,-9841,-76.21592317224288,11.1,87.3,1432,11273
Marshall,President,0,AL,095,-27248,-68.71264657672425,15,83.7,5943,33191,-24304,-69.50950950950951,14.1,83.6,4913,29217
Mobile,President,0,AL,097,-21769,-11.884977397305148,43.4,55.3,79474,101243,-22658,-13.867688371779884,41.9,55.7,68429,91087
Monroe,President,0,AL,099,-1692,-15.860517435320585,41.8,57.6,4455,6147,-1461,-14.344624447717232,42.3,56.7,4310,5771
Montgomery,President,0,AL,101,31218,31.489121334691696,65.1,33.6,64529,33311,24741,26.16102017510468,62,35.9,58669,33928
Morgan,President,0,AL,103,-26430,-49.19772160381222,24.6,73.8,13234,39664,-26176,-52.36142505651017,22.4,74.8,11216,37392
Perry,President,0,AL,105,2521,48.202676864244744,73.8,25.6,3860,1339,2420,46.051379638439585,72.7,26.7,3823,1403
Pickens,President,0,AL,107,-1572,-16.259826230864707,41.6,57.9,4022,5594,-1482,-15.609858858226248,41.8,57.4,3972,5454
Pike,President,0,AL,109,-2406,-17.38313705657106,40.7,58.1,5636,8042,-2642,-20.284069097888676,38.7,59,5039,7681
Randolph,President,0,AL,111,-6356,-58.65091815077974,20.3,79,2203,8559,-5407,-53.37611056268509,22.6,76,2290,7697
Russell,President,0,AL,113,1364,6.395048994326973,52.6,46.2,11228,9864,367,1.917851170568562,50,48.1,9577,9210
St. Clair,President,0,AL,115,-28422,-63.954456470376456,17.4,81.4,7744,36166,-26029,-68.61111843319188,14.6,83.2,5550,31579
Shelby,President,0,AL,117,-46432,-40.39321444106133,28.9,69.3,33268,79700,-49919,-50.31751471655512,23.1,73.4,22927,72846
Sumter,President,0,AL,119,3050,48.48195835320299,73.9,25.4,4648,1598,3158,49.413237365044594,74.2,24.7,4739,1581
Talladega,President,0,AL,121,-9097,-25.508229818018673,36.8,62.3,13138,22235,-8488,-25.552411343247638,36.5,62,12108,20596
Tallapoosa,President,0,AL,123,-9104,-43.37096851031394,27.9,71.3,5859,14963,-7696,-41.591007349762215,28.5,70.1,5271,12967
Tuscaloosa,President,0,AL,125,-13352,-14.807257241715831,41.9,56.7,37765,51117,-15955,-19.526851715866254,38.9,58.4,31746,47701
Walker,President,0,AL,127,-21168,-67.91145332050048,15.5,83.4,4834,26002,-19722,-67.44178093902815,15.3,82.8,4486,24208
Washington,President,0,AL,129,-4306,-48.512843623253715,25.4,74,2258,6564,-3665,-43.15826660386246,27.9,71,2366,6031
Wilcox,President,0,AL,131,2215,37.52329324072505,68.6,31.1,4048,1833,2592,42.526661197703035,71,28.5,4329,1737
Winston,President,0,AL,133,-9221,-81.71747607231478,8.6,90.3,974,10195,-8354,-81.4627011214042,8.5,90,871,9225
Apache,President,0,AZ,001,11851,33.68388142000398,66.2,32.5,23293,11442,6881,36.877646176108044,65.4,28.5,12196,5315
Cochise,President,0,AZ,003,-11825,-19.554181204835217,39.2,58.8,23732,35557,-9745,-22.58557953044244,35.4,58,15291,25036
Coconino,President,0,AZ,005,17646,24.0585717012516,60.9,36.9,44698,27052,8735,19.441785928910058,56.3,36.9,25308,16573
Gila,President,0,AZ,007,-9434,-34.08483271912711,32.3,66.4,8943,18377,-6926,-32.3675109823348,31.5,63.9,6746,13672
Graham,President,0,AZ,009,-6715,-44.77860762870099,26.9,71.7,4034,10749,-4724,-39.5678029985761,27.6,67.2,3301,8025
Greenlee,President,0,AZ,011,-1251,-33.920824295010846,32,66,1182,2433,-800,-24.668516805427075,33.7,58.3,1092,1892
La Paz,President,0,AZ,012,-2893,-38.78016085790885,30,68.8,2236,5129,-2063,-41.83735550598256,26.7,68.6,1318,3381
Maricopa,President,0,AZ,013,45109,2.1797315744331294,50.3,48.1,1040774,995665,-41425,-3.446528677947375,45.7,49.1,549040,590465
