"Geography","district","state","total_pop","proportion_white","proportion_black","proportion_indigenous","proportion_asian","proportion_pacific","proportion_other","proportion_multiracial","proportion_hispanic_latino","median_income","proportion_hs_degree_over_25","proportion_bachelors_degree_over_25"
"5001800US1308","8","GA",778270,0.594,0.291,0.005,0.014,0.001,0.033,0.062,0.075,58679,0.877,0.242
"5001800US1309","9","GA",810092,0.652,0.105,0.005,0.059,0,0.055,0.124,0.162,75543,0.86,0.31
"5001800US1310","10","GA",833978,0.617,0.246,0.006,0.024,0.001,0.031,0.075,0.089,72143,0.892,0.308
"5001800US1311","11","GA",791779,0.641,0.148,0.007,0.038,0.001,0.06,0.105,0.133,92349,0.923,0.451
"5001800US1312","12","GA",779898,0.522,0.366,0.004,0.019,0.004,0.029,0.056,0.061,60966,0.875,0.25
"5001800US1313","13","GA",773905,0.159,0.658,0.005,0.031,0.001,0.069,0.078,0.12,76312,0.897,0.342
"5001800US1314","14","GA",796193,0.68,0.138,0.007,0.011,0,0.077,0.086,0.142,70423,0.866,0.242
"5001800US1501","1","HI",723269,0.156,0.018,0.002,0.489,0.08,0.016,0.239,0.089,102320,0.926,0.405
"5001800US1502","2","HI",711869,0.283,0.015,0.002,0.243,0.109,0.021,0.326,0.114,89073,0.934,0.333
"5001800US1601","1","ID",1008961,0.823,0.007,0.011,0.013,0.001,0.042,0.102,0.128,76925,0.923,0.306
"5001800US1602","2","ID",955765,0.811,0.01,0.011,0.014,0.003,0.059,0.092,0.149,73251,0.92,0.338
"5001800US1701","1","IL",751575,0.37,0.477,0.003,0.021,0,0.05,0.079,0.111,67268,0.919,0.309
"5001800US1702","2","IL",720502,0.363,0.454,0.007,0.011,0,0.08,0.085,0.163,61221,0.894,0.255
"5001800US1703","3","IL",720148,0.455,0.053,0.016,0.072,0.001,0.211,0.193,0.463,83552,0.833,0.375
"5001800US1704","4","IL",704764,0.312,0.055,0.026,0.045,0.001,0.322,0.24,0.642,75442,0.767,0.256
"5001800US1705","5","IL",754102,0.714,0.032,0.005,0.103,0.001,0.05,0.095,0.124,107501,0.965,0.671
