"Geography","district","state","total_pop","proportion_white","proportion_black","proportion_indigenous","proportion_asian","proportion_pacific","proportion_other","proportion_multiracial","proportion_hispanic_latino","median_income","proportion_hs_degree_over_25","proportion_bachelors_degree_over_25"
"5001800US3712","12","NC",772165,0.396,0.351,0.005,0.057,0,0.107,0.084,0.163,78809,0.897,0.425
"5001800US3713","13","NC",799277,0.606,0.203,0.005,0.031,0.001,0.067,0.088,0.131,85141,0.907,0.42
"5001800US3714","14","NC",790986,0.565,0.198,0.004,0.059,0.001,0.061,0.111,0.134,86119,0.927,0.52
"5001800US3800","1","ND",783926,0.825,0.031,0.044,0.015,0.002,0.016,0.067,0.049,76525,0.945,0.336
"5001800US3901","1","OH",796831,0.685,0.169,0.001,0.042,0.001,0.024,0.079,0.05,75779,0.938,0.487
"5001800US3902","2","OH",787945,0.924,0.016,0.003,0.005,0,0.008,0.044,0.015,64339,0.907,0.214
"5001800US3903","3","OH",784597,0.541,0.28,0.004,0.058,0,0.032,0.084,0.073,66850,0.918,0.46
"5001800US3904","4","OH",803311,0.857,0.039,0.001,0.034,0,0.011,0.057,0.028,74281,0.928,0.289
"5001800US3905","5","OH",790574,0.858,0.034,0.002,0.01,0.001,0.025,0.07,0.076,70357,0.936,0.263
"5001800US3906","6","OH",773456,0.865,0.052,0.002,0.005,0,0.017,0.058,0.036,56731,0.911,0.211
"5001800US3907","7","OH",769701,0.869,0.032,0.001,0.031,0,0.011,0.055,0.043,80983,0.936,0.375
"5001800US3908","8","OH",786259,0.745,0.131,0.002,0.028,0,0.019,0.075,0.049,77023,0.919,0.314
"5001800US3909","9","OH",776106,0.765,0.117,0.002,0.016,0,0.022,0.078,0.08,63370,0.92,0.279
"5001800US3910","10","OH",784462,0.717,0.16,0.002,0.021,0.001,0.016,0.082,0.04,64305,0.926,0.331
"5001800US3911","11","OH",772345,0.425,0.432,0.002,0.03,0,0.034,0.076,0.082,52226,0.89,0.349
"5001800US3912","12","OH",804132,0.874,0.039,0.001,0.021,0,0.006,0.058,0.022,71217,0.89,0.266
"5001800US3913","13","OH",781848,0.764,0.117,0.001,0.035,0.002,0.01,0.071,0.029,67524,0.933,0.353
"5001800US3914","14","OH",784185,0.869,0.053,0.001,0.01,0,0.012,0.054,0.036,66028,0.922,0.282
"5001800US3915","15","OH",790183,0.726,0.127,0.001,0.038,0.001,0.029,0.078,0.063,75466,0.908,0.343
"5001800US4001","1","OK",812132,0.616,0.083,0.059,0.036,0.002,0.043,0.162,0.148,67384,0.902,0.335
"5001800US4002","2","OK",811280,0.637,0.032,0.164,0.008,0.001,0.019,0.139,0.063,51974,0.886,0.195
"5001800US4003","3","OK",803437,0.655,0.05,0.052,0.011,0.006,0.07,0.156,0.216,56616,0.856,0.229
"5001800US4004","4","OK",808026,0.678,0.069,0.052,0.025,0.001,0.028,0.147,0.109,63796,0.912,0.273
"5001800US4005","5","OK",818949,0.647,0.104,0.034,0.036,0.001,0.032,0.146,0.11,72813,0.925,0.399
"5001800US4101","1","OR",710371,0.66,0.027,0.01,0.104,0.005,0.056,0.139,0.159,94740,0.937,0.5
"5001800US4102","2","OR",704844,0.79,0.006,0.018,0.009,0.001,0.055,0.121,0.163,65168,0.901,0.24
"5001800US4103","3","OR",681430,0.668,0.051,0.008,0.069,0.004,0.051,0.149,0.156,84057,0.908,0.424
"5001800US4104","4","OR",710184,0.802,0.01,0.012,0.027,0.002,0.035,0.112,0.095,67778,0.93,0.321
"5001800US4105","5","OR",709945,0.808,0.018,0.008,0.033,0.003,0.026,0.105,0.102,92055,0.938,0.405
"5001800US4106","6","OR",716584,0.703,0.013,0.009,0.034,0.007,0.082,0.152,0.22,83695,0.903,0.366
"5001800US4201","1","PA",763720,0.803,0.034,0.002,0.06,0,0.032,0.069,0.065,108039,0.957,0.443
"5001800US4202","2","PA",713964,0.369,0.27,0.006,0.096,0,0.148,0.111,0.255,56629,0.846,0.263
"5001800US4203","3","PA",768800,0.332,0.499,0.004,0.064,0,0.025,0.075,0.073,63678,0.916,0.453
"5001800US4204","4","PA",781948,0.752,0.093,0.001,0.06,0,0.025,0.068,0.067,103971,0.946,0.491
"5001800US4205","5","PA",757986,0.588,0.236,0.003,0.071,0,0.037,0.064,0.073,81754,0.922,0.425
"5001800US4206","6","PA",777885,0.706,0.049,0.003,0.054,0,0.06,0.129,0.17,102246,0.918,0.493
"5001800US4207","7","PA",778593,0.682,0.055,0.006,0.034,0,0.099,0.125,0.213,79206,0.917,0.325
"5001800US4208","8","PA",764570,0.737,0.071,0.002,0.021,0.001,0.07,0.098,0.156,61140,0.907,0.271
"5001800US4209","9","PA",765968,0.876,0.024,0.002,0.011,0,0.028,0.06,0.072,67325,0.91,0.234
"5001800US4210","10","PA",781862,0.712,0.108,0.003,0.05,0,0.045,0.083,0.109,78636,0.919,0.363
"5001800US4211","11","PA",773134,0.828,0.034,0.001,0.02,0.001,0.04,0.075,0.096,80905,0.887,0.306
"5001800US4212","12","PA",752466,0.74,0.147,0.001,0.042,0,0.016,0.055,0.03,70562,0.961,0.427
"5001800US4213","13","PA",765875,0.9,0.021,0.001,0.007,0,0.02,0.05,0.039,64789,0.906,0.219
"5001800US4214","14","PA",753602,0.914,0.031,0.002,0.008,0,0.002,0.042,0.018,63720,0.931,0.266
"5001800US4215","15","PA",750180,0.918,0.021,0.001,0.017,0,0.007,0.036,0.022,62295,0.918,0.261
"5001800US4216","16","PA",761148,0.884,0.042,0.002,0.012,0,0.011,0.049,0.03,65043,0.931,0.297
"5001800US4217","17","PA",749982,0.827,0.07,0.001,0.031,0,0.009,0.061,0.026,83227,0.97,0.464
"5001800US4401","1","RI",536470,0.654,0.062,0.011,0.037,0,0.08,0.156,0.204,81386,0.88,0.382
"5001800US4402","2","RI",559492,0.738,0.047,0.005,0.032,0,0.064,0.114,0.157,90329,0.911,0.399
"5001800US4501","1","SC",776842,0.699,0.185,0.002,0.016,0,0.031,0.066,0.08,89127,0.945,0.45
"5001800US4502","2","SC",755004,0.615,0.249,0.003,0.021,0.003,0.03,0.08,0.077,73629,0.921,0.358
"5001800US4503","3","SC",768137,0.726,0.166,0.003,0.009,0,0.027,0.068,0.064,61412,0.883,0.265
"5001800US4504","4","SC",767156,0.666,0.169,0.004,0.028,0.002,0.038,0.093,0.117,72022,0.903,0.371
"5001800US4505","5","SC",771387,0.653,0.234,0.005,0.021,0.001,0.018,0.068,0.061,68146,0.896,0.295
"5001800US4506","6","SC",755258,0.433,0.46,0.005,0.017,0,0.031,0.055,0.067,55985,0.881,0.313
"5001800US4507","7","SC",779771,0.652,0.25,0.007,0.011,0.001,0.02,0.058,0.055,58573,0.884,0.253
"5001800US4600","1","SD",919318,0.805,0.025,0.077,0.015,0,0.017,0.061,0.051,71810,0.935,0.333
"5001800US4701","1","TN",788014,0.891,0.021,0.002,0.009,0,0.017,0.059,0.053,55431,0.882,0.232
"5001800US4702","2","TN",806407,0.838,0.058,0.001,0.016,0.001,0.019,0.068,0.059,70762,0.911,0.351
"5001800US4703","3","TN",798804,0.792,0.097,0.004,0.014,0,0.028,0.065,0.066,65934,0.897,0.29
"5001800US4704","4","TN",808625,0.766,0.08,0.001,0.023,0.002,0.034,0.094,0.091,66901,0.887,0.27
"5001800US4705","5","TN",793338,0.704,0.124,0.009,0.039,0.001,0.027,0.097,0.099,92367,0.935,0.468
"5001800US4706","6","TN",796534,0.79,0.084,0.005,0.011,0.001,0.035,0.074,0.083,69381,0.895,0.305
"5001800US4707","7","TN",813590,0.72,0.155,0.002,0.017,0,0.021,0.083,0.085,74881,0.919,0.374
"5001800US4708","8","TN",773599,0.735,0.171,0.002,0.017,0,0.016,0.06,0.039,65691,0.902,0.288
"5001800US4709","9","TN",747578,0.237,0.615,0.005,0.019,0.001,0.056,0.067,0.099,53598,0.882,0.271
"5001800US4801","1","TX",785535,0.647,0.163,0.005,0.011,0.001,0.05,0.124,0.178,62182,0.871,0.227
"5001800US4802","2","TX",839055,0.534,0.128,0.007,0.052,0,0.087,0.192,0.337,93948,0.907,0.395
"5001800US4803","3","TX",872647,0.577,0.113,0.005,0.138,0,0.049,0.118,0.168,118298,0.933,0.495
"5001800US4804","4","TX",845835,0.603,0.086,0.005,0.14,0,0.044,0.121,0.15,93729,0.927,0.456
"5001800US4805","5","TX",827361,0.484,0.145,0.008,0.05,0.001,0.085,0.228,0.328,74908,0.855,0.255
"5001800US4806","6","TX",814151,0.519,0.14,0.005,0.033,0.005,0.11,0.188,0.364,75166,0.834,0.269
"5001800US4807","7","TX",809564,0.285,0.21,0.007,0.192,0.001,0.091,0.214,0.317,74057,0.87,0.489
"5001800US4808","8","TX",868181,0.539,0.112,0.012,0.065,0.001,0.098,0.174,0.328,85858,0.885,0.334
"5001800US4809","9","TX",764812,0.171,0.359,0.016,0.1,0.002,0.151,0.2,0.4,62467,0.813,0.315
"5001800US4810","10","TX",817807,0.614,0.096,0.008,0.054,0.001,0.073,0.155,0.263,79330,0.899,0.415
"5001800US4811","11","TX",790592,0.518,0.122,0.006,0.021,0.003,0.11,0.22,0.407,67226,0.873,0.255
"5001800US4812","12","TX",849835,0.586,0.139,0.007,0.043,0.001,0.066,0.157,0.241,83435,0.906,0.35
"5001800US4813","13","TX",790888,0.666,0.068,0.01,0.026,0.001,0.062,0.167,0.296,64830,0.877,0.266
"5001800US4814","14","TX",778849,0.576,0.151,0.007,0.026,0,0.082,0.157,0.272,75203,0.882,0.253
"5001800US4815","15","TX",799844,0.333,0.012,0.006,0.011,0.001,0.101,0.535,0.814,59068,0.766,0.231
"5001800US4816","16","TX",766538,0.297,0.035,0.015,0.013,0.002,0.192,0.446,0.822,58975,0.827,0.272
"5001800US4817","17","TX",800590,0.578,0.148,0.006,0.026,0,0.052,0.191,0.257,66873,0.881,0.279
"5001800US4818","18","TX",788066,0.255,0.32,0.013,0.049,0.003,0.161,0.199,0.436,59212,0.804,0.293
"5001800US4819","19","TX",771186,0.633,0.061,0.011,0.014,0.003,0.077,0.202,0.39,59075,0.846,0.246
"5001800US4820","20","TX",768443,0.36,0.066,0.018,0.032,0.001,0.145,0.376,0.71,60325,0.833,0.261
"5001800US4821","21","TX",839290,0.66,0.037,0.008,0.026,0,0.064,0.205,0.325,90518,0.949,0.463
"5001800US4822","22","TX",852846,0.446,0.138,0.004,0.152,0.001,0.068,0.192,0.284,104870,0.928,0.476
"5001800US4823","23","TX",786734,0.426,0.041,0.013,0.03,0.003,0.133,0.354,0.63,74285,0.834,0.321
"5001800US4824","24","TX",784279,0.662,0.078,0.003,0.084,0.005,0.045,0.124,0.185,114631,0.948,0.55
"5001800US4825","25","TX",813686,0.607,0.129,0.007,0.032,0.001,0.071,0.154,0.238,76046,0.894,0.307
"5001800US4826","26","TX",854717,0.591,0.103,0.006,0.109,0.001,0.054,0.136,0.198,114063,0.933,0.475
"5001800US4827","27","TX",779431,0.494,0.039,0.009,0.017,0,0.09,0.351,0.549,64983,0.85,0.221
"5001800US4828","28","TX",799580,0.338,0.046,0.007,0.01,0,0.145,0.454,0.758,63441,0.772,0.221
"5001800US4829","29","TX",740677,0.187,0.15,0.017,0.02,0.001,0.253,0.373,0.749,55202,0.644,0.136
"5001800US4830","30","TX",772920,0.222,0.428,0.006,0.032,0.001,0.128,0.183,0.351,70984,0.824,0.322
"5001800US4831","31","TX",868119,0.618,0.082,0.006,0.068,0.002,0.062,0.161,0.246,97138,0.92,0.395
"5001800US4832","32","TX",762001,0.37,0.195,0.009,0.079,0.008,0.117,0.221,0.374,70159,0.846,0.404
"5001800US4833","33","TX",734551,0.233,0.161,0.011,0.093,0.001,0.202,0.298,0.591,62386,0.71,0.238
"5001800US4834","34","TX",778323,0.336,0.007,0.006,0.006,0,0.102,0.542,0.906,51228,0.718,0.198
"5001800US4835","35","TX",834055,0.406,0.121,0.012,0.038,0.003,0.115,0.305,0.527,73349,0.856,0.34
"5001800US4836","36","TX",789655,0.54,0.112,0.011,0.042,0.001,0.139,0.156,0.33,77440,0.87,0.235
"5001800US4837","37","TX",765870,0.586,0.055,0.009,0.103,0.001,0.066,0.18,0.279,92467,0.953,0.652
"5001800US4838","38","TX",796788,0.515,0.113,0.013,0.098,0,0.083,0.179,0.29,96760,0.924,0.501
"5001800US4901","1","UT",855830,0.831,0.012,0.006,0.023,0.005,0.037,0.087,0.145,93572,0.94,0.388
"5001800US4902","2","UT",857385,0.747,0.01,0.012,0.027,0.012,0.103,0.089,0.198,81800,0.902,0.331
"5001800US4903","3","UT",818995,0.799,0.008,0.016,0.027,0.009,0.051,0.091,0.132,94844,0.95,0.455
"5001800US4904","4","UT",885524,0.768,0.014,0.009,0.023,0.014,0.057,0.114,0.164,105430,0.933,0.369
"5001800US5000","1","VT",647464,0.899,0.012,0.002,0.017,0,0.011,0.058,0.025,81211,0.955,0.437
"5001800US5101","1","VA",814127,0.706,0.131,0.003,0.06,0.001,0.028,0.071,0.064,101005,0.945,0.476
"5001800US5102","2","VA",789864,0.599,0.229,0.003,0.057,0.001,0.022,0.09,0.075,91706,0.937,0.384
"5001800US5103","3","VA",773212,0.402,0.424,0.004,0.028,0.001,0.03,0.112,0.093,64323,0.91,0.305
"5001800US5104","4","VA",796240,0.433,0.412,0.004,0.022,0.004,0.048,0.078,0.101,71586,0.9,0.343
"5001800US5105","5","VA",798327,0.701,0.194,0.001,0.02,0,0.017,0.066,0.045,69333,0.909,0.352
"5001800US5106","6","VA",794509,0.786,0.078,0.002,0.016,0,0.043,0.074,0.086,69115,0.9,0.292
"5001800US5107","7","VA",814164,0.514,0.206,0.004,0.046,0,0.104,0.125,0.193,109348,0.899,0.376
"5001800US5108","8","VA",769124,0.52,0.123,0.011,0.125,0,0.074,0.147,0.198,125354,0.921,0.667
"5001800US5109","9","VA",776692,0.873,0.052,0.002,0.013,0.001,0.012,0.047,0.035,53640,0.887,0.239
"5001800US5110","10","VA",805856,0.556,0.086,0.003,0.159,0.001,0.058,0.138,0.181,154020,0.916,0.571
"5001800US5111","11","VA",783583,0.489,0.093,0.004,0.216,0,0.068,0.129,0.153,148511,0.933,0.662
"5001800US5301","1","WA",786950,0.587,0.025,0.006,0.228,0.003,0.045,0.106,0.111,131682,0.946,0.542
"5001800US5302","2","WA",781299,0.713,0.03,0.014,0.077,0.006,0.061,0.099,0.121,86543,0.936,0.381
"5001800US5303","3","WA",792906,0.776,0.017,0.006,0.037,0.008,0.048,0.108,0.119,90563,0.916,0.298
"5001800US5304","4","WA",786057,0.55,0.013,0.027,0.019,0.001,0.156,0.234,0.415,74001,0.829,0.243
"5001800US5305","5","WA",788598,0.812,0.018,0.014,0.023,0.006,0.033,0.094,0.092,71773,0.942,0.309
"5001800US5306","6","WA",785859,0.747,0.031,0.021,0.046,0.006,0.03,0.12,0.097,88876,0.932,0.354
"5001800US5307","7","WA",773546,0.636,0.05,0.005,0.146,0.002,0.041,0.12,0.099,123358,0.964,0.684
"5001800US5308","8","WA",778099,0.668,0.021,0.012,0.116,0.004,0.043,0.136,0.12,119057,0.929,0.42
"5001800US5309","9","WA",765854,0.412,0.129,0.006,0.235,0.017,0.071,0.13,0.147,95293,0.903,0.436
"5001800US5310","10","WA",773712,0.61,0.075,0.011,0.077,0.019,0.043,0.165,0.14,92224,0.926,0.347
"5001800US5401","1","WV",866374,0.914,0.032,0.001,0.006,0,0.005,0.042,0.013,50632,0.876,0.224
"5001800US5402","2","WV",903697,0.888,0.033,0.001,0.009,0,0.013,0.057,0.03,61685,0.903,0.255
"5001800US5501","1","WI",730388,0.761,0.055,0.006,0.019,0.001,0.044,0.114,0.133,75369,0.929,0.314
"5001800US5502","2","WI",747345,0.798,0.045,0.003,0.05,0,0.028,0.076,0.072,82081,0.959,0.475
"5001800US5503","3","WI",739552,0.898,0.01,0.004,0.024,0,0.019,0.044,0.038,69286,0.939,0.288
"5001800US5504","4","WI",719795,0.424,0.312,0.01,0.053,0,0.059,0.143,0.192,59499,0.879,0.351
"5001800US5505","5","WI",746152,0.876,0.018,0.002,0.03,0,0.016,0.057,0.06,91718,0.966,0.416
"5001800US5506","6","WI",738802,0.873,0.021,0.004,0.027,0.001,0.016,0.059,0.06,73636,0.937,0.3
"5001800US5507","7","WI",747209,0.9,0.004,0.017,0.015,0,0.011,0.053,0.03,71320,0.934,0.267
"5001800US5508","8","WI",741712,0.85,0.017,0.02,0.025,0,0.024,0.064,0.067,75932,0.943,0.293
"5001800US5600","1","WY",584057,0.843,0.007,0.025,0.009,0,0.034,0.083,0.108,72415,0.939,0.304
"5001800US7298","1",NA,3205691,0.238,0.053,0.002,0.001,0,0.32,0.386,0.99,25621,0.82,0.308
